string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/champion_mgl/lootset_root.csv,2,,# root,,# column 0 is "Item"/"chance" etc, column 1 is the name, so first weight is in column 2,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_global.csv,3,,# global,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_cache_base.csv,4,,# cache_base,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_cache_lege.csv,5,,# cache_lege,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_empty.csv,6,,# N/A,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_buildings.csv,7,,# buildings,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_buildings_abundant.csv,8,,# abundant,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_contract_asn.csv,9,,# contract_asn,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_contract_dom.csv,10,,# contract_dom,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_contract_scav1.csv,11,,# contract_scav1,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_contract_scav2.csv,12,,# contract_scav2,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_contract_scav3.csv,13,,# contract_scav3,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_cache_reusable1.csv,14,,# cache_reusable1,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_cache_reusable2.csv,15,,# cache_reusable2,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_cache_reusable3.csv,16,,# cache_reusable3,,,,,,,,,,,,,
setchancecol,mp/loot/br/champion_mgl/lootset_supply_drop_boss.csv,17,,# supply_drop_boss,,,,,,,,,,,,,
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tagReject,noseason,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central Control,,,,,,,,,,,,,,,,,
chance,ammo,,300,6,7,0,300,300,15,15,2,20,20,20,1,1,0
chance,lethal,,80,20,12,0,70,70,15,15,20,5,5,4,19,20,0
chance,tactical,,80,20,12,0,70,70,15,15,20,5,5,4,19,20,0
chance,weapon,,240,1,1,0,230,230,15,15,1,20,20,20,30,1,50
chance,killstreak,,10,6,15,0,20,20,4,5,8,5,5,4,4,6,25
chance,super,,20,12,20,0,40,40,8,5,16,5,15,4,8,12,0
chance,revive,,10,6,15,0,20,20,4,5,8,5,5,0,0,0,0
chance,gear,,10,2,5,0,20,20,2,5,4,5,5,4,4,6,0
chance,health,,170,15,6,0,150,150,12,15,19,15,5,20,1,20,0
chance,plunder,,60,12,7,0,60,60,10,5,2,15,15,20,14,14,25
chance,tablet,,40,0,0,0,40,40,0,0,0,0,0,0,0,0,0
item,brloot_equip_gasmask,,90,70,50,0,85,80,70,70,70,70,70,70,70,50,50
item,brloot_equip_gasmask_durable,,10,30,50,0,15,20,30,30,30,30,30,30,30,50,50
item,brloot_armor_plate,,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100
item,brloot_self_revive,,100,100,100,0,100,100,100,100,100,100,100,0,0,0,0
item,brloot_ammo_12g,,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12
item,brloot_ammo_50cal,,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20
item,brloot_ammo_762,,32,32,32,0,32,32,32,32,32,32,32,32,32,32,32
item,brloot_ammo_919,,28,28,28,0,28,28,28,28,28,28,28,28,28,28,28
item,brloot_ammo_rocket,,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8
item,brloot_offhand_frag,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_atmine,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_claymore,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_molotov,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_semtex,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_thermite,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_throwingknife,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_c4,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_bunkerbuster,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_health_adrenaline,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_concussion,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_decoy,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_flash,,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10
item,brloot_offhand_binoculars,,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5
