string,string,string,string
0,weapon,none,
2,accessory,accessory039,0
3,accessory,accessory097,1
4,accessory,accessory079,2
5,accessory,accessory077,3
6,accessory,accessory036,4
7,accessory,accessory091,5
8,accessory,accessory025,6
9,accessory,accessory035,7
10,accessory,accessory019,8
11,accessory,accessory043,9
12,accessory,accessory034,10
13,accessory,accessory104,11
14,accessory,accessory047,12
15,accessory,accessory027,13
16,accessory,accessory064,14
17,accessory,accessory093,15
18,accessory,accessory082,16
19,accessory,accessory028,17
20,accessory,accessory046,18
21,accessory,accessory017,19
22,accessory,accessory029,20
23,accessory,accessory067,21
24,accessory,accessory094,22
25,accessory,accessory087,23
26,accessory,accessory058,24
27,accessory,accessory022,25
28,accessory,accessory037,26
29,accessory,accessory081,27
30,accessory,accessory101,28
31,accessory,accessory010,29
32,accessory,accessory033,30
33,accessory,accessory056,31
34,accessory,accessory044,32
35,accessory,accessory060,33
36,accessory,accessory040,34
37,accessory,accessory070,35
38,accessory,accessory026,36
39,accessory,accessory016,37
40,accessory,accessory014,38
41,accessory,accessory053,39
42,accessory,accessory054,40
43,accessory,accessory050,41
44,accessory,accessory052,42
45,accessory,accessory075,43
46,accessory,accessory071,44
47,accessory,accessory073,45
48,accessory,accessory098,46
49,accessory,accessory001,47
50,accessory,accessory086,48
51,accessory,accessory089,49
52,accessory,accessory085,50
53,accessory,accessory049,51
54,accessory,accessory099,52
55,accessory,accessory063,53
56,accessory,accessory072,54
57,accessory,accessory041,55
58,accessory,accessory005,56
59,accessory,accessory007,57
60,accessory,accessory032,58
61,accessory,accessory102,59
62,accessory,accessory009,60
63,accessory,accessory103,61
64,accessory,accessory051,62
65,accessory,accessory045,63
66,accessory,accessory100,64
67,accessory,accessory065,65
68,accessory,accessory004,66
69,accessory,accessory023,67
70,accessory,accessory061,68
71,accessory,accessory015,69
72,accessory,accessory074,70
73,accessory,accessory008,71
74,accessory,accessory084,72
75,accessory,accessory018,73
76,accessory,accessory057,74
77,accessory,accessory092,75
78,accessory,accessory031,76
79,accessory,accessory055,77
80,accessory,accessory083,78
81,accessory,accessory059,79
82,accessory,accessory088,80
83,accessory,accessory013,81
84,accessory,accessory020,82
85,accessory,accessory090,83
86,accessory,accessory003,84
87,accessory,accessory030,85
88,accessory,accessory066,86
89,accessory,accessory080,87
90,accessory,accessory076,88
91,accessory,accessory006,89
92,accessory,accessory095,90
93,accessory,accessory021,91
94,accessory,accessory062,92
95,accessory,accessory011,93
96,accessory,accessory078,94
97,accessory,accessory069,95
98,accessory,accessory048,96
99,accessory,accessory038,97
100,accessory,accessory002,98
101,accessory,accessory012,99
102,accessory,accessory068,100
103,accessory,accessory096,101
104,accessory,accessory042,102
105,accessory,accessory024,103
8190,accolades,pistolHeadshots,0
8191,accolades,meleeDeaths,1
8192,accolades,sniperHeadshots,2
8193,accolades,bombPlanted,3
8194,accolades,weaponPickups,4
8195,accolades,bombDetonated,5
8196,accolades,carrierKills,6
8197,accolades,longestTimeSpentOnWeapon,7
8198,accolades,spawnSelectBase,8
8199,accolades,defenderKills,9
8200,accolades,molotovKills,10
8201,accolades,timeOnPoint,11
8202,accolades,distanceTraveledInVehicle,12
8203,accolades,killstreakGunshipKills,13
8204,accolades,deadSilenceKills,14
8205,accolades,lowestAvgAltitude,15
8206,accolades,damageTaken,16
8207,accolades,deathsFromBehind,17
8208,accolades,timeSpentAsPassenger,18
8209,accolades,killstreakCarePackageUsed,19
8210,accolades,highestRankedKills,20
8211,accolades,clutchRevives,21
8212,accolades,shortestLife,22
8213,accolades,longestStreak,23
8214,accolades,penetrationKills,24
8215,accolades,shotgunKills,25
8216,accolades,highestMultikill,26
8217,accolades,lmgHeadshots,27
8218,accolades,oneShotOneKills,28
8219,accolades,pointBlankKills,29
8220,accolades,stimDamageHealed,30
8221,accolades,spawnSelectVehicle,31
8222,accolades,killstreakCruiseMissileKills,32
8223,accolades,killstreakEmergencyAirdropUsed,33
8224,accolades,snapshotHits,34
8225,accolades,shotsFired,35
8226,accolades,clutch,36
8227,accolades,arDeaths,37
8228,accolades,assaults,38
8229,accolades,killstreakUAVAssists,39
8230,accolades,riotShieldDamageAbsorbed,40
8231,accolades,comebackKills,41
8232,accolades,firstInfected,42
8233,accolades,executionKills,43
8234,accolades,tagsCaptured,44
8235,accolades,proximityMineKills,45
8236,accolades,claymoreKills,46
8237,accolades,hipfireKills,47
8238,accolades,carepackagesCaptured,48
8239,accolades,killstreakAUAVAssists,49
8240,accolades,smokesUsed,50
8241,accolades,thermiteKills,51
8242,accolades,mostKillsMostHeadshots,52
8243,accolades,mostDeaths,53
8244,accolades,timeSpentAsDriver,54
8245,accolades,killstreakKills,55
8246,accolades,spawnSelectFlag,56
8247,accolades,deployableCoverUsed,57
8248,accolades,pickups,58
8249,accolades,lowerRankedKills,59
8250,accolades,returns,60
8251,accolades,tagsDenied,61
8252,accolades,lmgKills,62
8253,accolades,launcherDeaths,63
8254,accolades,pistolPeaths,64
8255,accolades,killstreakWhitePhosphorousKillsAssists,65
8256,accolades,armorBoxUsed,66
8257,accolades,leastDeaths,67
8258,accolades,stunHits,68
8259,accolades,spawnSelectSquad,69
8260,accolades,killsFromBehind,70
8261,accolades,highestAvgAltitude,71
8262,accolades,timeProne,72
8263,accolades,fragKills,73
8264,accolades,gasHits,74
8265,accolades,killstreakAirstrikeKills,75
8266,accolades,killstreakShieldTurretKills,76
8267,accolades,captures,77
8268,accolades,trophySystemHits,78
8269,accolades,mostKills,79
8270,accolades,meleeKills,80
8271,accolades,damageDealt,81
8272,accolades,tacticalInsertionSpawns,82
8273,accolades,killstreakVTOLJetKills,83
8274,accolades,explosionsSurvived,84
8275,accolades,shotgunDeaths,85
8276,accolades,decoyHits,86
8277,accolades,killstreakAirKills,87
8278,accolades,setbacks,88
8279,accolades,noKill10Deaths,89
8280,accolades,adsKills,90
8281,accolades,mostAssists,91
8282,accolades,launcherHeadshots,92
8283,accolades,mostMultikills,93
8284,accolades,avengerKills,94
8285,accolades,pistolKills,95
8286,accolades,longestLife,96
8287,accolades,killEnemyTeam,97
8288,accolades,sniperDeaths,98
8289,accolades,smgKills,99
8290,accolades,ammoBoxUsed,100
8291,accolades,defends,101
8292,accolades,arKills,102
8293,accolades,revengeKills,103
8294,accolades,munitionsBoxUsed,104
8295,accolades,noKillNoDeath,105
8296,accolades,shotgunHeadshots,106
8297,accolades,killstreakJuggernautKills,107
8298,accolades,stoppingPowerKills,108
8299,accolades,killstreakPersonalUAVKills,109
8300,accolades,survivorKills,110
8301,accolades,kills10NoDeaths,111
8302,accolades,sniperKills,112
8303,accolades,timeCrouched,113
8304,accolades,empDroneHits,114
8305,accolades,killstreakChopperSupportKills,115
8306,accolades,distanceTravelled,116
8307,accolades,killstreakCUAVAssists,117
8308,accolades,noKillsWithDeath,118
8309,accolades,skippedKillcams,119
8310,accolades,timesSelectedAsSquadLeader,120
8311,accolades,headshots,121
8312,accolades,throwingKnifeKills,122
8313,accolades,killstreakSentryGunKills,123
8314,accolades,tagsMegaBanked,124
8315,accolades,higherRankedKills,125
8316,accolades,killstreakTankKills,126
8317,accolades,mostKillsLeastDeaths,127
8318,accolades,infectedKills,128
