string,string,string,string,string,string,localized_a,localized_a,string,string,string,int,string
5134,loadout_1,0,0,0,0,a&LUA_MENU/ASSAULT,a&LUA_MENU/ASSAULT_DESC,icon_loadout_deadeye,hud_icon_loadout_assault,,0,
5135,loadout_4,0,0,0,0,a&LUA_MENU_MP/DEFAULT_LOADOUT_4,a&LUA_MENU_MP/DEFAULT_LOADOUT_4_DESC,icon_loadout_tank,hud_icon_loadout_demolition,,0,
5130,loadout_5,0,0,0,0,a&LUA_MENU_MP/DEFAULT_LOADOUT_5,a&LUA_MENU_MP/DEFAULT_LOADOUT_5_DESC,icon_loadout_lone_survivor,hud_icon_loadout_sniper,,0,
5138,create_a_class,0,0,0,0,a&LUA_MENU_MP/UNLOCK_CAC,a&LUA_MENU_MP/UNLOCK_CAC_DESC,icon_loadout_cac_unlock,hud_icon_loadout_generic,,0,
5127,challenges,0,0,0,0,a&LUA_MENU/CHALLENGE,a&LUA_MENU/CHALLENGE_DESC,icon_challenge_generic,hud_icon_challenge_generic,,0,
5131,season1,0,0,0,0,a&LUA_MENU/SEASON1,a&LUA_MENU/SEASON1_DESC,white,white,,0,
5132,season2,0,0,0,0,a&LUA_MENU/SEASON2,a&LUA_MENU/SEASON2_DESC,white,white,,0,
5140,season3,0,0,0,0,a&LUA_MENU/SEASON3,a&LUA_MENU/SEASON3_DESC,white,white,,0,
5141,season4,0,0,0,0,a&LUA_MENU/SEASON4,a&LUA_MENU/SEASON4_DESC,white,white,,0,
5129,season5,0,0,0,0,a&LUA_MENU/SEASON5,a&LUA_MENU/SEASON5_DESC,white,white,,0,
5142,season6,0,0,0,0,a&LUA_MENU/SEASON6,a&LUA_MENU/SEASON6_DESC,white,white,,0,
5126,perk_specialist,0,0,0,0,a&PERKS/SPECIALIST,a&PERKS/DESC_SPECIALIST,icon_perk_package,hud_icon_loadout_specialist,,0,
5133,field_upgrade_pro,0,0,0,0,a&LUA_MENU/FIELD_UPGRADE_PRO,a&LUA_MENU/FIELD_UPGRADE_PRO_DESC,icon_loadout_fieldupgrade,hud_icon_loadout_fieldupgrade,,0,
5124,cod_points_id,4,0,0,0,a&LOOT_MP/COD_POINTS,a&LOOT_MP/COD_POINTS,icon_currency_codpoints_large,icon_currency_codpoints_large,,0,
5136,bp_cod_points,0,0,0,0,a&LUA_MENU/NONE,a&LUA_MENU/NONE,white,white,,0,
5123,bp_boost,4,0,0,0,a&LUA_MENU/BP_BOOST,a&LUA_MENU/BP_BOOST_DESC,icon_double_buff_xp_token,icon_double_buff_xp_token,,0,
5137,challenge_id_lerch,4,0,0,0,a&LUA_MENU/OPERATOR_LERCH_SKIN_1,a&STORE_FLAVOR/OPERATOR_LERCH_EASTERN_BASIC_FLAVOR,ui_loot_operator_east_lerch_multi,ui_loot_operator_east_lerch_multi,lerch_eastern_basic,0,
5125,challenge_id_shadow,2,0,0,0,a&LUA_MENU/OPERATOR_EASTERN_DEFAULT_10,a&STORE_FLAVOR/OPERATOR_DEFAULT_EASTERN_K_FLAVOR,ui_loot_operator_milsim_shadow_company_multi,ui_loot_operator_milsim_shadow_company_multi,default_eastern_j,0,
5139,challenge_id_roze,4,0,0,0,a&LUA_MENU/OPERATOR_ROZE_SKIN_2,a&STORE_FLAVOR/OPERATOR_ROZE_EASTERN_A_FLAVOR,ui_loot_operator_east_roze_multi,ui_loot_operator_east_roze_multi,roze_eastern_d,0,
5128,challenge_id_kyle,4,0,0,0,a&LUA_MENU/OPERATOR_KYLE_SKIN_1,a&STORE_FLAVOR/OPERATOR_KYLE_WESTERN_BASIC_FLAVOR,ui_loot_operator_west_kyle_multi,ui_loot_operator_west_kyle_multi,kyle_western_basic,0,
16045,faction_legion,4,0,0,0,a&,a&,,,,0,
15946,faction_white_lotus,4,0,0,0,a&,a&,,,,0,
15945,faction_black_mous,4,0,0,0,a&,a&,,,,0,
15948,insured_slot_1,4,0,0,0,a&,a&,,,,0,
15947,insured_slot_2,4,0,0,0,a&,a&,,,,0,
15944,insured_slot_3,4,0,0,0,a&,a&,,,,0,
17664,dmz_exfil_streak,4,0,0,0,a&,a&,,,,0,
19137,faction_legion_s2,4,0,0,0,a&,a&,,,,0,
19138,faction_white_lotus_s2,4,0,0,0,a&,a&,,,,0,
19139,faction_black_mous_s2,4,0,0,0,a&,a&,,,,0,
19250,faction_crown_s2,4,0,0,0,a&,a&,,,,0,
24578,faction_redacted,4,0,0,0,a&,a&,,,,0,
24585,faction_phalanx_s4,4,0,0,0,a&,a&,,,,0,
24865,dmz_persistent_operator_slot_count,,,,,a&DMZ/ACTIVE_DUTY_SLOT_PURCHASE,a&STORE_FLAVOR/DMZ_OPERATOR_SLOT_DESC,ui_icon_dmz_store_operator_slot,,,0,ui_dmz_store_operator_slot_preview_single
27238,contraband_stash_slot,4,0,0,0,a&,a&,,,,0,
27239,quest_stash_slot,4,0,0,0,a&,a&,,,,0,
27240,key_stash_slot,4,0,0,0,a&,a&,,,,0,
27242,faction_white_lotus_s4,4,0,0,0,a&,a&,,,,0,
27243,faction_black_mous_s4,4,0,0,0,a&,a&,,,,0,
27244,faction_crown_s4,4,0,0,0,a&,a&,,,,0,
31578,dailies_white_lotus_s4,4,0,0,0,a&,a&,,,,0,
31579,dailies_black_mous_s4,4,0,0,0,a&,a&,,,,0,
31580,dailies_crown_s4,4,0,0,0,a&,a&,,,,0,
31581,dailies_phalanx_s4,4,0,0,0,a&,a&,,,,0,
31582,dmz_feature,4,0,0,0,a&,a&,,,,0,
32103,insured_slot_2_s4,4,0,0,0,a&,a&,,,,0,
32104,insured_slot_3_s4,4,0,0,0,a&,a&,,,,0,
35095,weeklies_white_lotus_s5,4,0,0,0,a&,a&,,,,0,
35096,weeklies_black_mous_s5,4,0,0,0,a&,a&,,,,0,
35097,weeklies_crown_s5,4,0,0,0,a&,a&,,,,0,
35098,weeklies_phalanx_s5,4,0,0,0,a&,a&,,,,0,
35099,weeklies_shadow_company_s5,4,0,0,0,a&,a&,,,,0,
35100,dailies_shadow_company_s5,4,0,0,0,a&,a&,,,,0,
