int,string,int,int,int,int,int,int
9129,equip_frag,0,0,0,0,1,0
9078,equip_semtex,0,0,0,0,1,0
9099,equip_molotov,0,0,0,0,1,0
9084,equip_claymore,0,0,0,0,1,0
9100,equip_throwing_knife,0,0,0,0,1,0
9104,equip_c4,0,0,0,0,1,0
9095,equip_thermite,0,0,0,0,1,0
9094,equip_at_mine,0,0,0,0,1,0
9118,equip_flash,0,0,0,0,0,0
9086,equip_smoke,0,0,0,0,0,0
9112,equip_concussion,0,0,0,0,0,0
9111,equip_adrenaline,0,0,0,0,0,0
9082,equip_decoy,0,0,0,0,0,0
9096,equip_gas_grenade,0,0,0,0,0,0
9119,equip_snapshot_grenade,0,0,0,0,0,0
9092,equip_hb_sensor,0,0,0,0,0,0
9121,equip_rock,0,0,0,0,0,0
9109,equip_throwing_knife_fire,0,0,0,0,1,0
9087,equip_binoculars,0,0,0,0,0,0
9106,equip_geigercounter,0,0,0,0,0,0
9090,equip_deployed_decoy,0,0,0,0,0,0
9085,equip_shockstick,0,0,0,0,0,0
9125,equip_bunkerbuster,0,0,0,0,1,0
9136,equip_adrenalinebr,0,0,0,0,0,0
9088,equip_advanced_supply_drop,0,0,0,0,0,0
9115,equip_advanced_vehicle_drop,0,0,0,0,0,0
9081,equip_armorbox,0,0,0,0,0,0
9083,equip_armorplate,0,0,0,0,0,0
9130,equip_balloon,0,0,0,0,0,0
9105,equip_bandages,0,0,0,0,0,0
9108,equip_battlerage,0,0,0,0,0,0
9124,equip_blastshieldbox,0,0,0,0,0,0
9075,equip_deadsilence,0,0,0,0,0,0
9123,equip_emp,0,0,0,0,0,0
9113,equip_empdrone,0,0,0,0,0,0
9114,equip_emppulse,0,0,0,0,0,0
9103,equip_extract,0,0,0,0,0,0
9131,equip_firstaid,0,0,0,0,0,0
9102,equip_helmet,0,0,0,0,0,0
9097,equip_iodine_pills,0,0,0,0,0,0
9134,equip_leaderbox,0,0,0,0,0,0
9089,equip_munitionsbox,0,0,0,0,0,0
9122,equip_pop_rocket,0,0,0,0,0,0
9133,equip_radardrone,0,0,0,0,0,0
9117,equip_recondrone,0,0,0,0,0,0
9127,equip_scramblerdrone,0,0,0,0,0,0
9120,equip_shieldturret,0,0,0,0,0,0
9107,equip_stimpistol,0,0,0,0,0,0
9116,equip_stoppingpower,0,0,0,0,0,0
9110,equip_tacticalcamera,0,0,0,0,0,0
9101,equip_tac_cover,0,0,0,0,0,0
9093,equip_tac_insert,0,0,0,0,0,0
9135,equip_throwing_knife_electric,0,0,0,0,0,0
9098,equip_trophy,0,0,0,0,0,0
9126,equip_weapondrop,0,0,0,0,0,0
15430,equip_reinforcementflare,0,0,0,0,0,0
15448,equip_personal_redeploy_drone,0,0,0,0,0,0
15101,equip_sonar_pulse,0,0,0,0,0,0
15102,equip_sound_veil,0,0,0,0,0,0
15100,equip_suppression_rounds,0,0,0,0,0,0
15459,equip_smoke_bomb_rusher,0,0,0,0,0,0
16903,equip_shuriken,0,0,0,0,1,0
18042,equip_shockstick_ballmode,0,0,0,0,0,0
23263,equip_throwstar,0,0,0,0,0,0
23278,equip_armory,0,0,0,0,0,0
24029,equip_decon_station,0,0,0,0,0,0
24434,equip_oxygenmask,0,0,0,0,0,0
24851,equip_thermal_phone,0,0,0,0,0,0
30243,equip_temp_v,0,0,0,0,0,0
33018,equip_self_revive_box,0,0,0,0,0,0
33222,equip_electric_discharge,0,0,0,0,0,0
33223,equip_laser_charge,0,0,0,0,0,0
33224,equip_teleport_deploy,0,0,0,0,0,0
33225,equip_high_jump,0,0,0,0,0,0
9079,equip_snowball,0,0,0,0,0,0
35300,equip_magsnap,0,0,0,0,0,0
36974,equip_hauntedbox,0,0,0,0,0,0
26993,equip_deployable_kiosk_drop,0,0,0,0,0,0
9128,equip_pball,0,0,0,0,0,0
