int,string,int,int,int,int
5544,default_male_t10,0,0,0,5
5524,default_female_t10,0,0,0,5
5517,fender_western,0,0,0,5
5543,kilgore_eastern,0,0,0,5
5545,calisto_eastern,0,0,0,5
5513,chili_western,0,0,0,5
5523,stiletto_eastern,0,0,0,5
5514,hutch_western,0,0,0,5
5511,kpop_eastern,0,0,0,5
5532,gus_western,0,0,0,5
5509,zimo_western,0,0,0,5
5527,kleo_western,0,0,0,5
5546,nova_eastern,0,0,0,5
5512,price_western,0,0,0,5
5525,farah_western,0,0,0,5
5549,ghost_western,0,0,0,5
5533,milsim_western_1,0,0,0,0
5538,milsim_eastern_1,0,0,0,0
7965,soap_western,0,0,0,0
8188,oni_eastern,0,0,0,0
11389,aksel_eastern,0,0,0,0
11388,conor_eastern,0,0,0,0
11390,gromsko_western,0,0,0,0
11391,luna_western,0,0,0,0
11387,reyes_western,0,0,0,0
11392,roze_eastern,0,0,0,0
11393,zero_eastern,0,0,0,0
13563,messi_western,0,0,0,0
13561,neymar_eastern,0,0,0,0
13560,pogba_western,0,0,0,0
13562,zeus_eastern,0,0,0,0
15036,cdl_female_east,0,0,0,0
15037,cdl_female_west,0,0,0,0
15034,cdl_male_east,0,0,0,0
15035,cdl_male_west,0,0,0,0
17419,gaz_western,0,0,0,0
17418,klaus_western,0,0,0,0
5530,ronin_western,0,0,0,0
19103,blackcell_eastern,0,0,0,0
20101,infected_western,0,0,0,0
23543,shredder_eastern,0,0,0,0
24568,alejandro_western,0,0,0,0
24569,valeria_eastern,0,0,0,0
27522,nickmercs_eastern,0,0,0,0
27523,kd_western,0,0,0,0
27544,alex_western,0,0,0,0
28184,tim_western,0,0,0,0
30362,nikto_eastern,0,0,0,0
30364,neotokyo_eastern,0,0,0,0
30365,heather_eastern,0,0,0,0
30366,freedom_western,0,0,0,0
30567,io_western,0,0,0,0
33207,homelander_eastern,0,0,0,0
33208,blacknoir_eastern,0,0,0,0
33209,starlight_western,0,0,0,0
35071,snoop_western,0,0,0,0
35072,zoltan_eastern,0,0,0,0
35073,tetiana_eastern,0,0,0,0
35074,nicki_eastern,0,0,0,0
35075,arthur_western,0,0,0,0
35308,velikan_eastern,0,0,0,0
35815,graves_eastern,0,0,0,0
17736,jup_mp_delta,0,0,0,0
37263,savage_eastern,0,0,0,0
37264,lara_western,0,0,0,0
38613,mace_eastern,0,0,0,0
17241,jup_mp_charlie,0,0,0,0
39770,skeletor_eastern,0,0,0,0
39771,dune_eastern,0,0,0,0
39772,hellsing_western,0,0,0,0
39773,inarius_western,0,0,0,0
39774,lilith_eastern,0,0,0,0
39775,spawn_western,0,0,0,0
39776,ash_western,0,0,0,0
17235,jup_mp_india,0,0,0,0
30352,jup_mp_cdl_female_away,0,0,0,0
17233,jup_mp_kilo,0,0,0,0
28079,jup_mp_cdl_male_home,0,0,0,0
29834,jup_mp_romeo,0,0,0,0
29831,jup_mp_oscar,0,0,0,0
29841,jup_mp_whiskey,0,0,0,0
28022,jup_mp_cdl_male_away,0,0,0,0
30353,jup_mp_cdl_female_home,0,0,0,0
29842,jup_mp_zulu,0,0,0,0
29828,jup_mp_juliet,0,0,0,0
29833,jup_mp_quebec,0,0,0,0
43773,cyborgvaleria_eastern,0,0,0,0
21644,jup_mp_tango,0,0,0,0
29830,jup_mp_november,0,0,0,0
29827,jup_mp_hotel,0,0,0,0
29826,jup_mp_echo,0,0,0,0
30325,jup_mp_shieldmaiden,0,0,0,0
29838,jup_mp_uniform,0,0,0,0
29832,jup_mp_papa,0,0,0,0
21633,jup_mp_alpha,0,0,0,0
29825,jup_mp_golf,0,0,0,0
29835,jup_mp_sierra,0,0,0,0
17239,jup_mp_bravo,0,0,0,0
17234,jup_mp_mike,0,0,0,0
39792,jup_mp_maestro,0,0,0,0
29837,jup_mp_nolan,0,0,0,0
39794,jup_mp_gamma,0,0,0,0
47130,jup_mp_ash,0,0,0,0
39793,jup_mp_beta,0,0,0,0
30247,jup_mp_makarov,0,0,0,0
