string,string,string,localized_a,localized_a,string,string,string,int
weapon,2,0,a&LOOT_MP/ITEM_TYPE_WEAPON,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
attachment,7,0,a&LOOT_MP/ATTACHMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator,1,0,a&LOOT_MP/OPERATOR,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
operator_skin,8,0,a&LOOT_MP/OPERATOR_SKIN,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
accessory,19,0,a&LOOT_MP/WATCH,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
equipment,5,0,a&LOOT_MP/EQUIPMENT,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
perk,6,0,a&LOOT_MP/PERK,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
killstreak,4,0,a&LOOT_MP/STREAK,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
weapon_charm,16,0,a&LOOT_MP/CHARM,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
reticle,14,0,a&LOOT_MP/RETICLE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
progression,99,1,a&,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,0,,0
playercards,11,0,a&LOOT_MP/CALLING_CARD,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
emblems,12,0,a&LOOT_MP/EMBLEM,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
sprays,23,0,a&LOOT_MP/SPRAYS,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
consumable,26,0,a&LOOT_MP/CONSUMABLE,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
gestures,20,0,a&LOOT_MP/GESTURES,a&LOOT_MP/PLACEHOLDER_DESC,placeholder_x,1,,0
