string,string,string,string,string,string,string,string,string,string,int
6002,fender_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5972,kilgore_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5999,calisto_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5971,chili_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5970,hutch_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5980,kpop_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5982,gus_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5989,zimo_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6005,kleo_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5983,nova_eastern_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5987,price_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5993,farah_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5976,ghost_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
6009,beta_western_a,2,0,0,1000,2,,,ui_loot_operator_west_wyatt_1_1,0
5995,milsim_western_a,0,0,0,0,,,,,0
6003,milsim_western_b,0,0,0,0,,,,,0
6012,milsim_western_c,0,0,0,0,,,,,0
6001,milsim_western_d,0,0,0,0,,,,,0
5996,milsim_eastern_a,0,0,0,0,,,,,0
5973,milsim_eastern_b,0,0,0,0,,,,,0
5984,milsim_eastern_c,0,0,0,0,,,,,0
5992,milsim_eastern_d,0,0,0,0,,,,,0
7966,soap_western_a,0,0,0,0,,,,,0
8189,oni_eastern_a,0,0,0,0,,,,,0
11403,aksel_eastern_a,,,,,,,,,0
11401,conor_eastern_a,,,,,,,,,0
11394,conor_eastern_b,,,,,,,,,0
11399,fender_western_b,,,,,,,,,0
11396,gromsko_western_a,,,,,,,,,0
11398,hutch_western_b,,,,,,,,,0
11402,luna_western_a,,,,,,,,,0
11395,reyes_western_a,,,,,,,,,0
11400,reyes_western_b,,,,,,,,,0
11404,roze_eastern_a,,,,,,,,,0
11397,zero_eastern_a,,,,,,,,,0
6004,default_female_t10_basic,,,,,,,,,0
6011,default_male_t10_basic,,,,,,,,,0
12261,stiletto_eastern_a1,,,,,,,,,0
13566,messi_western_a,,,,,,,,,0
13564,neymar_eastern_a,,,,,,,,,0
13567,pogba_western_a,,,,,,,,,0
13565,zeus_eastern_a,,,,,,,,,0
14610,aksel_eastern_wrath,,,,,,,,,0
14592,calisto_eastern_et,,,,,,,,,0
14603,calisto_eastern_red,,,,,,,,,0
14596,chili_western_agu,,,,,,,,,0
14595,conor_eastern_exotic,,,,,,,,,0
14594,conor_eastern_greased,,,,,,,,,0
14614,fender_western_knight,,,,,,,,,0
14593,gromsko_western_b,,,,,,,,,0
14606,gus_western_et,,,,,,,,,0
14598,gus_western_ethan,,,,,,,,,0
14600,hutch_western_greed,,,,,,,,,0
14605,kilgore_eastern_sloth,,,,,,,,,0
14613,kpop_eastern_wf,,,,,,,,,0
14597,luna_western_b,,,,,,,,,0
14591,milsim_eastern_elite_sniper,,,,,,,,,0
14615,milsim_western_cq,,,,,,,,,0
14611,nova_eastern_tht,,,,,,,,,0
14612,reyes_western_dr,,,,,,,,,0
14602,reyes_western_et,,,,,,,,,0
14608,stiletto_eastern_et,,,,,,,,,0
14599,stiletto_eastern_mt,,,,,,,,,0
14609,zero_eastern_dw,,,,,,,,,0
14604,zero_eastern_yj,,,,,,,,,0
14607,zeus_eastern_b,,,,,,,,,0
14601,zimo_western_pa,,,,,,,,,0
15087,cdl_female_away_breach,,,,,,,,,0
15045,cdl_female_away_faze,,,,,,,,,0
15068,cdl_female_away_guerrillas,,,,,,,,,0
15074,cdl_female_away_legion,,,,,,,,,0
