string,string,string,string,string,string,string,string,localized_a,string,string,localized_a,string,localized_a,int
3967,dismemberment_bullets,2,200,40,0,,,a&,white,0,a&,,a&,0
3967,dismemberment_bullets,2,200,40,0,,,a&,white,0,a&,,a&,0
3945,xp_token,1,200,40,0,7423,iw9_activate_player_xp_token,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_xp_token_player_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3983,gift,3,500,100,0,,,a&,white,0,a&,,a&,0
3953,tournament_ticket,4,1000,200,0,,,a&,white,0,a&,,a&,0
3958,trial_1_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3964,trial_2_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3980,trial_3_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3954,trial_4_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3971,trial_5_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3976,trial_6_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3949,trial_7_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3979,trial_8_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3981,trial_9_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3975,trial_10_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3959,trial_11_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3970,trial_12_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3972,trial_13_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3977,trial_14_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3957,trial_15_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3974,trial_16_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3952,trial_17_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3960,trial_18_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3950,trial_19_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3966,trial_20_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3956,trial_21_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3961,trial_22_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3965,trial_23_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3973,trial_24_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3943,trial_25_ticket,0,0,0,0,,,a&LUA_MENU_MP/TRIAL,image_killhouse_ticket,0,a&,,a&,0
3962,weapon_xp_token,1,0,0,0,7427,iw9_activate_weapon_xp_token,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_xp_token_weapon_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3947,keys_token,1,0,0,0,,,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
3946,xp_token_rare,2,0,0,0,7437,iw9_activate_player_xp_token_rare,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_xp_token_player_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3948,weapon_xp_token_rare,2,0,0,0,7413,iw9_activate_weapon_xp_token_rare,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_xp_token_weapon_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3982,keys_token_rare,2,0,0,0,,,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
3955,xp_token_legendary,4,0,0,0,7410,iw9_activate_player_xp_token_legendary,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_xp_token_player_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3951,weapon_xp_token_legendary,4,0,0,0,7415,iw9_activate_weapon_xp_token_legendary,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_xp_token_weapon_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3944,keys_token_legendary,4,0,0,0,,,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
3978,xp_token_epic,3,0,0,0,7411,iw9_activate_player_xp_token_epic,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_xp_token_player_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3942,weapon_xp_token_epic,3,0,0,0,7414,iw9_activate_weapon_xp_token_epic,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_xp_token_weapon_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3963,keys_token_epic,3,0,0,0,,,a&LUA_MENU/DOUBLE_KEY_TOKEN,placeholder_x,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
3968,xp_token_year,0,0,0,0,7409,iw9_activate_player_xp_token_year,a&LUA_MENU_MP/DOUBLE_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
23744,weapon_xp_token_year,0,0,0,0,12081,iw9_activate_weapon_xp_token_year,a&LUA_MENU_MP/DOUBLE_WEAPON_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
23745,battle_xp_token_year,0,0,0,0,12082,iw9_activate_battlepass_xp_token_year,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_double_xp_token_year,0,a&LUA_MENU/XP_TOKEN_YEAR,,a&,0
8429,battle_xp_token,1,0,0,0,7438,iw9_activate_battlepass_xp_token,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_xp_token_battlepass_15min,0,a&LUA_MENU/XP_TOKEN_COMMON,,a&,0
8599,battle_xp_token_rare,2,0,0,0,7425,iw9_activate_battlepass_xp_token_rare,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_xp_token_battlepass_30min,0,a&LUA_MENU/XP_TOKEN_RARE,,a&,0
8355,battle_xp_token_epic,3,0,0,0,7429,iw9_activate_battlepass_xp_token_epic,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_xp_token_battlepass_45min,0,a&LUA_MENU/XP_TOKEN_EPIC,,a&,0
8594,battle_xp_token_legendary,4,0,0,0,7431,iw9_activate_battlepass_xp_token_legendary,a&LUA_MENU_MP/DOUBLE_BATTLE_XP_TOKEN,icon_xp_token_battlepass_60min,0,a&LUA_MENU/XP_TOKEN_LEGENDARY,,a&,0
26992,brloot_payment_hacker_phone,0,0,0,0,,,a&MP/PAYMENT_HACKER_PHONE,ui_map_icon_ph_hacker,0,a&,1,a&,0
27056,brloot_specialty_covert_ops,0,0,0,0,,,a&SPLASHES/COLD_BLOODED_ACQUIRED,iw9_icon_perk_covert_ops,0,a&,1,a&,0
27057,brloot_specialty_eod,0,0,0,0,,,a&SPLASHES/BOMB_SQUAD_ACQUIRED,iw9_icon_perk_eod,0,a&,1,a&,0
27053,brloot_specialty_guerrilla,0,0,0,0,,,a&SPLASHES/GHOST_ACQUIRED,iw9_icon_perk_guerilla,0,a&,1,a&,0
27061,brloot_specialty_hardline,0,0,0,0,,,a&SPLASHES/HARDLINE_ACQUIRED,iw9_icon_perk_hardline,0,a&,1,a&,0
27062,brloot_specialty_huntmaster,0,0,0,0,,,a&SPLASHES/TRACKER_ACQUIRED,iw9_icon_perk_tracker,0,a&,1,a&,0
27063,brloot_specialty_hustle,0,0,0,0,,,a&SPLASHES/DOUBLE_TIME_ACQUIRED,iw9_icon_perk_hustle,0,a&,1,a&,0
27065,brloot_specialty_overcharge_field_upgrade,0,0,0,0,,,a&SPLASHES/OVERCLOCK_ACQUIRED,iw9_icon_perk_overcharge,0,a&,1,a&,0
27066,brloot_specialty_overwatch,0,0,0,0,,,a&SPLASHES/BIRDEYE_ACQUIRED,iw9_icon_perk_overwatch,0,a&,1,a&,0
27067,brloot_specialty_quick_fix,0,0,0,0,,,a&SPLASHES/QUICK_FIX_ACQUIRED,iw9_icon_perk_quick_fix,0,a&,1,a&,0
27068,brloot_specialty_restock,0,0,0,0,,,a&SPLASHES/RESUPPLY_ACQUIRED,iw9_icon_perk_restock,0,a&,1,a&,0
27069,brloot_specialty_scavenger_plus,0,0,0,0,,,a&SPLASHES/SCAVENGER_ACQUIRED,iw9_icon_perk_scavenger,0,a&,1,a&,0
27070,brloot_specialty_surveillance,0,0,0,0,,,a&SPLASHES/HIGH_ALERT_ACQUIRED,iw9_icon_perk_surveillance,0,a&,1,a&,0
27071,brloot_specialty_survivor,0,0,0,0,,,a&SPLASHES/SURVIVOR_ACQUIRED,iw9_icon_perk_survivor,0,a&,1,a&,0
27072,brloot_specialty_tac_resist,0,0,0,0,,,a&SPLASHES/BATTLE_HARDENED_ACQUIRED,iw9_icon_perk_tac_resist,0,a&,1,a&,0
27073,brloot_specialty_tactical_recon,0,0,0,0,,,a&SPLASHES/SPOTTER_ACQUIRED,iw9_icon_perk_tactical_recon,0,a&,1,a&,0
27074,brloot_specialty_warhead,0,0,0,0,,,a&SPLASHES/FAST_HANDS_ACQUIRED,iw9_icon_perk_warhead,0,a&,1,a&,0
8395,cash,1,0,0,0,,,a&LOOT_MP/ITEM_TYPE_PLUNDER,ui_mp_br_loot_icon_plunder,0,a&,1,a&,0
8372,armor_plate,1,0,0,0,,,a&EQUIPMENT/ARMOR_PLATE_BR,hud_icon_loot_armor_plate,0,a&,,a&,0
8421,armor_satchel,1,0,0,0,,,a&EQUIPMENT/BR_PLATE_POUCH,ui_mp_br_loot_icon_health_armor_satchel,0,a&,1,a&,0
8400,gas_mask,1,0,0,0,,,a&MP/BR_GASMASK,hud_icon_equipment_gas_mask,0,a&,,a&,0
23463,brloot_disguise,4,0,0,0,,,a&MP/BR_DISGUISE,hud_icon_fieldupgrade_disguise,0,a&,,a&,0
13371,brloot_valuable_harddrive,1,0,10,0,,,a&MP/ BR_VALUABLE_HARDDRIVE,hud_icon_loot_harddrive,0,a&,1,a&,0
13355,brloot_valuable_goldbar,1,0,50,0,,,a&MP/BR_VALUABLE_GOLDBAR,hud_icon_loot_gold,0,a&,1,a&,0
13356,brloot_valuable_laptop,1,0,20,0,,,a&MP/BR_VALUABLE_LAPTOP,hud_icon_loot_laptop,0,a&,1,a&,0
29315,brloot_valuable_laptop_biobunker,1,0,20,0,,,a&MP/BR_VALUABLE_LAPTOP_BIOBUNKER,hud_icon_loot_laptop,0,a&,1,a&,0
13370,brloot_valuable_liquor,1,0,10,0,,,a&MP/BR_VALUABLE_LIQUOR,hud_icon_loot_wine_bottle_01,0,a&,1,a&,0
13366,brloot_valuable_comicbook,1,0,30,0,,,a&MP/BR_VALUABLE_COMICBOOK,hud_icon_loot_comic,0,a&,1,a&,0
8557,loot_key_fortress,1,0,0,0,,,a&MP_DMZ_LOCKS/FORTRESS_KEY_NAME,hud_icon_loot_keycard_stronghold_01,0,a&,1,a&,0
8532,loot_key_quarry_office,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_OFFICE_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8630,loot_key_quarry_storage,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_STORAGE_KEY_NAME,hud_icon_loot_key_01,0,a&,1,a&,0
8576,loot_key_quarry_control,1,0,0,0,,,a&MP_DMZ_LOCKS/QUARRY_CONTROL_KEY_NAME,hud_icon_loot_key_02,0,a&,1,a&,0
8486,brloot_ammo_12g,1,0,0,0,,,a&MP/BR_AMMO_SHOTGUN,ui_mp_br_loot_icon_ammo_shells_detail,0,a&,1,a&,0
8542,brloot_ammo_50cal,1,0,0,0,,,a&MP/BR_AMMO_SNIPER,ui_mp_br_loot_icon_ammo_high_detail,0,a&,1,a&,0
8434,brloot_ammo_762,1,0,0,0,,,a&MP/BR_AMMO_AR_LMG,ui_mp_br_loot_icon_ammo_mid_detail,0,a&,1,a&,0
8595,brloot_ammo_919,1,0,0,0,,,a&MP/BR_AMMO_PISTOL_SMG,ui_mp_br_loot_icon_ammo_small_detail,0,a&,1,a&,0
8627,brloot_ammo_rocket,1,0,0,0,,,a&MP/BR_AMMO_LAUNCHER,ui_mp_br_loot_icon_ammo_rocket_detail,0,a&,1,a&,0
8548,brloot_self_revive,1,0,0,0,,,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,hud_icon_loot_revive,0,a&,,a&,0
