string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int
setchancecol,mp/loot/br/delta/default/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_lege.csv,7,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_stronghold.csv,8,,# cache_stronghold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_blacksite.csv,9,,# cache_blacksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_stronghold_black.csv,10,,# stronghold_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_stronghold_high.csv,11,,# stronghold_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_cash_register.csv,12,,# cache_cash_register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_duffel_bag.csv,13,,# cache_duffel_bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_hidden_container.csv,14,,# cache_hidden_container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_medical_box_wall.csv,15,,# cache_medical_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_medicine_cabinet.csv,16,,# cache_medicine_cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_cache_weapon_locker.csv,17,,# cache_weapon_locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_agent_backpack.csv,18,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_blacksite_boss_backpack.csv,19,,# blacksite_boss_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_asn.csv,20,,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_dom.csv,21,,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_scav1.csv,22,,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_scav2.csv,23,,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_scav3.csv,24,,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/delta/default/lootset_contract_safe1.csv,25,,# contract_safe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
setchancecol,mp/loot/br/default/lootset_empty.csv,26,,# empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
