xhash,localized_a,localized_a,localized_a,string,xhash,string,string,string,localized_a,string,string,string,string,string,localized_a,string,xhash,localized_a,string,xhash,string,string,xhash,string,string,xhash,string,string,xhash,string,localized_a,int
#kill,a&,a&,a&,hud_icon_splash_kill,#,,,,a&,,,,5,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#assist,a&SPLASHES/ASSIST,a&SPLASHES/ASSIST,a&,hud_icon_splash_kill,#,,,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#defender,a&SPLASHES/DEFENDER,a&SPLASHES/DEFENDER,a&SPLASHES/DEFENDER_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,21,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#proximitykill,a&SPLASHES/PROXIMITYKILL,a&SPLASHES/PROXIMITYKILL,a&SPLASHES_PROXIMITYKILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,19,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#proximityassist,a&SPLASHES/PROXIMITYASSIST,a&SPLASHES/PROXIMITYASSIST,a&SPLASHES_PROXIMITYASSIST_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,18,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#time_added,a&SPLASHES/TIME_ADDED,a&SPLASHES/TIME_ADDED,a&SPLASHES/TIME_ADDED_DESC,hud_icon_splash_kill,#ui_splash_screen_default,splash,skill,,a&,,,,0,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#firstblood,a&MEDALS_MP/FIRSTBLOOD,a&MEDALS_MP/FIRSTBLOOD,a&MEDALS_MP/FIRSTBLOOD_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,40,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#headshot,a&MEDALS_MP/HEADSHOT,a&MEDALS_MP/HEADSHOT,a&MEDALS_MP/HEADSHOT_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,28,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#avenger,a&MEDALS_MP/AVENGER,a&MEDALS_MP/AVENGER,a&MEDALS_MP/AVENGER_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,22,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#assistedsuicide,a&MEDALS_MP/ASSISTED_SUICIDE,a&MEDALS_MP/ASSISTED_SUICIDE,a&MEDALS_MP/ASSISTED_SUICIDE_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,20,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#buzzkill,a&MEDALS_MP/BUZZKILL,a&MEDALS_MP/BUZZKILL,a&MEDALS_MP/BUZKILL_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,29,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#comeback,a&MEDALS_MP/COMEBACK,a&MEDALS_MP/COMEBACK,a&MEDALS_MP/COMEBACK_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,39,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#longshot,a&MEDALS_MP/LONGSHOT,a&MEDALS_MP/LONGSHOT,a&MEDALS_MP/LONGSHOT_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,30,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#pointblank,a&MEDALS_MP/POINTBLANK,a&MEDALS_MP/POINTBLANK,a&MEDALS_MP/POINTBLANK_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,31,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#revenge,a&MEDALS_MP/REVENGE,a&MEDALS_MP/REVENGE,a&MEDALS_MP/REVENGE_DESC,hud_icon_splash_kill,#hash_b955ed7b14b3a935,splash,skill,,a&,,,,23,0,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#double,a&SPLASHES/DOUBLE_KILL_SHORT,a&MEDALS_MP/DOUBLE_KILL,a&MEDALS_MP/DOUBLE_KILL_DESC,hud_icon_splash_kill,#,splash,skill,,a&,,,,45,1,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
