string,string,localized_a,string,string,string,string,string,string,string,localized_a,string,string,string
0,none,a&LUA_MENU/DEFAULT,,reticle_default,0,,,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,reticle_default,reticle_holo_default
1,acogdef,a&LUA_MENU/DEFAULT,,reticle_acog_default,0,1,acog,,challenge,a&,1,,
2,holodef,a&LUA_MENU/DEFAULT,,reticle_holo_default,0,1,holo,,challenge,a&,1,,
3,hybriddef,a&LUA_MENU/DEFAULT,,reticle_hybrid_default,0,1,hybrid,,challenge,a&,1,,
4,reflexdef,a&LUA_MENU/DEFAULT,,reticle_reflex_default,0,1,reflex,,challenge,a&,1,,
5,thermaldef,a&LUA_MENU/DEFAULT,,reticle_thermal_default,0,1,thermal,,challenge,a&,1,,
6,vzscopedef,a&LUA_MENU/DEFAULT,,reticle_vzscope_default,0,1,vzscope,,challenge,a&,1,,
7,ret01,a&RETICLES/RET_01,,reticle_01,1,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
8,ret02,a&RETICLES/RET_02,,reticle_02,1,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
9,ret03,a&RETICLES/RET_03,,reticle_03,2,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
10,ret04,a&RETICLES/RET_04,,reticle_04,3,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
11,ret05,a&RETICLES/RET_05,,reticle_05,4,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
12,ret06,a&RETICLES/RET_06,,reticle_06,5,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
13,ret07,a&RETICLES/RET_07,,reticle_07,2,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
14,ret08,a&RETICLES/RET_08,,reticle_08,6,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
15,ret09,a&RETICLES/RET_09,,reticle_09,7,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
16,ret10,a&RETICLES/RET_10,,reticle_10,8,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
17,ret11,a&RETICLES/RET_11,,reticle_11,3,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
18,ret12,a&RETICLES/RET_12,,reticle_12,4,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
19,ret13,a&RETICLES/RET_13,,reticle_13,5,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
20,ret14,a&RETICLES/RET_14,,reticle_14,1,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
21,ret15,a&RETICLES/RET_15,,reticle_15,2,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
22,ret16,a&RETICLES/RET_16,,reticle_16,3,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,,
23,ret17,a&RETICLES/RET_17,,reticle_17,4,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
24,ret18,a&RETICLES/RET_18,,reticle_18,5,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,
25,ret19,a&RETICLES/RET_19,,reticle_19,1,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,
26,ret20,a&RETICLES/RET_20,,reticle_20,2,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,
27,ret21,a&RETICLES/RET_21,,reticle_21,6,,acog,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,
28,ret22,a&RETICLES/RET_22,,reticle_22,7,,acog,,challenge,a&,1,,
29,ret23,a&RETICLES/RET_23,,reticle_23,6,,holo,,challenge,a&,1,,
30,ret24,a&RETICLES/RET_24,,reticle_24,9,,reflex,,challenge,a&,1,,
31,ret25,a&RETICLES/RET_25,,reticle_25,7,,holo,,challenge,a&,1,,
32,ret26,a&RETICLES/RET_26,,reticle_26,8,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
33,ret27,a&RETICLES/RET_27,,reticle_27,3,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
34,ret28,a&RETICLES/RET_28,,reticle_28,4,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
35,ret29,a&RETICLES/RET_29,,reticle_29,5,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
36,ret30,a&RETICLES/RET_30,,reticle_30,6,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
37,ret31,a&RETICLES/RET_31,,reticle_31,7,,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
38,ret32,a&RETICLES/RET_32,,reticle_14,1,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,1,reticle_33,reticle_14_hybrid
39,ret33,a&RETICLES/RET_33,,reticle_15,2,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_reflex_default3,reticle_15_hybrid_b
40,ret34,a&RETICLES/RET_34,,reticle_16_hybrid,3,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_04,reticle_04
41,ret35,a&RETICLES/RET_35,,reticle_17_hybrid_a,4,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_17_hybrid_b,reticle_17_hybrid_b
42,ret36,a&RETICLES/RET_36,,reticle_18,5,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_reflex_default3,reticle_18_hybrid
43,ret37,a&RETICLES/RET_37,,reticle_21,6,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_reflex_default,reticle_21_hybrid
44,ret38,a&RETICLES/RET_38,,reticle_22,7,,hybrid,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_32,reticle_22_hybrid
45,ret39,a&RETICLES/RET_39,,reticle_19,1,,hybridthermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_02,
46,ret40,a&RETICLES/RET_40,,reticle_20,2,,hybridthermal,,challenge,a&,1,reticle_04,
47,ret41,a&RETICLES/RET_41,,reticle_27,3,,hybridthermal,,challenge,a&,1,reticle_05,
48,ret42,a&RETICLES/RET_42,,reticle_28,4,,hybridthermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_06,
49,ret43,a&RETICLES/RET_43,,reticle_29,5,,hybridthermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_10,
50,ret44,a&RETICLES/RET_44,,reticle_30,6,,hybridthermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_24,
51,ret45,a&RETICLES/RET_45,,reticle_31,7,,hybridthermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,reticle_32,
52,ret46,a&RETICLES/RET_46,,reticle_32,10,,reflex,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
53,ret47,a&RETICLES/RET_47,,reticle_32,9,,holo,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_MISSION_TEAMS,1,,
54,ret48,a&RETICLES/RET_48,,reticle_48,11,,reflex,,purchase,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
55,ret49,a&RETICLES/RET_48,,reticle_48,10,,holo,,purchase,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
56,ret50,a&RETICLES/RET_50,,reticle_default,12,1,thermal,,challenge,a&MP_FRONTEND_ONLY/UNLOCKED_VIA_SUPPLY_DROP,1,,
