string,string,string
0,default,damage_feedback
1,hitblastshield,hud_icon_feedback_eod
2,hittacresist,hud_icon_feedback_tac_resist
3,hitnooutline,hud_damage_feedback_ghost
4,hitlaststand,hud_damage_feedback_laststand
5,hitjuggernaut,hud_icon_feedback_juggernaut
6,hitspawnprotect,hud_damage_feedback_spawn_protection
7,hitadrenaline,hud_damage_feedback_stim
8,hittrophysystem,hud_damage_feedback_trophy
9,hitequip,hud_icon_feedback_equip
10,hitarmorlight,hud_icon_feedback_armor
11,hitarmorlightbreak,hud_icon_feedback_armor_break
12,hitarmorheavy,hud_damage_feedback_armor_heavy
13,hitarmorheavybreak,hud_damage_feedback_armor_break
14,hithelmetlight,hud_icon_feedback_helmet
15,hithelmetlightbreak,hud_icon_feedback_helmet_break
16,hithelmetheavy,hud_damage_feedback_helmet_heavy
17,hithelmetheavybreak,hud_damage_feedback_helmet_break
18,hitghost,hud_damage_feedback_ghost
19,truckheal,hud_damage_feedback_health_plus_icon
20,hitsuppression,hud_icon_feedback_apr
21,hitveharmor,hud_icon_feedback_armor
22,hitveharmorbreak,hud_icon_feedback_armor_break
23,hitbattlerage,hud_icon_feedback_battle_rage
24,hitsoundveil,hud_icon_feedback_sound_veil
25,hitheadhunter,hud_damage_feedback_headhunter
30,hitflakjacket,hud_icon_feedback_flak_jacket
31,reactivearmorexplosion,hud_icon_feedback_armor_reactive
31,hitarmorlightmaxlevel,hud_icon_feedback_armor_max_level
32,hitlaststand_stimpistol,hud_icon_revive_last_stand
33,hitcyber_stimpistol,hud_icon_revive_cyber
34,hitarmormaxplatebreak,hud_icon_feedback_armor_break
35,hitskydiveprotection,hud_icon_feedback_protected
36,hitarmorlighttempered,hud_icon_feedback_tempered_carrier
37,hitarmortemperedbreak,hud_icon_feedback_armor_break
38,hitquickfix,hud_icon_feedback_quick_fix
39,hitzombieshout,hud_zxp_spell_03
