string,string,string,string,string,string,string,string,string,int
rand_pistol,iw9_pi_golf17,2,5,,,1 2 3 4 5,1,1,0
rand_pistol,iw9_pi_golf18,2,5,,,1 2 3 4 5 6 7 8 9,1,1,0
rand_pistol,iw9_pi_decho,2,5,,,1 2 3 4 5 6 7,1,1,0
rand_pistol,iw9_pi_papa220,2,5,,,1 2 3 4 5 6 7 8 9 10,1,1,0
rand_smg,iw9_sm_mpapa5,2,5,,,1 2 3 4,1,1,0
rand_smg,iw9_sm_aviktor,2,5,,,1 2 3 4 5,1,1,0
rand_smg,iw9_sm_beta,2,5,,,1 2,1,1,0
rand_smg,iw9_sm_mpapa7,2,5,,,1 2 3 4 5 6 7,1,1,0
rand_assault,iw9_ar_schotel,2,5,,,1 2 3 4 5,1,1,0
rand_assault,iw9_ar_kilo53,2,5,,,1 2 3 4,1,1,0
rand_assault,iw9_ar_augolf,2,5,,,1 2 3,1,1,0
rand_assault,iw9_ar_golf3,2,5,,,1 2 3 4 5,1,1,0
rand_assault,iw9_ar_mike4,2,5,,,1 2 3 4 5 6 7 8 9 10 11 12 13,1,1,0
rand_assault,iw9_ar_akilo,2,5,,,1 2 3 4 5 6 7,1,1,0
rand_assault,iw9_ar_akilo74,2,5,,,1,1,1,0
rand_assault,iw9_ar_akilo105,2,5,,,1 2 3 4,1,1,0
rand_dmr,iw9_dm_pgolf1,2,5,,,1 3 4,1,1,0
rand_dmr,iw9_dm_mike24,2,5,,,1 2,1,1,0
rand_dmr,iw9_dm_sa700,2,5,,,1 2 3,1,1,0
rand_dmr,iw9_dm_sbeta,2,5,,,1 2 3,1,1,0
rand_dmr,iw9_dm_la700,2,5,,,1,1,1,0
rand_dmr,iw9_dm_xmike2010,2,5,,,1 2,1,1,0
rand_sniper,iw9_sn_mromeo,2,5,,,1 2 3 4 5,1,1,0
rand_sniper,iw9_sn_alpha50,2,5,,,1 2 3 4,1,1,0
rand_sniper,iw9_sn_limax,2,5,,,1 2 3 4 5 6,1,1,0
rand_sniper2,iw9_sn_mromeo,1,3,,,1 2 3 4 5,1,1,0
rand_sniper2,iw9_sn_alpha50,1,3,,,1 2 3 4,1,1,0
rand_sniper2,iw9_sn_limax,1,3,,,1 2 3 4 5 6,1,1,0
rand_lmg,iw9_lm_slima,2,5,,,1 2,1,1,0
rand_lmg,iw9_lm_rkilo,2,5,,,1 2,1,1,0
rand_lmg,iw9_lm_kilo21,2,5,,,1 2 3,1,1,0
rand_lmg,iw9_lm_ahotel,1,3,,,1 2 3 4,1,1,0
rand_lmg2,iw9_lm_slima,1,3,,,1 2,1,1,0
rand_lmg2,iw9_lm_rkilo,1,3,,,1 2,1,1,0
rand_lmg2,iw9_lm_kilo21,1,3,,,1 2 3,1,1,0
rand_lmg2,iw9_lm_ahotel,1,3,,,1 2 3 4,1,1,0
rand_shotgun,iw9_sh_charlie725,2,5,,,1 2,1,1,0
rand_shotgun,iw9_sh_mbravo,2,5,,,1 2,1,1,0
rand_launcher,iw9_la_rpapa7,0,0,,,0,1,0,0
rand_launcher,iw9_la_gromeo,0,0,,,0,1,0,0
rand_launcher,iw9_la_kgolf,0,0,,,0,1,0,0
rand_launcher,iw9_la_mike32,0,0,,,0,1,0,0
rand_assault2,iw9_ar_schotel,1,3,,,1 2 3 4 5,1,1,0
rand_assault2,iw9_ar_kilo53,1,3,,,1 2 3 4,1,1,0
rand_assault2,iw9_ar_augolf,1,3,,,1 2 3,1,1,0
rand_assault2,iw9_ar_golf3,1,3,,,1 2 3 4 5,1,1,0
rand_assault2,iw9_ar_mike4,1,3,,,1 2 3 4 5 6 7 8 9 10 11 12 13,1,1,0
rand_assault2,iw9_ar_akilo,1,3,,,1 2 3 4 5 6 7,1,1,0
rand_assault2,iw9_ar_akilo74,1,3,,,1,1,1,0
rand_assault2,iw9_ar_akilo105,1,3,,,1 2 3 4,1,1,0
rand_shotgun2,iw9_sh_charlie725,1,3,,,1 2,1,1,0
rand_shotgun2,iw9_sh_mbravo,1,3,,,1 2,1,1,0
rand_pistol2,iw9_pi_golf17,1,3,,,1 2 3 4 5,1,1,0
rand_pistol2,iw9_pi_golf18,1,3,,,1 2 3 4 5 6 7 8 9,1,1,0
rand_pistol2,iw9_pi_decho,1,3,,,1 2 3 4 5 6 7,1,1,0
rand_pistol2,iw9_pi_papa220,1,3,,,1 2 3 4 5 6 7 8 9 10,1,1,0
rand_knife_end,iw9_me_knife,0,0,,,1 2 3 4 5 6 7,1,0,0
