string,string,localized_a
0,ESC,a&CODCASTER/KB_MENU
1,L,a&CODCASTER/KB_LOADOUT
2,Y,a&CODCASTER/KB_PLAYERLIST
3,X,a&CODCASTER/KB_XRAY
4,S,a&CODCASTER/KB_SCOREPANEL
5,N,a&CODCASTER/KB_PLAYERNUMBERS
6,C,a&CODCASTER/KB_PLAYERCARD
7,M,a&CODCASTER/KB_MAP
8,H,a&CODCASTER/KB_PLAYERHUD
9,T,a&CODCASTER/KB_THIRDPERSON
10,CODCASTER/KB_COMMA,a&CODCASTER/KB_PREVIOUSPLAYER
11,1-5,a&CODCASTER/KB_TEAM1
12,CODCASTER/KB_DOT,a&CODCASTER/KB_NEXTPLAYER
13,6-0,a&CODCASTER/KB_TEAM2
14,TAB,a&CODCASTER/KB_SCOREBOARD
15,SPC,a&CODCASTER/KB_NEXTLIVEPLAYER
16,F,a&CODCASTER/ENABLE_FOLLOW_DRONE
17,F1-12,a&CODCASTER/KB_CYCLECAMERAS
18,I,a&CODCASTER/DS_CAMERAICON
