string,localized,localized,localized,localized,string,string,string,string,xhash,string,string,string,string,localized,string,string,string,string,string,int
RUSF,&MENU/FACTION_ONE_SHORT,&MENU/FACTION_ONE_SHORT,&MP/FACTION_ONE_ELIMINATED,&MP/FACTION_ONE_FORFEITED,,,hud_icon_faction_pacd_fx,rs,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
USMC,&MENU/FACTION_TWO_SHORT,&MENU/FACTION_TWO_SHORT,&MP/FACTION_TWO_ELIMINATED,&MP/FACTION_TWO_FORFEITED,,,hud_icon_faction_sato_fx,uk,#hash_575379d6ee5bed46,usmc,babyBlue,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000004,0
SAS,&MENU/FACTION_THREE_SHORT,&MENU/FACTION_THREE_SHORT,&MP/FACTION_THREE_ELIMINATED,&MP/FACTION_THREE_FORFEITED,,,hud_icon_faction_sato_fx,uk,#hash_575379d6ee5bed46,sas_urban,mudRed,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000003,0
SABF,&MENU/FACTION_FOUR_SHORT,&MENU/FACTION_FOUR_SHORT,&MP/FACTION_FOUR_ELIMINATED,&MP/FACTION_FOUR_FORFEITED,,,hud_icon_faction_pacd_fx,af,#hash_d8a70253017b1b64,sa_militia,orangeRed,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000007,0
FIVE,&MENU/FACTION_FIVE_SHORT,&MENU/FACTION_FIVE_SHORT,&MP/FACTION_FIVE_ELIMINATED,&MP/FACTION_FIVE_FORFEITED,,,hud_icon_faction_pacd_fx,wc,#hash_d8a70253017b1b64,sa_militia,orangeRed,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000005,0
SIX,&MENU/FACTION_SIX_SHORT,&MENU/FACTION_SIX_SHORT,&MP/FACTION_SIX_ELIMINATED,&MP/FACTION_SIX_FORFEITED,,,hud_icon_faction_sato_fx,ch,#hash_575379d6ee5bed46,usmc,blue,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000008,0
SEVEN,&MENU/FACTION_SEVEN_SHORT,&MENU/FACTION_SEVEN_SHORT,&MP/FACTION_SEVEN_ELIMINATED,&MP/FACTION_SEVEN_FORFEITED,,,hud_icon_faction_sato_fx,ru,#hash_d8a70253017b1b64,,,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000009,0
FREE,&MENU/FREE_FOR_ALL,&MENU/FREE_FOR_ALL,&,&,,,hud_icon_faction_sato_fx,uk,#,,white,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,0,0
DEFAULT,&MENU/MIL_SIM,&MENU/MIL_SIM,&,&,,,hud_icon_faction_sato_fx,uk,#,,white,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,0,0
ZVIR,&MENU/FACTION_ONE_SHORT,&MENU/FACTION_ONE_SHORT,&MP/FACTION_ONE_ELIMINATED,&MP/FACTION_ONE_FORFEITED,,,hud_icon_faction_pacd_fx,rs,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
ICORPS,&MENU/FACTION_ONE_SHORT,&MENU/FACTION_ONE_SHORT,&MP/FACTION_ONE_ELIMINATED,&MP/FACTION_ONE_FORFEITED,,,hud_icon_faction_pacd_fx,sa,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
GRP9,&MENU/FACTION_ONE_SHORT,&MENU/FACTION_ONE_SHORT,&MP/FACTION_ONE_ELIMINATED,&MP/FACTION_ONE_FORFEITED,,,hud_icon_faction_pacd_fx,de,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,1000006,0
CODCASTER,&,&,&,&,,,,,#,,,,,&CODCASTER/CAPS,,,,,,0
SPECGRU,&MENU/FACTION_SPECGRU,&MENU/FACTION_SPECGRU,&MENU/FACTION_SPECGRU_ELIMINATED,&MENU/FACTION_SPECGRU_FORFEIT,,,hud_icon_faction_pacd_fx,uk,#hash_d8a70253017b1b64,,,,,&LUA_MENU/THE_WEST,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,icon_faction_coalition,,0
KORTAC,&MENU/FACTION_KORTAC,&MENU/FACTION_KORTAC,&MENU/FACTION_KORTAC_ELIMINATED,&MENU/FACTION_KORTAC_FORFEIT,,,hud_icon_faction_pacd_fx,ru,#hash_d8a70253017b1b64,,,,,&LUA_MENU/THE_EAST,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,,0
EASIMA,&MENU/FACTION_EASIMA,&MENU/FACTION_EASIMA,&MP/FACTION_EASIMA_ELIMINATED,&MP/FACTION_EASIMA_FORFEITED,,,hud_icon_faction_pacd_fx,rs,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/FACTION_EASIMA,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
ALMAS,&MENU/FACTION_ALMAS,&MENU/FACTION_ALMAS,&MP/FACTION_ALMAS_ELIMINATED,&MP/FACTION_ALMAS_FORFEITED,,,hud_icon_faction_pacd_fx,de,#hash_d8a70253017b1b64,spetsnaz,red,,,&LUA_MENU/FACTION_ALMAS,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,icon_faction_allegiance,1000006,0
