string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized,localized,localized,localized,localized,localized,localized,localized,int
mp_arn_zone1,a&LUA_MENU/MAPNAME_ARN_ZONE1,a&LUA_MENU/MAPNAME_ARN_ZONE1,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_arn_zone1_bg_preview,loading_mp_arn_zone1_bg,0,a&LUA_MENU/MAPNAME_ARN_ZONE1,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_ARN_ZONE1_ALLIES_1,&MP_CHYRON/MP_ARN_ZONE1_ALLIES_2,&MP_CHYRON/MP_ARN_ZONE1_ALLIES_3,&MP_CHYRON/MP_ARN_ZONE1_ALLIES_4,&MP_CHYRON/MP_ARN_ZONE1_AXIS_1,&MP_CHYRON/MP_ARN_ZONE1_AXIS_2,&MP_CHYRON/MP_ARN_ZONE1_AXIS_3,&MP_CHYRON/MP_ARN_ZONE1_AXIS_4,0
mp_bio_lab,a&LUA_MENU/MAPNAME_BIO_LAB,a&LUA_MENU/MAPNAME_BIO_LAB,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_bio_lab_bg_preview,loading_mp_bio_lab_bg,0,a&LUA_MENU/MAPNAME_BIO_LAB,,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_BIO_LAB_ALLIES_1,&MP_CHYRON/MP_BIO_LAB_ALLIES_2,&MP_CHYRON/MP_BIO_LAB_ALLIES_3,&MP_CHYRON/MP_BIO_LAB_ALLIES_4,&MP_CHYRON/MP_BIO_LAB_AXIS_1,&MP_CHYRON/MP_BIO_LAB_AXIS_2,&MP_CHYRON/MP_BIO_LAB_AXIS_3,&MP_CHYRON/MP_BIO_LAB_AXIS_4,0
mp_biobunker,a&LUA_MENU/MAPNAME_BIOBUNKER,a&LUA_MENU/MAPNAME_BIOBUNKER,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_biobunker_bg_preview,loading_mp_biobunker_bg,0,a&LUA_MENU/MAPNAME_BIOBUNKER,,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_BIOBUNKER_ALLIES_1,&MP_CHYRON/MP_BIOBUNKER_ALLIES_2,&MP_CHYRON/MP_BIOBUNKER_ALLIES_3,&MP_CHYRON/MP_BIOBUNKER_ALLIES_4,&MP_CHYRON/MP_BIOBUNKER_AXIS_1,&MP_CHYRON/MP_BIOBUNKER_AXIS_2,&MP_CHYRON/MP_BIOBUNKER_AXIS_3,&MP_CHYRON/MP_BIOBUNKER_AXIS_4,0
mp_bounty,a&LUA_MENU/MAPNAME_BOUNTY,a&LUA_MENU/MAPNAME_BOUNTY,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_bounty_bg_preview,loading_mp_bounty_bg,0,a&LUA_MENU/MAPNAME_BOUNTY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_BOUNTY_ALLIES_1,&MP_CHYRON/MP_BOUNTY_ALLIES_2,&MP_CHYRON/MP_BOUNTY_ALLIES_3,&MP_CHYRON/MP_BOUNTY_ALLIES_4,&MP_CHYRON/MP_BOUNTY_AXIS_1,&MP_CHYRON/MP_BOUNTY_AXIS_2,&MP_CHYRON/MP_BOUNTY_AXIS_3,&MP_CHYRON/MP_BOUNTY_AXIS_4,0
mp_catedral,a&LUA_MENU/MAPNAME_CATEDRAL,a&LUA_MENU/MAPNAME_CATEDRAL,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_catedral_bg_preview,loading_mp_catedral_bg,0,a&LUA_MENU/MAPNAME_CATEDRAL,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_CATEDRAL_ALLIES_1,&MP_CHYRON/MP_CATEDRAL_ALLIES_2,&MP_CHYRON/MP_CATEDRAL_ALLIES_3,&MP_CHYRON/MP_CATEDRAL_ALLIES_4,&MP_CHYRON/MP_CATEDRAL_AXIS_1,&MP_CHYRON/MP_CATEDRAL_AXIS_2,&MP_CHYRON/MP_CATEDRAL_AXIS_3,&MP_CHYRON/MP_CATEDRAL_AXIS_4,0
mp_catedral_hlwn,a&LUA_MENU/MAPNAME_CATEDRAL_HLWN,a&LUA_MENU/MAPNAME_CATEDRAL_HLWN,,0.45,205,542,0,0,0.004,ICORPS,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_catedral_hlwn_bg_preview,loading_mp_catedral_hlwn_bg,0,a&LUA_MENU/MAPNAME_CATEDRAL_HLWN,,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_CATEDRAL_ALLIES_1,&MP_CHYRON/MP_CATEDRAL_ALLIES_2,&MP_CHYRON/MP_CATEDRAL_ALLIES_3,&MP_CHYRON/MP_CATEDRAL_ALLIES_4,&MP_CHYRON/MP_CATEDRAL_AXIS_1,&MP_CHYRON/MP_CATEDRAL_AXIS_2,&MP_CHYRON/MP_CATEDRAL_AXIS_3,&MP_CHYRON/MP_CATEDRAL_AXIS_4,0
mp_crossing,a&LUA_MENU/MAPNAME_CROSSING,a&LUA_MENU/MAPNAME_CROSSING,,0.45,205,542,0,0,0.004,ZVIR,USMC,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_crossing_bg_preview,loading_mp_crossing_bg,0,a&LUA_MENU/MAPNAME_CROSSING,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_CROSSING_ALLIES_1,&MP_CHYRON/MP_CROSSING_ALLIES_2,&MP_CHYRON/MP_CROSSING_ALLIES_3,&MP_CHYRON/MP_CROSSING_ALLIES_4,&MP_CHYRON/MP_CROSSING_AXIS_1,&MP_CHYRON/MP_CROSSING_AXIS_2,&MP_CHYRON/MP_CROSSING_AXIS_3,&MP_CHYRON/MP_CROSSING_AXIS_4,0
mp_davos,a&LUA_MENU/MAPNAME_DAVOS,a&LUA_MENU/MAPNAME_DAVOS,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_davos_bg_preview,loading_mp_davos_bg,0,a&LUA_MENU/MAPNAME_DAVOS,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&,&,&,&,&,&,&,&,0
mp_embassy,a&LUA_MENU/MAPNAME_EMBASSY,a&LUA_MENU/MAPNAME_EMBASSY,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_embassy_bg_preview,loading_mp_embassy_bg,0,a&LUA_MENU/MAPNAME_EMBASSY,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_EMBASSY_ALLIES_1,&MP_CHYRON/MP_EMBASSY_ALLIES_2,&MP_CHYRON/MP_EMBASSY_ALLIES_3,&MP_CHYRON/MP_EMBASSY_ALLIES_4,&MP_CHYRON/MP_EMBASSY_AXIS_1,&MP_CHYRON/MP_EMBASSY_AXIS_2,&MP_CHYRON/MP_EMBASSY_AXIS_3,&MP_CHYRON/MP_EMBASSY_AXIS_4,0
mp_embassy_hlwn,a&LUA_MENU/MAPNAME_EMBASSY_HLWN,a&LUA_MENU/MAPNAME_EMBASSY_HLWN,,0.45,205,542,0,0,0.004,ICORPS,SAS,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_embassy_bg_preview,loading_mp_embassy_bg,0,a&LUA_MENU/MAPNAME_EMBASSY_HLWN,,DXR_ON,,1,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_EMBASSY_ALLIES_1,&MP_CHYRON/MP_EMBASSY_ALLIES_2,&MP_CHYRON/MP_EMBASSY_ALLIES_3,&MP_CHYRON/MP_EMBASSY_ALLIES_4,&MP_CHYRON/MP_EMBASSY_AXIS_1,&MP_CHYRON/MP_EMBASSY_AXIS_2,&MP_CHYRON/MP_EMBASSY_AXIS_3,&MP_CHYRON/MP_EMBASSY_AXIS_4,0
mp_farm_18,a&LUA_MENU/MAPNAME_FARM_18,a&LUA_MENU/MAPNAME_FARM_18,,0.45,205,542,0,0,0.004,RUSF,GRP9,SAS,ZVIR,ICORPS,GRP9,FREE,,,,,loading_mp_farm_18_bg_preview,loading_mp_farm_18_bg,0,a&LUA_MENU/MAPNAME_FARM_18,,DXR_ON,,0,0,700,3500,1,,0.06,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_FARM_18_ALLIES_1,&MP_CHYRON/MP_FARM_18_ALLIES_2,&MP_CHYRON/MP_FARM_18_ALLIES_3,&MP_CHYRON/MP_FARM_18_ALLIES_4,&MP_CHYRON/MP_FARM_18_AXIS_1,&MP_CHYRON/MP_FARM_18_AXIS_2,&MP_CHYRON/MP_FARM_18_AXIS_3,&MP_CHYRON/MP_FARM_18_AXIS_4,0
mp_floatinghouses,a&LUA_MENU/MAPNAME_FLOATINGHOUSES,a&LUA_MENU/MAPNAME_FLOATINGHOUSES,,0.45,205,542,0,0,0.004,RUSF,SAS,SAS,SABF,FIVE,SIX,FREE,,,,,loading_mp_float_bg_preview,loading_mp_float_bg,0,a&LUA_MENU/MAPNAME_FLOATINGHOUSES,,DXR_ON,,0,0,500,2500,1,,0.18,-0.02,1,1,1,1,1,12000,2000,4000,15000,2000,,&MP_CHYRON/MP_FLOATINGHOUSES_ALLIES_1,&MP_CHYRON/MP_FLOATINGHOUSES_ALLIES_2,&MP_CHYRON/MP_FLOATINGHOUSES_ALLIES_3,&MP_CHYRON/MP_FLOATINGHOUSES_ALLIES_4,&MP_CHYRON/MP_FLOATINGHOUSES_AXIS_1,&MP_CHYRON/MP_FLOATINGHOUSES_AXIS_2,&MP_CHYRON/MP_FLOATINGHOUSES_AXIS_3,&MP_CHYRON/MP_FLOATINGHOUSES_AXIS_4,0
