string,string,string,string,localized_a,string,xhashdvar,string,string,localized_a,int
legend,player,icon_minimap_player,,a&MP_BR_INGAME/PLAYER,,@#,,,a&,0
legend,playerPing,ui_mp_br_mapmenu_ping_navigation_squadleader,,a&MP_BR_INGAME/MAP_KEY_PLAYER_PING,,@#,,,a&,0
top,contracts,,,a&,1,@#,,,a&,0
middle,armoryKiosk,ui_mp_br_mapmenu_legend_poi_shop,,a&MP_BR_INGAME/ARMORY_KIOSK,,@#,,,a&,0
middle,jugg,ui_mp_br_mapmenu_legend_juggernaut_player,,a&MP_BR_INGAME/JUGG,,@#,,,a&,0
bottom,koth,ui_mp_br_mapmenu_icon_poi_sb_koh,,a&MP_BR_INGAME/ATTRACT_KOTH_NAME,,@#,,ui_mp_br_mapmenu_distance_icon_poi_sb,a&MP_BR_INGAME/ATTRACTIONS,0
bottom,raceHeli,ui_mp_br_mapmenu_icon_poi_sb_race_helo,,a&MP_BR_INGAME/ATTRACT_RT_HELI_NAME,,@#,,,a&,0
bottom,raceParachute,ui_mp_br_mapmenu_icon_poi_sb_race_parachute,,a&MP_BR_INGAME/ATTRACT_RT_PARACHUTE_NAME,,@#,,,a&,0
bottom,raceVehicle,ui_mp_br_mapmenu_icon_poi_sb_race_vehicle,,a&MP_BR_INGAME/ATTRACT_RT_NAME,,@#,,,a&,0
bottom,train,ui_mp_br_mapmenu_legend_vehicle_train,,a&VEHICLES/TRAIN,,@#scr_wztrain_enable,,,a&,0
