string,string,string,localized_a,string,string,string,string,string,string,localized_a,string
1,taunt_mp_western_wyatt_default,wyatt_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
2,taunt_mp_western_spetsnaz_default,spetsnaz_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
3,taunt_mp_western_murphy_default,murphy_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,2,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
4,taunt_mp_western_dday_default,dday_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
5,taunt_mp_western_charly_default,charly_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,3,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
6,taunt_mp_western_alice_default,alice_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
7,taunt_mp_eastern_syd_default,syd_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
8,taunt_mp_eastern_bale_default,bale_eastern,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
9,taunt_mp_western_domino_default,domino_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,2,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
10,taunt_mp_western_otter_default,otter_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,3,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
11,taunt_mp_western_quin_default,quin_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
12,taunt_mp_western_kato_default,kato_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
13,taunt_mp_western_zedra_default,zedra_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
14,taunt_mp_western_golem_default,golem_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,300,1,,ui_default_white,2,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
15,taunt_mp_western_farah_default,farah_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,800,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
16,taunt_mp_western_ghost_default,ghost_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,100,1,,ui_default_white,3,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
17,taunt_mp_western_lynch_default,lynch_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,200,0,,ui_default_white,4,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
18,taunt_mp_western_hooper_default,hooper_western,a&OPERATORS/DEFAULT_OPERATOR_LOOT,,500,0,,ui_default_white,1,a&OPERATORS/WYATT_DEFAULT_TAUNT_DESC,mp_streak_tutorial_uav
