string,string,string,string,string,localized_a
1,any,1,power_frag,LETHAL,a&MENU/LETHAL_CAPS
2,any,1,power_throwingKnife,LETHAL,a&MENU/LETHAL_CAPS
3,any,1,power_semtex,LETHAL,a&MENU/LETHAL_CAPS
4,any,1,power_c4,LETHAL,a&MENU/LETHAL_CAPS
5,any,1,power_claymore,LETHAL,a&MENU/LETHAL_CAPS
5,any,1,power_helmet,LETHAL,a&MENU/LETHAL_CAPS
6,any,2,power_concussionGrenade,TACTICAL,a&LUA_MENU/TACTICAL_CAPS
7,any,2,power_smokeGrenade,TACTICAL,a&LUA_MENU/TACTICAL_CAPS
8,any,2,power_trophy,TACTICAL,a&LUA_MENU/TACTICAL_CAPS
9,any,2,power_adrenaline,TACTICAL,a&LUA_MENU/TACTICAL_CAPS
10,any,2,power_flash,TACTICAL,a&LUA_MENU/TACTICAL_CAPS
