string,string,localized_a,localized_a,string,localized_a,string,string,string,string,string,string,localized_a,string,localized_a,string,string,localized_a,string,localized_a,string,int
1,assassination,a&LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_map_icon_obj_assassin,assassin,1,p,,brloot_assassination_tablet,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&,assassination,a&,,0
2,assassination_all,a&LUA_MENU_MP/MISSION_ASSASSIN_1_TITLE,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_1,ui_map_icon_obj_assassin,assassin_all,0,p,,,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&,assassination,a&,,0
3,assassination_all_timed,a&LUA_MENU_MP/MISSION_ASSASSIN_2_TITLE,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,,a&MP_BR_INGAME/MISSION_ASSASSIN_TARGET_2,ui_map_icon_obj_assassin,assassin_all,1,p,,,a&,ui_mp_br_mapmenu_legend_tablet_assassin,a&MP_BR_INGAME/ASSASSIN_CONTRACT,ui_mp_br_contracts_splash_icon_assassin,,a&,assassination,a&,,0
4,domination,a&LUA_MENU_MP/MISSION_DOM_1_TITLE,a&MP_BR_INGAME/MISSION_DOM_1_DESC,,a&,ui_map_icon_obj_recon,domination,1,,,brloot_domination_tablet,a&MP_BR_INGAME/MISSION_DOM_1_EXTRA_REWARD,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/DOMINATION_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,a&,dom,a&,,0
5,intel_explore,a&MP_BR_INGAME/INTEL_CONTRACT,a&MP_DMZ_MISSIONS/DMZ_DOM_EXPLORE_DESC,,a&,ui_map_icon_obj_intel,default,1,,,brloot_intel_tablet,a&,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/INTEL_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,a&,intel,a&,,0
6,intel_upload,a&MP_BR_INGAME/INTEL_CONTRACT,a&MP_DMZ_MISSIONS/DMZ_DOM_DESC,,a&,ui_map_icon_obj_intel,default,1,,,brloot_intel_tablet,a&,ui_mp_br_mapmenu_legend_tablet_dom,a&MP_BR_INGAME/INTEL_CONTRACT,ui_mp_br_contracts_splash_icon_dom,,a&,intel,a&,,0
7,timedrun,a&LUA_MENU_MP/MISSION_TIMEDRUN_1_TITLE,a&MP_BR_INGAME/MISSION_TIMEDRUN_1_DESC,,a&,ui_map_icon_obj_recover,timed_run,1,,,brloot_timedrun_tablet,a&,ui_mp_br_mapmenu_legend_tablet_timedrun,a&MP_BR_INGAME/TIMEDRUN_CONTRACT,ui_mp_br_contracts_splash_icon_timerun,,a&,timedrun,a&,,0
8,safecracker,a&LUA_MENU_MP/MISSION_SAFECRACKER_TITLE,a&MP_BR_INGAME/SAFECRACKER_CONTRACT_DESC,3,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_map_icon_obj_safecracker,safecracker_3,1,i,1,ui_map_icon_ph_safe_cracker,a&,ui_map_icon_ph_safe_cracker,a&MP_BR_INGAME/SAFECRACKER_CONTRACT,ui_mp_br_contracts_splash_icon_safebreaker,,a&,safecracker,a&,,0
9,scavenger,a&LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,a&MP_BR_INGAME/MISSION_SCAVENGER_DESC,3,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_map_icon_obj_scavenger,scavenger_3,1,i,1,brloot_scavenger_tablet,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,a&,scavenger,a&,,0
10,collection,a&LUA_MENU_MP/MISSION_SCAVENGERHUNT_1_TITLE,a&MP_BR_INGAME/MISSION_SCAVENGERHUNT_1_DESC,10,a&LUA_MENU_MP/PROGRESS_TOTAL,ui_map_icon_obj_scavenger,default,,i,1,,a&,ui_mp_br_mapmenu_legend_tablet_scavengerhunt,a&MP_BR_INGAME/SCAVENGER_CONTRACT,ui_mp_br_contracts_splash_icon_scavengerhunt,,a&,scavenger,a&,,0
