string,string,string,localized_a,localized_a
unlockToken,1,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,1,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
weapon,1,weapon,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CLASSIC_WEAPON_TOKEN,a&
unlockToken,2,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,2,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
loadoutslot,2,loadoutslot,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_LOADOUT_SLOT,a&
unlockToken,3,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,3,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
weapon,3,weapon,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CLASSIC_WEAPON_TOKEN,a&
unlockToken,4,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,4,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
loadoutslot,4,loadoutslot,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_LOADOUT_SLOT,a&
unlockToken,5,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,5,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
weapon,5,weapon,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CLASSIC_WEAPON_TOKEN,a&
unlockToken,6,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,6,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
loadoutslot,6,loadoutslot,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_LOADOUT_SLOT,a&
unlockToken,7,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,7,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
weapon,7,weapon,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CLASSIC_WEAPON_TOKEN,a&
unlockToken,8,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,8,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
loadoutslot,8,loadoutslot,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_LOADOUT_SLOT,a&
unlockToken,9,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,9,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
weapon,9,weapon,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CLASSIC_WEAPON_TOKEN,a&
unlockToken,10,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
playercard,10,playercard,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PLAYERCARD,a&
loadoutslot,10,loadoutslot,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_LOADOUT_SLOT,a&
unlockToken,11,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,11,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,11,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_CHALLENGE_XP,a&
unlockToken,12,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,12,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,12,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/ARCLASSIC
unlockToken,13,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,13,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,13,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_AR
unlockToken,14,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,14,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,14,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/UMP45_CLASSIC
unlockToken,15,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,15,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,15,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_SMG
unlockToken,16,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,16,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,16,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/G18_CLASSIC
unlockToken,17,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,17,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,17,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_LMG
unlockToken,18,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,18,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,18,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/CHEYTAC_CLASSIC
unlockToken,19,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,19,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,19,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_SNIPER
unlockToken,20,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,20,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,20,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/M1_CLASSIC
unlockToken,21,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,21,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,21,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_SHOTGUN
unlockToken,22,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,22,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,22,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/SPAS_CLASSIC
unlockToken,23,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,23,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,23,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MKII_BONUS,a&LUA_MENU/WEAPTYPE_SINGLE_HANDGUN
unlockToken,24,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,24,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,24,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/ARCLASSIC
unlockToken,25,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,25,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,25,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/UMP45_CLASSIC
unlockToken,26,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,26,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,26,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/G18_CLASSIC
unlockToken,27,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,27,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,27,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/CHEYTAC_CLASSIC
unlockToken,28,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,28,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,28,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/M1_CLASSIC
unlockToken,29,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,29,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,29,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PASSIVE,a&WEAPON/SPAS_CLASSIC
unlockToken,30,unlockToken,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_PERMANENT_UNLOCK_TOKEN,a&
unlockToken,30,emblem,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_MP_EMBLEM,a&
unlockToken,30,boost,a&MP_FRONTEND_ONLY/PRESTIGE_REWARD_NUKE,a&WEAPON/KNIFE_ONLY
