string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
0,optic,a&CAS/ATTACHMENT_CAT_OPTIC,4,0,loadout_showcase_preview_optic,loadout_showcase_preview_small_optic,loadout_showcase_preview_large_optic,tag_reflex,,,,1,1,1
1,muzzle,a&CAS/ATTACHMENT_CAT_MUZZLE,1,1,loadout_showcase_preview_muzzle,loadout_showcase_preview_small_muzzle,loadout_showcase_preview_large_muzzle,tag_silencer,,,,0,0,0
2,frontpiece,a&CAS/ATTACHMENT_CAT_FRONT,2,2,loadout_showcase_preview_barrel,loadout_showcase_preview_small_barrel,loadout_showcase_preview_large_barrel,tag_barrel_attach,2,,,0,1,0
3,undermount,a&CAS/ATTACHMENT_CAT_UNDERMOUNT,6,3,loadout_showcase_preview_underbarrel,loadout_showcase_preview_underbarrel,loadout_showcase_preview_large_underbarrel,tag_grip_attach,,,,1,0,1
4,magazine,a&CAS/ATTACHMENT_CAT_MAGAZINE,8,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_mag_attach,,,,0,0,0
5,reargrip,a&CAS/ATTACHMENT_CAT_REARGRIP,10,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1
6,backpiece,a&CAS/ATTACHMENT_CAT_BACK,5,6,loadout_showcase_preview_stock,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_stock,tag_stock_attach,,,,1,0,1
7,extra,a&CAS/ATTACHMENT_CAT_EXTRA,3,7,loadout_showcase_preview_laser,loadout_showcase_preview_small_laser,loadout_showcase_preview_large_laser,tag_laser_attach,,,,1,0,1
8,extrapstl,a&CAS/ATTACHMENT_CAT_EXTRA,3,7,loadout_showcase_preview_laser,loadout_showcase_preview_small_laser,loadout_showcase_preview_large_laser,tag_laser_attach,,,,1,1,0
9,gunperk,a&CAS/ATTACHMENT_CAT_PERK,7,8,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
