string,string,localized_a,string,string,int
iw9_ar_mike4,0,a&WEAPON/AR_MIKE4,icon_weapon_ar_mike4,rand_assault+rand_primary+rand_weapon,0
iw9_ar_akilo,1,a&WEAPON/AR_AKILO47,icon_weapon_ar_akilo47,rand_assault+rand_primary+rand_weapon,0
iw9_ar_golf3,2,a&WEAPON/AR_GOLF3,icon_weapon_ar_falima,rand_assault+rand_primary+rand_weapon,0
iw9_ar_kilo53,3,a&WEAPON/AR_KILO53,icon_weapon_ar_kilo433,rand_assault+rand_primary+rand_weapon,0
iw9_sm_mpapa5,4,a&WEAPON/SM_MPAPA5,icon_weapon_sm_mpapa5,rand_smg+rand_primary+rand_weapon,0
iw9_sm_mpapa7,5,a&WEAPON/SM_MPAPA7,icon_weapon_sm_mpapa7,rand_smg+rand_primary+rand_weapon,0
iw9_dm_pgolf1,6,a&WEAPON/DM_PGOLF1,icon_weapon_sn_sksierra,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,0
iw9_dm_mike24,7,a&WEAPON/DM_MIKE24,icon_weapon_sn_mike14,rand_dmr+rand_sniperdmr+rand_primary+rand_weapon,0
iw9_sn_alpha50,8,a&WEAPON/SN_ALPHA50,icon_weapon_sn_alpha50,rand_sniper+rand_sniperdmr+rand_primary+rand_weapon,0
iw9_lm_kilo21,9,a&WEAPON/LM_KILO121,icon_weapon_lm_kilo121,rand_lmg+rand_primary+rand_weapon,0
iw9_lm_slima,10,a&WEAPON/LM_SLIMA,icon_weapon_lm_kilo121,rand_lmg+rand_primary+rand_weapon,0
iw9_sh_mbravo,11,a&WEAPON/SH_MBRAVO,icon_weapon_sh_romeo870,rand_shotgun+rand_primary+rand_weapon,0
iw8_me_riotshield,12,a&WEAPON/ME_RIOTSHIELD,icon_weapon_me_riotshield,rand_primary+rand_weapon,0
iw9_pi_golf17,13,a&WEAPON/PI_GOLF17,icon_weapon_pi_golf21,rand_pistol+rand_weapon,0
iw9_pi_decho,14,a&WEAPON/PI_DECHO,icon_weapon_pi_decho,rand_pistol+rand_weapon,0
iw9_pi_papa220,15,a&WEAPON/PI_PAPA220,icon_weapon_pi_mike_1911,rand_pistol+rand_weapon,0
iw8_la_gromeo,16,a&WEAPON/LA_GROMEO,icon_weapon_la_gromeo,rand_launcher,0
iw8_la_rpapa7,17,a&WEAPON/LA_RPAPA7,icon_weapon_la_rpapa7,rand_launcher,0
iw8_la_juliet,18,a&WEAPON/LA_JULIET,icon_weapon_la_juliet,rand_launcher,0
iw8_la_kgolf,19,a&WEAPON/LA_KGOLF,icon_weapon_la_kgolf,rand_launcher,0
iw8_knife,20,a&WEAPON/KNIFE_ONLY,icon_weapon_me_soscar_knife,rand_melee,0
iw8_me_akimboblunt,21,a&WEAPON/AKIMBO_BLUNT,icon_weapon_me_kali_sticks,rand_melee,0
iw8_me_akimboblades,22,a&WEAPON/AKIMBO_BLADES,icon_weapon_me_sword,rand_melee,0
equip_frag,23,a&EQUIPMENT/FRAG,hud_icon_equipment_frag,rand_lethal,0
equip_semtex,24,a&EQUIPMENT/SEMTEX,hud_icon_equipment_semtex,rand_lethal,0
equip_molotov,25,a&EQUIPMENT/MOLOTOV,hud_icon_equipment_molotov,rand_lethal,0
equip_claymore,26,a&EQUIPMENT/CLAYMORE,hud_icon_equipment_claymore,rand_lethal,0
equip_throwing_knife,27,a&EQUIPMENT/THROWING_KNIFE,hud_icon_equipment_throwing_knife,rand_lethal,0
equip_throwing_knife_fire,28,a&EQUIPMENT/THROWING_KNIFE_FIRE,hud_icon_equipment_throwing_knife_fire,rand_lethal,0
equip_c4,29,a&EQUIPMENT/C4,hud_icon_equipment_c4,rand_lethal,0
equip_thermite,30,a&EQUIPMENT/THERMITE,hud_icon_equipment_thermite,rand_lethal,0
equip_at_mine,31,a&EQUIPMENT/AT_MINE,hud_icon_equipment_at_mine,rand_lethal,0
equip_flash,32,a&EQUIPMENT/FLASH,hud_icon_equipment_flash,rand_tactical,0
equip_smoke,33,a&EQUIPMENT/SMOKE,hud_icon_equipment_smoke,rand_tactical,0
equip_concussion,34,a&EQUIPMENT/CONCUSSION,hud_icon_equipment_stun,rand_tactical,0
equip_adrenaline,35,a&EQUIPMENT/ADRENALINE,hud_icon_equipment_stim,rand_tactical,0
equip_trophy,36,a&EQUIPMENT/TROPHY,hud_icon_fieldupgrade_trophy,rand_tactical,0
equip_snapshot_grenade,37,a&EQUIPMENT/SNAPSHOT_GRENADE,hud_icon_equipment_snapshot,rand_tactical,0
equip_decoy,38,a&EQUIPMENT/DECOY,hud_icon_equipment_decoy,rand_tactical,0
//equip_snowball,39,a&EQUIPMENT/SNOWBALL,hud_icon_equipment_snowball,snow,0
//equip_pball,40,a&EQUIPMENT/PBALL,hud_icon_equipment_snowball_pball,snow,0
none,41,a&WEAPON/FISTS,hud_icon_weapon_me_fist,rand_none,0
