string,localized_a,string
default,a&REPLACE_ME,hud_icon_hardpoint_diamond
squad_0,a&MP/SQUAD_SPAWN_SELECTION,
squad_1,a&MP/SQUAD_SPAWN_SELECTION,
squad_2,a&MP/SQUAD_SPAWN_SELECTION,
squad_3,a&MP/SQUAD_SPAWN_SELECTION,
squad_leader,a&MP/SQUAD_LEADER_SPAWN_SELECTION,
dynamic_c130,a&MP/SQUAD_SPAWN_SELECTION,hud_icon_killstreak_ac130
spawn_selection_a,a&MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_b,a&MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_c,a&MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_d,a&MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
spawn_selection_e,a&MP/SQUAD_SPAWN_SELECTION,icon_waypoint_status_plate
gw_fob_alliesHQ,a&MP_ARM/HQ,icon_waypoint_ground_war_circle
gw_fob_axisHQ,a&MP_ARM/HQ,icon_waypoint_ground_war_circle
gw_fob_01,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_02,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_03,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_04,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_05,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_06,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_07,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_08,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_09,a&MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_01_locale_3,a&MP_PORT2_GW/CALLOUT_LUMBER,icon_waypoint_status_plate
gw_fob_02_locale_3,a&MP_PORT2_GW/CALLOUT_BODYSHOP,icon_waypoint_status_plate
gw_fob_03_locale_3,a&MP_PORT2_GW/CALLOUT_VACANT,icon_waypoint_status_plate
