string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/default/lootset_root.csv,2,,# root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_global.csv,3,,# global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_named_Location.csv,4,,# named_Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_supply_drop.csv,5,,# supply_drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_cache_base.csv,6,,# cache_base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_lege.csv,7,,# cache_lege,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_stronghold.csv,8,,# cache_stronghold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_blacksite.csv,9,,# cache_blacksite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_black.csv,10,,# stronghold_black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_high.csv,11,,# stronghold_high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_cash_circle1.csv,12,,# gulag_cash_circle1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_cash_circle2.csv,13,,# gulag_cash_circle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_cash_circle3.csv,14,,# gulag_cash_circle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_cash_circle4.csv,15,,# gulag_cash_circle4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_items_circle1.csv,16,,# gulag_items_circle1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_items_circle2.csv,17,,# gulag_items_circle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_items_circle3.csv,18,,# gulag_items_circle3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_gulag_items_circle4.csv,19,,# gulag_items_circle4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_saba_blackmarket.csv,20,,# saba_blackmarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_gasstation.csv,21,,# saba_gasstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_saba_hospital.csv,22,,# saba_hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_saba_military.csv,23,,# saba_military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_industrial.csv,24,,# saba_industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_policestation.csv,25,,# saba_policestation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_embassy.csv,26,,# saba_embassy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_saba_bank.csv,27,,# saba_bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_ship.csv,28,,# saba_ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_saba_store.csv,29,,# saba_store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_cash_register.csv,30,,# cache_cash_register,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_duffel_bag.csv,31,,# cache_duffel_bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_hidden_container.csv,32,,# cache_hidden_container,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_cache_medical_box_wall.csv,33,,# cache_medical_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/totallythesamebr/lootset_cache_medicine_cabinet.csv,34,,# cache_medicine_cab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_cache_weapon_locker.csv,35,,# cache_weapon_locker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_agent_backpack.csv,36,,# agent_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_stronghold_bomb_defuse_reward.csv,37,,# stronghold_bomb_defuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_blacksite_boss_backpack.csv,38,,# blacksite_boss_backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_asn.csv,39,,# contract_asn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_dom.csv,40,,# contract_dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav1.csv,41,,# contract_scav1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav2.csv,42,,# contract_scav2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_scav3.csv,43,,# contract_scav3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_safe1.csv,44,,# contract_safe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_contract_intel.csv,45,,# contract_intel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/default/lootset_empty.csv,46,,# empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tagReject,nobr,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tagReject,sealion,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tagReject,delta,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
tagReject,nobigmap,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
reqLimit,gear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reqLimit,super,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chance,ammo,,260,270,150,95,60,0,0,300,300,0,0,0,0,0,0,0,0,150,125,125,160,190,165,160,225,0,130,0,1,0,0,0,1,0,20,20,2,2,2,2,2,2,2,1
chance,health,,175,175,10,85,60,0,0,150,150,0,0,0,0,0,0,0,0,145,160,190,145,150,125,155,95,0,135,0,1,0,0,0,0,0,0,0,25,25,25,25,25,25,25,0
chance,plunder,,120,115,100,50,100,180,150,170,170,0,0,0,0,0,0,0,0,110,125,135,115,120,110,140,285,0,225,1,0,1,0,0,0,0,0,0,2,2,2,2,2,2,2,0
chance,killstreak,,0,0,0,100,180,150,180,0,0,0,0,0,0,0,0,0,0,10,0,0,5,10,5,0,0,255,0,0,0,1,0,0,0,0,1,1,3,3,3,3,3,3,3,0
chance,lethal,,80,80,50,165,40,0,0,175,175,1,1,1,1,1,1,1,1,110,160,120,130,140,120,105,100,0,140,0,1,1,0,0,0,0,5,5,10,10,10,10,10,10,10,0
chance,tactical,,80,80,50,165,40,0,0,175,175,1,1,1,1,1,1,1,1,110,160,170,130,140,120,105,100,0,140,0,1,1,400,740,0,0,5,5,10,10,10,10,10,10,10,0
chance,super,,90,90,0,200,200,200,200,5,5,0,0,0,0,0,0,0,0,90,120,130,120,110,115,135,70,100,100,0,0,0,290,0,0,600,5,5,20,20,20,20,20,20,20,0
chance,weapon,,190,190,500,60,55,5,120,5,5,0,0,0,0,0,0,0,0,150,130,105,185,120,220,170,110,0,110,0,1,1,0,0,1,0,0,0,5,5,5,5,5,5,5,0
chance,gear,,0,0,40,50,200,180,220,5,5,0,0,0,0,1,1,1,1,15,0,0,0,10,0,0,0,150,10,0,1,0,0,0,0,200,0,0,3,3,3,3,3,3,3,0
chance,revive,,0,0,50,20,60,85,0,5,5,0,0,0,0,1,1,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,300,250,0,100,5,5,0,0,0,0,0,0,0,0
chance,tablet,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,10,5,10,10,15,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,keycard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,valuable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,key,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,mission,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,perkpack,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,extractable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chance,token,,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,0,5,5,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
item,brloot_ammo_12g,,175,175,175,175,175,0,0,175,175,0,0,0,0,0,0,0,0,175,175,175,175,175,175,175,175,0,175,0,175,0,0,0,175,0,175,175,175,175,175,175,175,175,175,0
item,brloot_ammo_50cal,,200,200,200,200,200,0,0,200,200,0,0,0,0,0,0,0,0,225,225,225,225,225,225,225,225,0,225,0,225,0,0,0,200,0,200,200,200,200,200,200,200,200,200,0
item,brloot_ammo_762,,325,325,325,325,325,0,0,325,325,0,0,0,0,0,0,0,0,325,325,325,325,325,325,325,325,0,325,0,325,0,0,0,325,0,325,325,325,325,325,325,325,325,325,0
item,brloot_ammo_919,,250,250,250,250,250,0,0,250,250,0,0,0,0,0,0,0,0,225,225,225,225,225,225,225,225,0,225,0,225,0,0,0,250,0,250,250,250,250,250,250,250,250,250,0
item,brloot_ammo_rocket,,50,50,50,50,50,0,0,50,50,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,50,0,50,0,0,0,50,0,50,50,50,50,50,50,50,50,50,0
item,brloot_equip_gasmask,,0,0,400,400,400,400,400,400,400,0,0,0,0,1,1,1,1,400,0,0,0,400,0,0,0,400,400,0,400,0,0,0,0,400,0,0,400,400,400,400,400,400,400,0
item,brloot_equip_gasmask_durable,,0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,100,100,0,100,0,0,0,0,100,0,0,100,100,100,100,100,100,100,0
item,brloot_self_revive,,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
rarity,0_lethal,,450,450,450,450,450,0,0,450,450,50,50,50,50,50,50,50,50,450,450,450,450,450,450,450,450,0,450,0,450,450,0,0,0,0,45,45,45,45,45,45,45,45,45,0
rarity,1_lethal,,300,300,300,300,300,0,0,300,300,30,30,30,30,30,30,30,30,300,300,300,300,300,300,300,300,0,300,0,300,300,0,0,0,0,30,30,30,30,30,30,30,30,30,0
rarity,2_lethal,,200,200,200,200,200,0,0,200,200,20,20,20,20,20,20,20,20,200,200,200,200,200,200,200,200,0,200,0,200,200,0,0,0,0,20,20,20,20,20,20,20,20,20,0
rarity,3_lethal,,100,100,100,100,100,0,0,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,100,0,100,100,0,0,0,0,10,10,10,10,10,10,10,10,10,0
rarity,4_lethal,,50,50,50,50,50,0,0,50,50,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,50,0,50,50,0,0,0,0,5,5,5,5,5,5,5,5,5,0
rarity,0_tactical,,440,450,45,450,450,0,0,450,450,500,500,500,0,500,500,500,500,450,450,450,450,450,450,450,450,0,450,0,450,450,1,1,0,0,45,45,45,45,45,45,45,45,45,0
rarity,1_tactical,,300,300,30,300,300,0,0,300,300,300,300,300,0,300,300,300,300,300,300,300,300,300,300,300,300,0,300,0,300,300,0,0,0,0,30,30,30,30,30,30,30,30,30,0
rarity,2_tactical,,200,200,20,200,200,0,0,200,200,200,200,200,0,200,200,200,200,200,200,200,200,200,200,200,200,0,200,0,200,200,0,0,0,0,20,20,20,20,20,20,20,20,20,0
rarity,3_tactical,,100,100,10,100,100,0,0,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,100,0,100,100,0,0,0,0,10,10,10,10,10,10,10,10,10,0
rarity,4_tactical,,50,50,5,50,50,0,0,50,50,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,0,50,0,50,50,0,0,0,0,5,5,5,5,5,5,5,5,5,0
item,brloot_health_adrenaline,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
