string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
setchancecol,mp/loot/br/mutations/buybacks/lootset_root.csv,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/mutations/buybacks/lootset_global.csv,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/mutations/buybacks/lootset_cache_base.csv,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/lootset_cache_underwater.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/mutations/buybacks/lootset_cache_lege.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/strongholds/lootset_cache_stronghold.csv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/strongholds/lootset_cache_blacksite.csv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/strongholds/lootset_stronghold_black.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/strongholds/lootset_stronghold_high.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/gulag/lootset_gulag_event_cash_overflow.csv,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/containers/lootset_cache_cash_register.csv,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setchancecol,mp/loot/br/br_preview/containers/lootset_cache_duffel_bag.csv,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
