string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,string,string,localized_a,string,localized_a
1,intro,a&CP_RAID_COMPLEX_TRANS/INTRO_DESC,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_trans_cs,,a&CP_RAID_COMPLEX_TRANS/INTRO_DESC,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/INTRO,1,a&CP_CHECKPOINTS/INTRO_DESC
2,obj_swivelroom,a&CP_RAID_COMPLEX_SWIVELROOM/OBJECTIVE_DESC,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_swivelroom_cs,,a&CP_RAID_COMPLEX_SWIVELROOM/TITLE,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/SWIVEL_ROOM,2,a&CP_CHECKPOINTS/OBJECTIVE_DESC
3,vent_crawl,a&CP_RAID_COMPLEX_TRANS/EXPLORE_COMPLEX,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_trans_cs,,a&CP_RAID_COMPLEX_TRANS/EXPLORE_COMPLEX,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/VENT_CRAWL_DEBUG,3,a&CP_CHECKPOINTS/EXPLORE_COMPLEX
4,s3_enter_numbers,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,a&CP_RAID_COMPLEX_TRANS/NUMBERS_PUZZLE,4,a&CP_CHECKPOINTS/ENTER_NUMBERS
5,s3_numbers_countdown,a&CP_RAID_COMPLEX_SEQ3/NUM_COUNTDOWN,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,a&,5,a&CP_CHECKPOINTS/NUM_COUNTDOWN
6,s3_numbers_display,a&CP_RAID_COMPLEX_SEQ3/NUM_DISPLAY,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,,,,,,,,,a&,6,a&CP_CHECKPOINTS/NUM_DISPLAY
7,s3_overall_goal,a&CP_RAID_COMPLEX_SEQ3/OBJ_KEYCODE,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&CP_RAID_COMPLEX_SEQ3/FAIL_CODE,,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,2,,,,,,,,a&,7,a&CP_CHECKPOINTS/OBJ_KEYCODE
8,s3_findpower,a&CP_RAID_COMPLEX_SEQ3/FINDPOWER,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&CP_RAID_COMPLEX_SEQ3/FAIL_CODE,1,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,1,,,,,,,,a&,8,a&CP_CHECKPOINTS/FINDPOWER
9,s3_resetting,a&CP_RAID_COMPLEX_SEQ3/READY_FOR_SEQ,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,,,a&,,,,,,,,,a&,9,a&CP_CHECKPOINTS/READY_FOR_SEQ
10,s3_waitelevator,a&CP_RAID_COMPLEX_SEQ3/WAITELEVATOR,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,,,,,a&,,cp_raid_complex_numbers,,a&CP_RAID_COMPLEX_SEQ3/ENTER_NUMBERS,2,,,,,,,,a&,10,a&CP_CHECKPOINTS/WAITELEVATOR
