string,string,localized_a
0,name,a&
1,kills,a&LUA_EOG_CP/EOG_TRACK_KILLS
2,score,a&LUA_EOG_CP/EOG_TRACK_SCORE
3,assists,a&LUA_EOG_CP/EOG_TRACK_ASSISTS
4,revives,a&LUA_EOG_CP/EOG_TRACK_REVIVES
5,downs,a&LUA_EOG_CP/EOG_TRACK_DOWNS
6,deaths,a&LUA_EOG_CP/EOG_TRACK_DEATHS
7,currency,a&LUA_EOG_CP/EOG_TRACK_SCORE
8,currencyspent,a&LUA_EOG_CP/EOG_TRACK_CURRENCYSPENT
9,currencytotal,a&LUA_EOG_CP/EOG_TRACK_CURRENCYTOTAL
10,traps,a&LUA_EOG_CP/EOG_TRACK_TRAPS
11,deployables,a&LUA_EOG_CP/EOG_TRACK_DEPLOYABLES
12,headShots,a&LUA_EOG_CP/EOG_TRACK_HEADSHOTS
13,targets,a&LUA_EOG_CP/EOG_TRACK_TARGETS
14,armorsegments,a&
15,civilians,a&LUA_EOG_CP/EOG_TRACK_CIVS_HIT
16,critical_hits,a&LUA_EOG_CP/EOG_TRACK_CRIT_HITS
17,total_shots,a&LUA_EOG_CP/EOG_TRACK_TOTAL_SHOTS
18,shots_hit,a&LUA_EOG_CP/EOG_TRACK_SHOTS_HIT
19,shots_missed,a&LUA_EOG_CP/EOG_TRACK_SHOTS_MISSED
20,playerArmor,a&
21,playerHealth,a&
22,playerStatus,a&
23,carryItem,a&
24,carryItem2,a&
25,carryItem3,a&
