string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
0,none,a&PERKS/NONE,a&PERKS/NONE,specialty_ks_null,specialty_ks_null,,,0,0,1,0,none,primary,none,none
1,power_c4,a&PERKS/C4,a&PERKS/DESC_C4,hud_icon_equipment_c4,,weapon,c4_mp,10,4,1,0,none,primary,none,none
2,power_concussionGrenade,a&PERKS/POWER_CONCUSSION_GRENADE,a&PERKS/POWER_CONCUSSION_GRENADE_DESC,hud_icon_equipment_stun,,weapon,concussion_grenade_mp,30,1,1,0,none,primary,none,none
3,power_frag,a&PERKS/FRAG_GRENADE,a&PERKS/DESC_FRAG_GRENADE,hud_icon_equipment_frag,,weapon,frag_grenade_mp,30,4,1,0,none,primary,none,none
4,equip_gas_grenade,a&EQUIPMENT/GAS,a&EQUIPMENT/GAS_DESC,hud_icon_equipment_gas,,weapon,gas_mp,30,1,1,0,none,secondary,none,none
5,power_semtex,a&PERKS/POWER_SEMTEX,a&PERKS/POWER_SEMTEX_DESC,hud_icon_equipment_semtex,,weapon,semtex_mp,30,1,1,0,none,primary,none,none
6,power_atMine,a&EQUIPMENT/AT_MINE,a&EQUIPMENT/AT_MINE_DESC,hud_icon_equipment_at_mine,icon_equipment_slot_at_mine,weapon,at_mine_mp,1,1,1,0,none,secondary,none,none
7,power_trophy,a&PERKS/TROPHY,a&PERKS/DESC_TROPHY,equipment_icon_slot_trophysystem,equipment_icon_showcase_trophysystem,weapon,trophy_mp,20,1,1,0,none,secondary,none,none
8,power_flash,a&PERKS/FLASH_GRENADE,a&PERKS/FLASH_GRENADE_DESC,hud_icon_equipment_flash,,weapon,flash_grenade_mp,10,4,1,0,none,secondary,none,none
9,power_molotov,a&PERKS/POWER_SPLASH_GRENADE,a&PERKS/POWER_SPLASH_GRENADE_DESC,hud_icon_equipment_molotov,,weapon,molotov_mp,1,4,1,0,none,primary,none,none
10,power_smokeGrenade,a&PERKS/POWER_SMOKEGRENADE,a&PERKS/POWER_SMOKEGRENADE_DESC,hud_icon_equipment_smoke,equipment_icon_showcase_smokegrenade,weapon,smoke_grenade_mp,45,1,1,0,none,secondary,none,none
11,power_claymore,a&PERKS/CLAYMORE,a&PERKS/DESC_CLAYMORE,hud_icon_equipment_claymore,icon_equipment_slot_claymore,weapon,claymore_mp,10,4,1,0,none,primary,none,none
12,power_cover,a&EQUIPMENT/TACTICAL_COVER,a&EQUIPMENT/TACTICAL_COVER_DESC,hud_icon_equipment_tac_cover,hud_icon_equipment_tac_cover,weapon,tac_cover_mp,18,1,1,0,none,primary,none,none
13,power_snapshotGrenade,a&EQUIPMENT/SNAPSHOT_GRENADE,a&EQUIPMENT/SNAPSHOT_GRENADE_DESC,hud_icon_equipment_snapshot,icon_equipment_slot_snapshot,weapon,snapshot_grenade_mp,2,4,1,0,none,secondary,none,none
14,power_thermite,a&EQUIPMENT/THERMITE,a&EQUIPMENT/THERMITE_DESC,hud_icon_equipment_thermite,hud_icon_equipment_thermite,weapon,thermite_mp,2,1,1,0,none,primary,none,none
15,power_throwingKnife,a&PERKS/THROWING_KNIFE,a&PERKS/DESC_THROWING_KNIFE,hud_icon_equipment_throwing_knife,hud_icon_equipment_throwing_knife,weapon,throwingknife_mp,2,1,1,0,archetype_assault,primary,none,none
16,power_throwingKnife_fire,a&EQUIPMENT/THROWING_KNIFE_FIRE,a&EQUIPMENT/THROWING_KNIFE_FIRE,hud_icon_equipment_throwing_knife_fire,hud_icon_equipment_throwing_knife_fire,weapon,throwingknife_fire_mp,2,1,1,0,archetype_assault,primary,none,none
17,equip_hb_sensor,a&EQUIPMENT/HB_SENSOR,a&EQUIPMENT/HB_SENSOR_DESC,hud_icon_equipment_hb_sensor,hud_icon_equipment_hb_sensor,weapon,hb_sensor_mp,2,1,1,1,none,primary,none,none
18,equip_radial_sensor,a&EQUIPMENT/GEIGER_COUNTER,a&EQUIPMENT/GEIGER_COUNTER_DESC,hud_icon_equipment_geiger,hud_icon_equipment_geiger,weapon,geiger_counter_mp,2,1,1,1,none,secondary,none,none
19,equip_adrenaline,a&EQUIPMENT/ADRENALINE,a&EQUIPMENT/ADRENALINE_DESC,hud_icon_equipment_stim,icon_equipment_slot_stim,weapon,adrenaline_mp,2,4,1,0,none,secondary,none,none
20,equip_decoy,a&EQUIPMENT/DECOY,a&EQUIPMENT/DECOY_DESC,hud_icon_equipment_decoy,icon_equipment_slot_decoy,weapon,decoy_grenade_mp,2,1,1,0,none,secondary,none,none
