string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string
0,body_mp_default,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_fender_iw9_1_1,m,vestlight,0,0,,1,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,11,,1,,0,0
1,body_mp_kilgore_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_kilgore_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,327,,1,,0,0
2,body_mp_calisto_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_calisto_iw9_1_1,f,vestlight,0,0,,0,body_mp_calisto_iw9_1_1,mp_vm_arms_calisto_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,328,,1,,0,0
3,body_mp_chili_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_chili_iw9_1_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,329,,1,,0,0
4,body_mp_hutch_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_hutch_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,331,,1,,0,0
5,body_mp_kpop_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_kpop_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,332,,1,,0,0
6,body_mp_fender_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_fender_iw9_1_1,m,vestlight,0,0,,0,body_mp_fender_iw9_1_1,mp_vm_arms_fender_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,326,,1,,0,1
7,body_mp_zimo_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_zimo_iw9_1_1,m,vestlight,0,0,,0,body_mp_gus_iw9_1_1,mp_vm_arms_gus_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,335,,1,,0,0
8,body_mp_kleo_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_kleo_iw9_1_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,336,,1,,0,0
9,body_mp_nova_iw9_1_1,CUSTOMIZE/BODY_WARFIGHTER_1_1,mp_vm_arms_nova_iw9_1_1,f,vestlight,0,0,,0,body_mp_kleo_iw9_1_1,mp_vm_arms_kleo_iw9_1_1,archetype_assault,icon_new_3,body_2,default,,,unlock,,337,,1,,0,0
