string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string
0,head_mp_default,CUSTOMIZE_NO_HEAD,m,0,0,0,,1,head_mp_fender_iw9_1_1_lod1,,icon_new_3,head_none,,,,,,0,,0,0
1,head_mp_fender_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,592,,0,0
2,head_mp_kilgore_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,593,,0,0
3,head_mp_calisto_iw9_1_1,CUSTOMIZE/HEAD_A,f,0,0,0,,0,head_mp_calisto_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,594,,0,0
4,head_mp_chili_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,595,,0,0
5,head_mp_hutch_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,597,,0,0
6,head_mp_kpop_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,598,,0,0
7,head_mp_gus_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,605,,0,0
8,head_mp_zimo_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,606,,0,0
9,head_mp_kleo_iw9_1_1,CUSTOMIZE/HEAD_A,f,0,0,0,,0,head_mp_kleo_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,607,,0,0
10,head_mp_fender_iw9_1_1_lod1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_fender_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,614,,0,1
11,head_mp_price_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,609,,0,0
12,head_mp_farah_iw9_1_1,CUSTOMIZE/HEAD_A,f,0,0,0,,0,head_mp_calisto_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,610,,0,0
13,head_mp_ghost_iw9_1_1,CUSTOMIZE/HEAD_A,m,0,0,0,,0,head_mp_gus_iw9_1_1_lod1,archetype_assault,icon_new_3,head_2,default,,,unlock,,611,,0,0
