string,string
invalid,0
progress,1
sub_progress,2
kills_r,3
kills_s,4
kills_c,5
assist_r,6
assist_s,7
assist_c,8
wins_r,9
wins_s,10
wins_c,11
contracts_r,12
contracts_s,13
contracts_c,14
respawns_r,15
respawns_s,16
respawns_c,17
revives_r,18
revives_s,19
revives_c,20
top10_r,21
top10_s,22
top10_c,23
top5_r,24
top5_s,25
top5_c,26
top25_r,27
top25_s,28
top25_c,29
bitfield,30
bitfield1,31
bitfield2,32
bitfield3,33
bitfield4,34
bitfield5,35
bitfield6,36
bitfield7,37
bitfield8,38
bitfield9,39
bitfield10,40
user,41
sub_progress2,42
