string,string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int
22100,jup_leagueplay_s1_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,44501|44502|44487+43129|44488+43124|44489+43126|44490+43128|44491+43127+44314,,,,Season End SD,Season End SD,1,,,,0
22102,jup_leagueplay_s2_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,52033|52032|52036+52150|52037+52151|52038+52152|52039+52153|52040+52154+51858,,,,Season End SD,Season End SD,2,,,,0
22104,jup_leagueplay_s3_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,60305|60304|60306+60331|60332+60307|60333+60308|60334+60309|60296+60335+60470,,,,Season End SD,Season End SD,3,,,,0
22108,jup_leagueplay_s4_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,63073|65035|63074+65505|63075+44718|63076+44717|63077+65516|63078+65515+63088,,,,Season End SD,Season End SD,4,,,,0
22109,jup_leagueplay_s5_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,70068|70067|70076+68824|70077+68823|70078+68822|70079+68821|70080+68820+70135,,,,Season End SD,Season End SD,5,,,,0
22110,jup_leagueplay_s6_end_season_sd_placement,181,a&,a&,3|6|9|12|15|18|19,82209|82206|82323|82324|82325|82326|82327+82870,,,,Season End SD,Season End SD,6,,,,0
22111,jup_leagueplay_career_end_season_sd_placement,181,a&,a&,9|12|15|18|19|20,45445+45444+45429+45428|45447+45446+45431+45430|45449+45448+45433+45432|45451+45450+45435+45434|45453+45452+45437+45436|45455+45454+45439+45438,,,,Career Season End SD,Career Season End SD,<NOT SET>,,,,0
22112,jup_leagueplay_s1_challenge_wins,181,a&,a&,5|10|20|30|40|50,39741|36973|43125|52899|42445|46058,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,1,,,,0
22118,jup_leagueplay_s2_challenge_wins,181,a&,a&,5|10|25|50|75|100,52592|50692|52514|52834|53588|52155,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,2,,,,0
22119,jup_leagueplay_s3_challenge_wins,181,a&,a&,5|10|25|50|75|100,60327|56521|60217|60330|60324|56736,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,2500|2500|5000|7500|8500|10000,Seasonal,Seasonal,3,,,,0
22120,jup_leagueplay_s4_challenge_wins,181,a&,a&,5|10|25|50|75|100,62728|61348|65216|62736|44622|62628,,,,Seasonal,Seasonal,4,,,,0
22121,jup_leagueplay_s5_challenge_wins,181,a&,a&,5|10|25|50|75|100,70317|68794|71801|70940|73699|68825,,,,Seasonal,Seasonal,5,,,,0
22122,jup_leagueplay_s6_challenge_wins,181,a&,a&,5|10|25|50|75|100,82288|80464|83053|83106|84661|82109,,,,Seasonal,Seasonal,6,,,,0
22190,jup_leagueplay_s1_end_season_top250_placement,181,a&,a&,1|250,44515+43522+44312|44486+43522+44313,,,,Season End Top250,Season End Top250,1,,,,0
22197,jup_leagueplay_s2_end_season_top250_placement,181,a&,a&,1|250,52034+52045+52113|52035+52045+52114,,,,Season End Top250,Season End Top250,2,,,,0
22198,jup_leagueplay_s3_end_season_top250_placement,181,a&,a&,1|250,60468+60294+60336|60469+60295+60336,,,,Season End Top250,Season End Top250,3,,,,0
22199,jup_leagueplay_s4_end_season_top250_placement,181,a&,a&,1|250,63079+63086+65506|44604+63087+65506,,,,Season End Top250,Season End Top250,4,,,,0
22200,jup_leagueplay_s5_end_season_top250_placement,181,a&,a&,1|250,70081+70133+68819|70082+70134+68819,,,,Season End Top250,Season End Top250,5,,,,0
22201,jup_leagueplay_s6_end_season_top250_placement,181,a&,a&,1|250,83122+84738|83121+84739,,,,Season End Top250,Season End Top250,6,,,,0
22364,jup_wz_leagueplay_s1_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,,,,,Season End SD,Season End SD,1,,,,0
22370,jup_wz_leagueplay_s2_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,50484|50485|50488+52826|50489+52827|50490+52828|50491+52829|50492+52830+51836,,,,Season End SD,Season End SD,2,,,,0
22371,jup_wz_leagueplay_s3_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,60311|60310|60299+56451|60300+56450|60301+56449|60302+56448|60473+60303+56447,,,,Season End SD,Season End SD,3,,,,0
22372,jup_wz_leagueplay_s4_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,65399|65400|65393+61363|65394+61362|65395+61361|65396+61360|65397+65420+61359,,,,Season End SD,Season End SD,4,,,,0
22373,jup_wz_leagueplay_s5_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,70070|70069|70085+71802|70086+71806|70087+71804|70088+71805|70089+71803+70935,,,,Season End SD,Season End SD,5,,,,0
22374,jup_wz_leagueplay_s6_end_season_sd_placement,252,a&,a&LP/PLACEMENT_SRCHALLENGE,3|6|9|12|15|18|19,82817|82603|83008+82115|82818+82114|82819+82113|82820+82112|82821+82111+82871,,,,Season End SD,Season End SD,6,,,,0
