string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string
8813,iw9_ch_br_daily_selfRevive_purchase_easy,a&CHALLENGE/BR_DAILY_BH_SELFREVIVE,a&CHALLENGE/BR_DAILY_BH_SELFREVIVE_DESC,1,2500,,1,,,,,1,,,
8814,iw9_ch_br_daily_fieldUpgrade_purchase_easy,a&CHALLENGE/BR_DAILY_BH_FIELDUPGRADES,a&CHALLENGE/BR_DAILY_BH_FIELDUPGRADES_DESC,1,2500,,1,,,,,2,,,
8815,iw9_ch_br_daily_gasMask_purchase_easy,a&CHALLENGE/BR_DAILY_BH_GASMASK,a&CHALLENGE/BR_DAILY_BH_GASMASK_DESC,1,2500,,1,,,,,3,,,
8816,iw9_ch_br_daily_killstreak_purchase_easy,a&CHALLENGE/BR_DAILY_BH_KILLSTREAK,a&CHALLENGE/BR_DAILY_BH_KILLSTREAK_DESC,1,2500,,1,,,,,4,,,
8817,iw9_ch_br_daily_weapon_purchase_easy,a&CHALLENGE/BR_DAILY_BH_WEAPON,a&CHALLENGE/BR_DAILY_BH_WEAPON_DESC,1,2500,,1,,,,,5,,,
8827,iw9_ch_br_daily_any_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_ANY,a&CHALLENGE/BR_DAILY_ACE_KILLS_ANY_DESC,3,2500,,2,,,,,1,,,
8853,iw9_ch_br_daily_location_kills_observatory,a&CHALLENGE/BR_DAILY_LOCKKILLS_OBSERVATORY,a&CHALLENGE/BR_DAILY_LOCKKILLS_OBSERVATORY_DESC,2,2500,,3,,,,,1,,,
8854,iw9_ch_br_daily_location_kills_oldtown,a&CHALLENGE/BR_DAILY_LOCKKILLS_OLDTOWN,a&CHALLENGE/BR_DAILY_LOCKKILLS_OLDTOWN_DESC,2,2500,,3,,,,,2,,,
8855,iw9_ch_br_daily_location_kills_fishtown,a&CHALLENGE/BR_DAILY_LOCKKILLS_FISHTOWN,a&CHALLENGE/BR_DAILY_LOCKKILLS_FISHTOWN_DESC,2,2500,,3,,,,,3,,,
8856,iw9_ch_br_daily_location_kills_caves,a&CHALLENGE/BR_DAILY_LOCKKILLS_CAVES,a&CHALLENGE/BR_DAILY_LOCKKILLS_CAVES_DESC,2,2500,,3,,,,,4,,,
8857,iw9_ch_br_daily_location_kills_sira,a&CHALLENGE/BR_DAILY_LOCKKILLS_SIRA,a&CHALLENGE/BR_DAILY_LOCKKILLS_SIRA_DESC,2,2500,,3,,,,,5,,,
8858,iw9_ch_br_daily_location_kills_sunken,a&CHALLENGE/BR_DAILY_LOCKKILLS_SUNKEN,a&CHALLENGE/BR_DAILY_LOCKKILLS_SUNKEN_DESC,2,2500,,3,,,,,6,,,
8859,iw9_ch_br_daily_location_kills_wartorn,a&CHALLENGE/BR_DAILY_LOCKKILLS_WARTORN,a&CHALLENGE/BR_DAILY_LOCKKILLS_WARTORN_DESC,2,2500,,3,,,,,7,,,
8860,iw9_ch_br_daily_location_kills_moderncity,a&CHALLENGE/BR_DAILY_LOCKKILLS_MODERNCITY,a&CHALLENGE/BR_DAILY_LOCKKILLS_MODERNCITY_DESC,2,2500,,3,,,,,8,,,
8861,iw9_ch_br_daily_location_kills_oilfield,a&CHALLENGE/BR_DAILY_LOCKKILLS_OILFIELD,a&CHALLENGE/BR_DAILY_LOCKKILLS_OILFIELD_DESC,2,2500,,3,,,,,9,,,
8862,iw9_ch_br_daily_location_kills_fort,a&CHALLENGE/BR_DAILY_LOCKKILLS_FORT,a&CHALLENGE/BR_DAILY_LOCKKILLS_FORT_DESC,2,2500,,3,,,,,10,,,
8863,iw9_ch_br_daily_location_kills_exhume,a&CHALLENGE/BR_DAILY_LOCKKILLS_EXHUME,a&CHALLENGE/BR_DAILY_LOCKKILLS_EXHUME_DESC,2,2500,,3,,,,,11,,,
8864,iw9_ch_br_daily_location_kills_hydro,a&CHALLENGE/BR_DAILY_LOCKKILLS_HYDRO,a&CHALLENGE/BR_DAILY_LOCKKILLS_HYDRO_DESC,2,2500,,3,,,,,12,,,
8865,iw9_ch_br_daily_location_kills_airport,a&CHALLENGE/BR_DAILY_LOCKKILLS_AIRPORT,a&CHALLENGE/BR_DAILY_LOCKKILLS_AIRPORT_DESC,2,2500,,3,,,,,13,,,
8866,iw9_ch_br_daily_location_kills_lone,a&CHALLENGE/BR_DAILY_LOCKKILLS_LONE,a&CHALLENGE/BR_DAILY_LOCKKILLS_LONE_DESC,2,2500,,3,,,,,14,,,
8867,iw9_ch_br_daily_location_kills_marshland,a&CHALLENGE/BR_DAILY_LOCKKILLS_MARSHLAND,a&CHALLENGE/BR_DAILY_LOCKKILLS_MARSHLAND_DESC,2,2500,,3,,,,,15,,,
8868,iw9_ch_br_daily_location_kills_mountaintown,a&CHALLENGE/BR_DAILY_LOCKKILLS_MOUNTAINTOWN,a&CHALLENGE/BR_DAILY_LOCKKILLS_MOUNTAINTOWN_DESC,2,2500,,3,,,,,16,,,
8839,iw9_ch_br_daily_ai_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_AI,a&CHALLENGE/BR_DAILY_ACE_KILLS_AI_DESC,5,2500,,2,,,,,13,,,
8828,iw9_ch_br_daily_ar_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_AR,a&CHALLENGE/BR_DAILY_ACE_KILLS_AR_DESC,2,2500,,2,,,,,2,,,
8829,iw9_ch_br_daily_smg_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_SMG,a&CHALLENGE/BR_DAILY_ACE_KILLS_SMG_DESC,2,2500,,2,,,,,3,,,
8830,iw9_ch_br_daily_lmg_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_LMG,a&CHALLENGE/BR_DAILY_ACE_KILLS_LMG_DESC,2,2500,,2,,,,,4,,,
8831,iw9_ch_br_daily_sniper_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_SNIPER,a&CHALLENGE/BR_DAILY_ACE_KILLS_SNIPER_DESC,2,2500,,2,,,,,5,,,
8832,iw9_ch_br_daily_dmr_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_DMR,a&CHALLENGE/BR_DAILY_ACE_KILLS_DMR_DESC,2,2500,,2,,,,,6,,,
8833,iw9_ch_br_daily_br_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_BR,a&CHALLENGE/BR_DAILY_ACE_KILLS_BR_DESC,2,2500,,2,,,,,7,,,
8834,iw9_ch_br_daily_pistol_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_PISTOL,a&CHALLENGE/BR_DAILY_ACE_KILLS_PISTOL_DESC,2,2500,,2,,,,,8,,,
8835,iw9_ch_br_daily_launcher_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_LAUNCHER,a&CHALLENGE/BR_DAILY_ACE_KILLS_LAUNCHER_DESC,1,2500,,2,,,,,9,,,
8836,iw9_ch_br_daily_explosives_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_EXPLOSIVES,a&CHALLENGE/BR_DAILY_ACE_KILLS_EXPLOSIVES_DESC,1,2500,,2,,,,,10,,,
8837,iw9_ch_br_daily_shotgun_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_SHOTGUN,a&CHALLENGE/BR_DAILY_ACE_KILLS_SHOTGUN_DESC,2,2500,,2,,,,,11,,,
8838,iw9_ch_br_daily_vehicle_kills_easy,a&CHALLENGE/BR_DAILY_ACE_KILLS_VEHICLE,a&CHALLENGE/BR_DAILY_ACE_KILLS_VEHICLE_DESC,1,2500,,2,,,,,12,,,
9736,iw9_ch_br_daily_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS_DESC,5,2500,,6,,,,,1,,,
9737,iw9_ch_br_daily_ar_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_AR_KILLS_DESC,3,2500,,5,,,,,1,,,
9739,iw9_ch_br_daily_smg_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_SMG_KILLS_DESC,3,2500,,5,,,,,2,,,
9740,iw9_ch_br_daily_lmg_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_LMG_KILLS_DESC,3,2500,,5,,,,,3,,,
9741,iw9_ch_br_daily_sn_operator_kills_med,a&CHALLENGE/BR_DAILY_BONUS_ANY_KILLS,a&CHALLENGE/BR_DAILY_BONUS_SN_KILLS_DESC,3,2500,,5,,,,,4,,,
