string,string,localized_a,localized_a,string,string,string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,int,string
1777,iw9_ch_pmc_tag_extract,a&CHALLENGE/PMC_TAG_EXTRACT_NAME,a&CHALLENGE/PMC_TAG_EXTRACT_DESC,3,,10000,,a&CHALLENGE/PMC_TAG_EXTRACT_DETAIL_DESC,american,,,5,,,16,EXTRACT,,,,,,,,0,target
2797,iw9_ch_pmc_cash_extract,a&CHALLENGE/PMC_CASH_EXTRACT_NAME,a&CHALLENGE/PMC_CASH_EXTRACT_DESC,1,9099,10000,,a&CHALLENGE/PMC_CASH_EXTRACT_DETAIL_DESC,british,,65000,,,,7,EXTRACT,,,,IW9_START_MATCH_EVENT,,,,0,target_with_reset
1747,iw9_ch_pmc_ai_weapon_extract,a&CHALLENGE/PMC_AI_WEAPON_EXTRACT_NAME,a&CHALLENGE/PMC_AI_WEAPON_EXTRACT_DESC,3,11809,10000,,a&CHALLENGE/PMC_AI_WEAPON_EXTRACT_DETAIL_DESC,german,,,0,,,,EXTRACT,1047|1095|1053|1036|1044,iw9_loot_id,,,,,,0,target
1813,iw9_ch_pmc_poi_travel,a&CHALLENGE/PMC_POI_TRAVEL_NAME,a&CHALLENGE/PMC_POI_TRAVEL_DESC,1,9087,5000,,a&CHALLENGE/PMC_POI_TRAVEL_DETAIL_DESC,british,,6,,,,,,,,,IW9_START_MATCH_EVENT,87,,,0,target_with_reset
957,iw9_ch_pmc_gas_drain,a&CHALLENGE/PMC_GAS_DRAIN_NAME,a&CHALLENGE/PMC_GAS_DRAIN_DESC,3,9099,10000,,a&CHALLENGE/PMC_GAS_DRAIN_DETAIL_DESC,,,,,,,,,,,,,,,,0,target
3060,iw9_ch_pmc_vehicle_destruction,a&CHALLENGE/PMC_VEHICLE_DESTRUCTION_NAME,a&CHALLENGE/PMC_VEHICLE_DESTRUCTION_DESC,6,6755,7500,,a&CHALLENGE/PMC_VEHICLE_DESTRUCTION_DETAIL_DESC,german,,,2,,,,,,,,,,,,0,target
1833,iw9_ch_pmc_kill_tier3,a&CHALLENGE/PMC_KILL_TIER3_NAME,a&CHALLENGE/PMC_KILL_TIER3_DESC,10,9092,10000,,a&CHALLENGE/PMC_KILL_TIER3_DETAIL_DESC,german,,,1,,,,,,,,,,,,0,target
1039,iw9_ch_pmc_hydro_shotgun_ai,a&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_NAME,a&CHALLENGE/PMC_HYDRO_SHOTGUN_AI_DESC,12,,0,,a&,,,,3,,,,,,,,,,,,0,target
1066,iw9_ch_pmc_oilfield_sniper_ai,a&CHALLENGE/PMC_OILFIELD_SNIPER_AI_NAME,a&CHALLENGE/PMC_OILFIELD_SNIPER_AI_DESC,14,,0,,a&,,,,,,,,,,,,,,,,0,target
2788,iw9_ch_pmc_operator_kill,a&CHALLENGE/PMC_OPERATOR_KILL_NAME,a&CHALLENGE/PMC_OPERATOR_KILL_DESC,4,12130,10000,,a&CHALLENGE/PMC_OPERATOR_KILL_DETAIL_DESC,,,,,,,,,,,,,,,,0,target
