string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string
22144,jup_test_event_mastery,a&,a&,5,,12130,,2,,22145|22146|22147|22149|22150,,,,,,0,MP
22145,jup_test_event_child1,a&,a&,10,,17286,,,,,,,,,,0,MP
22146,jup_test_event_child2,a&,a&,2,,12402,,,,,,,,,,0,MP
22147,jup_test_event_child3,a&,a&,2,,9628,,,,,,,,,,0,MP
22149,jup_test_event_child4,a&,a&,2,,11565,,,,,,,,,,0,MP
22150,jup_test_event_child5,a&,a&,2,,17434,,,,,,,,,,0,MP
21155,jup_founders_week_mastery,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY_DESC,5,,,,,,22202|22203|22204|22206|22207,,1701280800,1701799200,,,0,MP
22202,jup_founders_week_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
22203,jup_founders_week_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
22204,jup_founders_week_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_3_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
22206,jup_founders_week_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_4_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
22207,jup_founders_week_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_5_DESC,5,,,,,,,1,1701280800,1701799200,,,0,MP
23230,jup_founders_week2_mastery,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_MASTERY_DESC,5,,45913,,,,23231|23235|23239|23243|23247,,1701280800,1701799200,,,0,MP|OB
23231,jup_founders_week2_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,1,,41390,,,,23232|23233,0,1701280800,1701799200,,,0,MP|OB
23232,jup_founders_week2_1_mp,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1_DESC,5,,,,,,,0,1701280800,1701799200,,,0,MP
23233,jup_founders_week2_1_ob,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_1,a&JUP_OB_EVENT_CHALLENGES/FOUNDERS_WEEK2_1,50,,,,,,,0,1701280800,1701799200,,,0,OB
23235,jup_founders_week2_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2,a&JUP_CHALLENGE/JUP_FOUNDERS_WEEK_2_DESC,1,,3946,,,,23236|23238,0,1701280800,1701799200,,,0,MP|OB
