string,string,localized_a,localized_a,string,string,string,string,string,string,string,string
8105,iw9_ch_reward_kit_prog_unlocks_medic_rank_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_2_DESC,1,6485,0,,,,,
8106,iw9_ch_reward_kit_prog_unlocks_medic_rank_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_4_DESC,1,11563,0,,,,,
8110,iw9_ch_reward_kit_prog_unlocks_medic_rank_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_8_DESC,1,8966,0,,,,,
8111,iw9_ch_reward_kit_prog_unlocks_medic_rank_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_MEDIC_RANK_10_DESC,1,12383,0,,,,,
8115,iw9_ch_reward_kit_prog_unlocks_assault_rank_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_2_DESC,1,6215,0,,,,,
8116,iw9_ch_reward_kit_prog_unlocks_assault_rank_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_4_DESC,1,11557,0,,,,,
8121,iw9_ch_reward_kit_prog_unlocks_assault_rank_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_8_DESC,1,8718,0,,,,,
8123,iw9_ch_reward_kit_prog_unlocks_assault_rank_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_ASSAULT_RANK_10_DESC,1,12382,0,,,,,
8125,iw9_ch_reward_kit_prog_unlocks_recon_rank_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_2,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_2_DESC,1,6780,0,,,,,
8127,iw9_ch_reward_kit_prog_unlocks_recon_rank_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_4,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_4_DESC,1,11560,0,,,,,
8131,iw9_ch_reward_kit_prog_unlocks_recon_rank_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_8,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_8_DESC,1,9029,0,,,,,
8130,iw9_ch_reward_kit_prog_unlocks_recon_rank_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_10,a&CHALLENGE/REWARD_KIT_PROG_UNLOCKS_RECON_RANK_10_DESC,1,13373,0,,,,,
8143,iw9_ch_reward_career_star_unlocks_20,a&CHALLENGE/REWARD_CAREER_STARS_UNLOCK_20,a&CHALLENGE/REWARD_CAREER_STARS_UNLOCK_20_DESC,20,9038,0,,,,,
