string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string
11836,jup_daily_ch_p1_general_wins,a&CHALLENGE/DAILY_P1_GENERAL_WINS,a&CHALLENGE/DAILY_P1_GENERAL_WINS_DESC,2,2500,,1,,,,,1,,
11838,jup_daily_ch_p1_general_kills_low_health,a&CHALLENGE/P1_GENERAL_KILLS_LOW_HEALTH,a&CHALLENGE/P1_GENERAL_KILLS_LOW_HEALTH_DESC,5,2500,,1,,,,,2,,
11840,jup_daily_ch_p1_general_assists,a&CHALLENGE/P1_GENERAL_ASSISTS,a&CHALLENGE/P1_GENERAL_ASSISTS_DESC,10,2500,,1,,,,,3,,
11967,jup_daily_ch_p1_general_kills_prone,a&CHALLENGE/WEEKLY_S4_W2_CHAL_02_NAME,a&CHALLENGE/WEEKLY_S4_W2_CHAL_02_DESC,5,2500,,1,,,,,4,,
14354,jup_daily_ch_p1_general_kills,a&CHALLENGE/DAILY_P1_GENERAL_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_DESC,35,2500,,1,,,,,5,,
14356,jup_daily_ch_p1_general_kills_crouched,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_CROUCHED_DESC,6,2500,,1,,,,,6,,
14358,jup_daily_ch_p1_general_headshots,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_DESC,7,2500,,1,,,,,7,,
14361,jup_daily_ch_p1_general_kills_point_blank,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_POINT_BLANK_DESC,6,2500,,1,,,,,8,,
14362,jup_daily_ch_p1_general_kills_kingslayer,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_KINGSLAYER_DESC,6,2500,,1,,,,,9,,
14363,jup_daily_ch_p1_general_kills_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,5,2500,,1,,,,,10,,
14366,jup_daily_ch_p1_general_double_kills,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS,a&CHALLENGE/DAILY_P1_GENERAL_DOUBLE_KILLS_DESC,5,2500,,1,,,,,11,,
14367,jup_daily_ch_p1_general_headshots_secondary_weapon,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON,a&CHALLENGE/DAILY_P1_GENERAL_HEADSHOTS_SECONDARY_WEAPON_DESC,3,2500,,1,,,,,12,,
14386,jup_daily_ch_p1_general_kills_hipfire,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_HIPFIRE_DESC,5,2500,,1,,,,,13,,
14387,jup_daily_ch_p1_general_kills_1s1k,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_1S1K_DESC,4,2500,,1,,,,,14,,
14388,jup_daily_ch_p1_general_kills_lethal,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL,a&CHALLENGE/DAILY_P1_GENERAL_KILLS_LETHAL_DESC,3,2500,,1,,,,,15,,
14389,jup_daily_ch_p1_general_kills_ads,a&CHALLENGE/DAILY_ADS,a&CHALLENGE/DAILY_ADS_DESC,25,2500,,1,,,,,16,,
12364,jup_daily_ch_p1_general_killstreak_3,a&CHALLENGE/STCRBOOK_KILL_KILLSTREAK_3,a&CHALLENGE/DAILY_P1_GENERAL_KILLSTREAK_3_DESC,4,2500,,1,,,,,17,,
14391,jup_daily_ch_p1_general_kills_melee,a&CHALLENGE/DAILY_MELEE_KILLS,a&CHALLENGE/DAILY_MELEE_KILLS_DESC,5,2500,,1,,,,,18,,
12068,jup_daily_ch_p1_general_kills_tactical_stance,a&CHALLENGE/P1_GENERAL_KILLS_TACTICAL_STANCE,a&CHALLENGE/P1_GENERAL_KILLS_TACTICAL_STANCE_DESC,30,2500,,1,,,,,19,,
12367,jup_daily_ch_p1_general_kills_without_taking_damage,a&CHALLENGE/P1_GENERAL_KILLS_WITHOUT_TAKING_DAMAGE,a&CHALLENGE/P1_GENERAL_KILLS_WITHOUT_TAKING_DAMAGE_DESC,10,2500,,1,,,,,20,,
