string,string,localized_a,localized_a,string,string,string,string,string,string,string
9983,iw9_ch_gununlock_mcbravo,a&WEAPON/GUNUNLOCK_AR_MCBRAVO,a&CHALLENGE/GUN_UNLOCK_MCBRAVO_ALT,15,0,11345,CHALLENGE/GUN_UNLOCK_OB,,,1
9984,iw9_ch_gununlock_mcharlie,a&WEAPON/GUNUNLOCK_AR_MCHARLIE,a&CHALLENGE/MCHARLIE_DMZ_CHALLENGE,50,0,11346,,,,1
9985,iw9_ch_gununlock_mpapax,a&WEAPON/GUNUNLOCK_SM_MPAPAX,a&CHALLENGE/GUN_UNLOCK_MPAPAX,25,0,11335,CHALLENGE/GUN_UNLOCK_OB,,,
9986,iw9_ch_gununlock_alpha50,a&WEAPON/GUNUNLOCK_SN_ALPHA50,a&CHALLENGE/GUN_UNLOCK_ALPHA50,15,0,11359,CHALLENGE/GUN_UNLOCK_OB,,,
15123,ub_gl_drill_akilo_unlock,a&CHALLENGE/UB_GL_DRILL_AKILO_UNLOCK,a&CHALLENGE/UB_GL_DRILL_AKILO_UNLOCK_DESC,10,2500,24709,,,,
15125,ub_gl_drill_mini_unlock,a&CHALLENGE/UB_GL_DRILL_MINI_UNLOCK,a&CHALLENGE/UB_GL_DRILL_MINI_UNLOCK_DESC,20,5000,24710,,,,
15124,ub_gl_drill_scharlie_unlock,a&CHALLENGE/UB_GL_DRILL_SCHARLIE_UNLOCK,a&CHALLENGE/UB_GL_DRILL_SCHARLIE_UNLOCK_DESC,20,5000,24711,,,,
15135,pgrip_ass_p42_unlock,a&CHALLENGE/PGRIP_ASS_P42_UNLOCK,a&CHALLENGE/PGRIP_ASS_P42_UNLOCK_DESC,15,2500,23551,,,,
16911,akimbo_tango9_unlock,a&CHALLENGE/AKIMBO_UNLOCK_TANGO9,a&CHALLENGE/AKIMBO_UNLOCK_TANGO9_DESC,25,2500,24594,,,,
17649,ubsh_db_unlock,a&CHALLENGE/UBSH_DB_UNLOCK,a&CHALLENGE/UBSH_DB_UNLOCK_DESC,15,2500,34377,,,,
11722,iw9_ch_gununlock_crossbow,a&CHALLENGE/GUN_UNLOCK_CROSSBOW_NAME,a&CHALLENGE/GUN_UNLOCK_CROSSBOW,50,0,11322,CHALLENGE/GUN_UNLOCK_OB,,,
11723,iw9_ch_gununlock_acharlie300,a&WEAPON/GUNUNLOCK_AR_ACHARLIE300,a&CHALLENGE/GUN_UNLOCK_ACHARLIE300,50,0,14657,CHALLENGE/GUN_UNLOCK_OB,,,
11724,iw9_ch_gununlock_vecho,a&WEAPON/GUNUNLOCK_SH_VECHO,a&CHALLENGE/GUN_UNLOCK_VECHO,50,0,13531,CHALLENGE/GUN_UNLOCK_OB,,,
12096,iw9_ch_gununlock_sword01,a&WEAPON/GUNUNLOCK_ME_SWORD01,a&CHALLENGE/GUN_UNLOCK_SWORD01,100,0,16017,CHALLENGE/GUN_UNLOCK_OB,,,
14829,iw9_ch_gununlock_tango9,a&CHALLENGE/GUN_UNLOCK,a&CHALLENGE/GUN_UNLOCK_TANGO9,50,0,24089,CHALLENGE/GUN_UNLOCK_OB,,,
14830,iw9_ch_gununlock_dechoauto,a&WEAPON/GUNUNLOCK_PI_DECHOAUTO,a&CHALLENGE/GUN_UNLOCK_DECHOAUTO,30,0,24472,,,,
14832,iw9_ch_gununlock_throwstar,a&WEAPON/GUNUNLOCK_EQ_THROWSTAR,a&CHALLENGE/GUN_UNLOCK_THROWSTAR,50,0,23263,CHALLENGE/GUN_UNLOCK_DMZ,,,
12384,iw9_ch_gununlock_stango25,a&CHALLENGE/GUN_UNLOCK_STANGO25_NAME,a&CHALLENGE/GUN_UNLOCK_STANGO25,25,0,16976,CHALLENGE/GUN_UNLOCK_OB,,,
13215,iw9_ch_gununlock_ngsierra,a&CHALLENGE/GUN_UNLOCK_NGSIERRA_NAME,a&CHALLENGE/GUN_UNLOCK_NGSIERRA,30,0,22002,CHALLENGE/GUN_UNLOCK_OB,,,
13216,iw9_ch_gununlock_india,a&CHALLENGE/GUN_UNLOCK_INDIA_NAME,a&CHALLENGE/GUN_UNLOCK_INDIA,30,0,22228,CHALLENGE/GUN_UNLOCK_OB,,,
15412,iw9_ch_gununlock_helima,a&CHALLENGE/GUN_UNLOCK_HELIMA_NAME,a&CHALLENGE/GUN_UNLOCK_HELIMA,1,0,26647,CHALLENGE/GUN_UNLOCK_OB,,,
15413,iw9_ch_gununlock_acharlie45,a&CHALLENGE/GUN_UNLOCK_ACHARLIE45_NAME,a&CHALLENGE/GUN_UNLOCK_ACHARLIE45,1,0,26710,CHALLENGE/GUN_UNLOCK_OB,,,
17059,iw9_ch_gununlock_tonfa,a&CHALLENGE/GUN_UNLOCK,a&SEASONAL_EVENT/DELTA_COMMUNITY_DESC,1,0,25653,,,,
17155,iw9_ch_seasonal_s45_shotgun_pointblank_unlock,a&CHALLENGE/SEASONAL_S45_SHOTGUN_POINTBLANK,a&CHALLENGE/SEASONAL_S45_SHOTGUN_POINTBLANK_DESC,30,2000,29624,CHALLENGE/GUN_UNLOCK_OB,,,
20628,iw9_ch_gununlock_fecho,a&CHALLENGE/GUN_UNLOCK_FECHO_NAME,a&CHALLENGE/GUN_UNLOCK_FECHO,1,0,29324,,,,
20629,iw9_ch_gununlock_walpha,a&CHALLENGE/GUN_UNLOCK_WALPHA_NAME,a&CHALLENGE/GUN_UNLOCK_WALPHA,1,0,31576,,,,
21713,iw9_ch_gununlock_ralpha_2,a&CHALLENGE/GUN_UNLOCK_RALPHA_NAME,a&CHALLENGE/GUN_UNLOCK_RALPHA,35,2000,30679,CHALLENGE/GUN_UNLOCK_DMZ,,,
21443,iw9_ch_seasonal_s55_bp_1,a&CHALLENGE/SEASONAL_S55_BP_1,a&CHALLENGE/SEASONAL_S55_BP_1_DESC,15,2000,35505,CHALLENGE/SEASONAL_S55_BP_UNLOCK,,,
21445,iw9_ch_seasonal_s55_bp_3,a&CHALLENGE/SEASONAL_S55_BP_3,a&CHALLENGE/SEASONAL_S55_BP_3_DESC,15,2000,32914,CHALLENGE/SEASONAL_S55_BP_UNLOCK,,,
21447,iw9_ch_seasonal_s55_bp_5,a&CHALLENGE/SEASONAL_S55_BP_5,a&CHALLENGE/SEASONAL_S55_BP_5_DESC,30,2000,35487,CHALLENGE/SEASONAL_S55_BP_UNLOCK,,,
