string,string,string,string,string,string
firefighttest01,key,100,loot_key_fortress,consumable,
firefighttest01,note,100,interactable_note_cartel02,consumable,
firefightTestContainer,item1,100,brloot_plunder_cash_epic_1,consumable,
firefightTestContainer,item2,100,brloot_valuable_gold_skull,consumable,
firefightTestContainer,item3,100,tier2Key,consumable,
firefightTestContainer,item4,100,brloot_valuable_skull_of_bagra_minor,consumable,
airport_lounge,item1,100,brloot_valuable_comicbook_firsted,consumable,
airport_lounge,item2,100,brloot_plunder_cash_rare_2,consumable,
airport_lounge,item3,100,tier2Key,consumable,
airport_lounge,item4,100,valuable_goldbar,consumable,
conference_room,key,75,tier2Key,consumable,
conference_room,note,100,interactable_note_cartel02,consumable,
maintenance,key,75,loot_key_smugglers_warehouse_used,consumable,
maintenance,note,100,interactable_notebook_cartel03,consumable,
baggage_handling,item1,100,brloot_valuable_gunoil,consumable,
baggage_handling,item2,100,valuable_wrench,consumable,
baggage_handling,item3,100,tier2Key,consumable,
baggage_handling,item4,100,brloot_plunder_cash_rare_1,consumable,
end_runway,item1,100,brloot_plunder_cash_rare_1,consumable,
end_runway,item2,100,brloot_plate_carrier_3,consumable,
end_runway,item3,100,brloot_plunder_cash_rare_2,consumable,
end_runway,item4,100,tier3Key,consumable,
caves_bench_container,item1,100,tier2Key,consumable,
caves_bench_container,item2,100,tier2Key,consumable,
caves_bench_container,item3,100,brloot_plunder_cash_epic_1,consumable,
caves_bench_container,item4,100,brloot_valuable_harddrive_encrypted,consumable,
undershack,key,100,tier3Key,consumable,
undershack,note,0,,consumable,
cliffroom,key,75,tier1Key,consumable,
cliffroom,note,100,interactable_note_captured04,consumable,
poppyhome,key,75,tier1Key,consumable,
poppyhome,note,0,,consumable,
gravehouse,key,75,tier1Key,consumable,
gravehouse,note,100,interactable_note_family01,consumable,
powerstation_container,item1,100,valuable_goldbar,consumable,
powerstation_container,item2,100,brloot_plunder_cash_epic_1,consumable,
powerstation_container,item3,100,tier2Key,consumable,
powerstation_container,item4,100,brloot_valuable_harddrive_encrypted,consumable,
gravesite_container,item1,100,personal_pictureofaman,consumable,
gravesite_container,item2,100,personal_pictureofadog,consumable,
gravesite_container,item3,100,brloot_valuable_wine_aged,consumable,
gravesite_container,item4,100,brloot_valuable_comicbook_firsted,consumable,
western_storage,key,75,tier1Key,consumable,
western_storage,note,100,interactable_notebook_chemist05,consumable,
waterpit_container,item1,100,valuable_wrench,consumable,
waterpit_container,item2,100,valuable_goldbar,consumable,
waterpit_container,item3,100,tier3Key,consumable,
waterpit_container,item4,100,valuable_goldbar,consumable,
mobile_office,key,75,tier2Key,consumable,
mobile_office,note,100,,consumable,
crane_building,key,75,tier2Key,consumable,
crane_building,note,100,,consumable,
underwater_ship,item1,100,valuable_goldbar,consumable,
underwater_ship,item2,100,valuable_goldbar,consumable,
underwater_ship,item3,100,brloot_plunder_cash_legendary_1,consumable,
underwater_ship,item4,100,brloot_plunder_cash_legendary_1,consumable,
groundskeepers,key,75,tier1Key,consumable,
groundskeepers,note,100,,consumable,
lighthouse_room,key,0,,consumable,
lighthouse_room,note,100,interactable_note_thief02,consumable,
clocktower_container,item1,100,tier2Key,consumable,
clocktower_container,item2,100,brloot_plunder_cash_epic_1,consumable,
clocktower_container,item3,100,brloot_plunder_cash_rare_2,consumable,
clocktower_container,item4,100,valuable_goldbar,consumable,
hydro_island_room,item1,100,brloot_valuable_harddrive_encrypted,consumable,
hydro_island_room,item2,100,brloot_valuable_harddrive_encrypted,consumable,
hydro_island_room,item1,100,valuable_harddrive,consumable,
hydro_island_room,item2,100,brloot_valuable_electroniccomponents,consumable,
ship_bridge,item1,100,brloot_plunder_cash_epic_1,consumable,
ship_bridge,item2,100,brloot_plunder_cash_epic_2,consumable,
ship_bridge,item3,100,brloot_plunder_cash_rare_2,consumable,
ship_bridge,item4,100,tier3Key,consumable,
ship_center,item1,100,interactable_note_pyro01,consumable,
ship_center,item2,100,brloot_valuable_folder_sensitive,consumable,
ship_center,item3,100,brloot_plunder_cash_rare_2,consumable,
ship_center,item4,100,tier3Key,consumable,
fishing_box_dock,item1,100,brloot_valuable_drill,consumable,
fishing_box_dock,item2,100,tier2Key,consumable,
fishing_box_dock,item3,100,brloot_plunder_cash_epic_2,consumable,
fishing_box_dock,item4,100,brloot_plunder_cash_epic_2,consumable,
secret_comms,key,75,tier2Key,consumable,
secret_comms,note,100,,consumable,
supply_rooms,key,75,tier2Key,consumable,
supply_rooms,note,100,,consumable,
policestation,key,75,loot_key_police_locker,consumable,
policestation,note,100,,consumable,
smugglers_warehouse,key,75,loot_key_mountain_top_worn,consumable,
smugglers_warehouse,note,100,interactable_note_cartel04,consumable,
interrogation_room,key,0,,consumable,
interrogation_room,note,100,interactable_notebook_captured02,consumable,
power_substation,key,0,,consumable,
power_substation,note,100,interactable_note_captured01,consumable,
cell_phone_shop,key,100,loot_key_gravehouse_used,consumable,
cell_phone_shop,note,100,interactable_note_family02,consumable,
underthebridge,item1,100,brloot_plunder_cash_rare_2,consumable,
underthebridge,item2,100,brloot_valuable_cannedfood,consumable,
underthebridge,item3,100,brloot_plunder_cash_rare_2,consumable,
underthebridge,item4,100,tier2Key,consumable,
police_academy_barracks,key,0,,consumable,
police_academy_barracks,note,100,interactable_note_hoard01,consumable,
police_lockerroom,key,100,loot_key_police_locker,consumable,
police_lockerroom,note,100,interactable_note_hoard02,consumable,
post_office,key,100,loot_key_sunken_ship_worn,consumable,
post_office,note,100,interactable_note_thief04,consumable,
tv_station,key,0,,consumable,
tv_station,note,100,interactable_note_chemist01,consumable,
shopping_booth,key,75,tier1Key,consumable,
shopping_booth,note,100,,consumable,
apartment_closet,key,100,loot_key_gravehouse_worn,consumable,
apartment_closet,note,100,interactable_note_family03,consumable,
tv_computer_room,key,0,,consumable,
tv_computer_room,note,100,interactable_note_pyro03,consumable,
yumyum_burger,key,75,tier1Key,consumable,
yumyum_burger,note,100,,consumable,
tower_hill,item1,100,interactable_note_agent01,consumable,
tower_hill,item2,100,personal_pictureofaman,consumable,
tower_hill,item3,100,brloot_valuable_folder_classified,consumable,
tower_hill,item4,100,loot_key_spotters_view,consumable,
canal_uw_container,item1,100,personal_cancermedication,consumable,
canal_uw_container,item2,100,tier2Key,consumable,
canal_uw_container,item3,100,personal_pictureofadog,consumable,
canal_uw_container,item4,100,brloot_plunder_cash_legendary_1,consumable,
destroyed_telescope,key,75,loot_key_sunken_top_office_worn,consumable,
destroyed_telescope,note,100,interactable_notebook_chemist03,consumable,
small_confer_room,key,75,tier1Key,consumable,
small_confer_room,note,100,,consumable,
scientist_apartment,key,100,loot_key_destroyed_telescope_worn,consumable,
scientist_apartment,note,100,interactable_notebook_chemist02,consumable,
hallway_locker,item1,100,brloot_self_revive,consumable,
hallway_locker,item2,100,brloot_valuable_folder_classified,consumable,
hallway_locker,item3,100,brloot_plunder_cash_epic_2,consumable,
hallway_locker,item4,100,gas_mask,consumable,
control_room,item1,100,interactable_note_pyro04,consumable,
control_room,item2,100,loot_key_end_pyro_tunnel,consumable,
control_room,item3,100,equip_molotov,consumable,
control_room,item4,100,brloot_plunder_cash_epic_2,consumable,
north_guard_shack,key,75,tier1Key,consumable,
north_guard_shack,note,100,,consumable,
south_guard_shack,key,75,tier1Key,consumable,
south_guard_shack,note,100,,consumable,
end_pyro_tunnel,item1,100,interactable_note_pyro05,consumable,
end_pyro_tunnel,item2,100,brloot_plunder_cash_legendary_1,consumable,
end_pyro_tunnel,item3,100,brloot_plunder_cash_legendary_1,consumable,
end_pyro_tunnel,item4,100,valuable_lighter,consumable,
fortbarrack1,key,75,tier2Key,consumable,
fortbarrack1,note,100,,consumable,
antiquities_office,key,0,,consumable,
antiquities_office,note,100,interactable_note_thief01,consumable,
munitions_storage,key,75,tier1Key,consumable,
munitions_storage,note,100,,consumable,
office_quarters1,key,75,tier2Key,consumable,
office_quarters1,note,100,,consumable,
office_quarters2,key,75,tier2Key,consumable,
office_quarters2,note,100,,consumable,
quiet_bedroom,key,100,loot_key_grocery_office,consumable,
quiet_bedroom,note,100,interactable_note_family04,consumable,
car_shop,key,75,tier3Key,consumable,
car_shop,note,100,interactable_note_hoard03,consumable,
server_room,key,75,tier3Key,consumable,
server_room,note,100,,consumable,
sunken_top_office,key,100,loot_key_western_storage_used,consumable,
sunken_top_office,note,100,interactable_note_chemist04,consumable,
sunken_2nd_office,key,75,tier2Key,consumable,
sunken_2nd_office,note,100,,consumable,
hotel_room1,key,75,tier2Key,consumable,
hotel_room1,note,100,,consumable,
hotel_room2,key,75,tier2Key,consumable,
hotel_room2,note,100,,consumable,
ship_above_water,item1,100,interactable_notebook_thief03,consumable,
ship_above_water,item2,100,valuable_folder,consumable,
ship_above_water,item3,100,brloot_plunder_cash_epic_2,consumable,
ship_above_water,item4,100,brloot_plunder_cash_epic_2,consumable,
sunken_ship,item1,100,interactable_note_thief05,consumable,
sunken_ship,item2,100,brloot_valuable_skull_of_bagra_minor,consumable,
sunken_ship,item3,100,heroKey,consumable,
dressing_room,key,75,tier1Key,consumable,
dressing_room,note,100,,consumable,
sec_camera_room,key,100,loot_key_sira_mall,consumable,
sec_camera_room,note,100,interactable_note_agent03,consumable,
sira_apartment,key,75,tier2Key,consumable,
sira_apartment,note,100,,consumable,
apartment_snipernest,key,0,,consumable,
apartment_snipernest,note,100,interactable_note_agent04,consumable,
gaming_room,key,75,tier2Key,consumable,
gaming_room,note,100,interactable_notebook_cartel01,consumable,
fishing_shack,key,75,tier1Key,consumable,
fishing_shack,note,100,,consumable,
underground_passage,item1,100,interactable_note_pyro02,consumable,
underground_passage,item2,100,loot_key_tv_computer_room,consumable,
underground_passage,item3,100,brloot_offhand_molotov,consumable,
underground_passage,item4,100,brloot_plunder_cash_epic_2,consumable,
mountain_top,key,75,tier2Key,consumable,
mountain_top,note,100,interactable_note_cartel05,consumable,
spotters_view,key,100,loot_key_sec_camera_room_worn,consumable,
spotters_view,note,100,interactable_note_agent02,consumable,
grocery_office,key,100,loot_key_gravehouse_worn,consumable,
grocery_office,note,100,interactable_note_family05,consumable,
neigh_storage_room,key,75,tier1Key,consumable,
neigh_storage_room,note,100,,consumable,
hydro_apt,key,100,loot_key_cliffroom_used,consumable,
hydro_apt,note,100,interactable_notebook_captured03,consumable,
hydro_storage,key,75,tier1Key,consumable,
hydro_storage,note,0,,consumable,
safe_house,key,100,loot_key_fortress,consumable,
safe_house,note,100,interactable_note_agent05,consumable,
crash_wp_case,item1,100,weaponEpic,consumable,
crash_wp_case,item2,90,weaponEpic,consumable,
crash_wp_case,item3,60,weaponRare,consumable,
crash_wp_case,item4,40,weaponPistol,consumable,
crash_lrg_1,item1,100,interactable_note_saba_trapper01,consumable,
