string,string,string,string
0,arch,MP_TOWNHOUSES/CALLOUT_ARCH,area
1,backalley,MP_TOWNHOUSES/CALLOUT_BACK_ALLEY,area
2,bikeshop,MP_TOWNHOUSES/CALLOUT_BIKE_SHOP,area
3,connector,MP_TOWNHOUSES/CALLOUT_CONNECTOR,area
4,underwater,MP_TOWNHOUSES/CALLOUT_UNDERWATER,area
5,construction,MP_TOWNHOUSES/CALLOUT_CONSTRUCTION,area
6,house,MP_TOWNHOUSES/CALLOUT_HOUSE,area
7,laundry,MP_TOWNHOUSES/CALLOUT_LAUNDRY,area
8,parking,MP_TOWNHOUSES/CALLOUT_PARKING,area
9,parkentrance,MP_TOWNHOUSES/CALLOUT_PARK_ENTRANCE,area
10,plaza,MP_TOWNHOUSES/CALLOUT_PLAZA,area
11,riverside,MP_TOWNHOUSES/CALLOUT_RIVERSIDE,area
12,bridges,MP_TOWNHOUSES/CALLOUT_BRIDGES,area
13,friar,MP_TOWNHOUSES/CALLOUT_THE_SOBER_FRIAR,area
14,stairs,MP_TOWNHOUSES/CALLOUT_STAIRS,area
15,checkpoint,MP_TOWNHOUSES/CALLOUT_CHECKPOINT,area
16,road,MP_TOWNHOUSES/CALLOUT_ROAD,area
17,streetwear,MP_TOWNHOUSES/CALLOUT_STREETWEAR,area
18,alleyway,MP_TOWNHOUSES/CALLOUT_ALLEYWAY,area
19,canal,MP_TOWNHOUSES/CALLOUT_CANAL,area
20,vans,MP_TOWNHOUSES/CALLOUT_VANS,area
