string,string,string,localized_a,localized_a,string,string,string,string,string,string,string
plunder_tiny,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,100,100,100,100,
plunder_small,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,200,130,100,90,
plunder_medium,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,400,250,200,180,
plunder_medium_1x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_1X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,400,250,200,180,
plunder_medium_2x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_2X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,800,500,400,350,
plunder_medium_3x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_3X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1200,750,600,530,
plunder_medium_4x,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL_4X,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,1600,1000,800,700,
plunder_large,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,600,380,300,260,
plunder_huge,plunder,ui_mp_br_mission_reward_plunder,a&MP_BR_INGAME/DOLLAR_VAL,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TOTAL,,br_reward_mission_cash,800,500,400,350,
xp_small,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,300,300,300,300,
xp_medium,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,500,500,500,500,
xp_medium_1x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_1X,a&,,br_reward_mission_xp,500,500,500,500,
xp_medium_2x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_2X,a&,,br_reward_mission_xp,600,600,600,600,
xp_medium_3x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_3X,a&,,br_reward_mission_xp,700,700,700,700,
xp_medium_4x,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP_4X,a&,,br_reward_mission_xp,800,800,800,800,
xp_large,xp,ui_mp_br_mission_reward_xp,a&MP_BR_INGAME/VAL_XP,a&,,br_reward_mission_xp,1000,1000,1000,1000,
weapon_xp_small,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,200,200,200,200,
weapon_xp_medium,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,300,300,300,300,
weapon_xp_medium_1x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_1X,a&,,br_reward_mission_weaponxp,300,300,300,300,
weapon_xp_medium_2x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_2X,a&,,br_reward_mission_weaponxp,600,600,600,600,
weapon_xp_medium_3x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_3X,a&,,br_reward_mission_weaponxp,900,900,900,900,
weapon_xp_medium_4x,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP_4X,a&,,br_reward_mission_weaponxp,1200,1200,1200,1200,
weapon_xp_large,weapon_xp,ui_mp_br_mission_reward_xp_weapon,a&MP_BR_INGAME/VAL_WEAPON_XP,a&,,br_reward_mission_weaponxp,400,400,400,400,
drop_bag,drop_bag,ui_mp_br_mission_reward_dropbox,a&MP_BR_INGAME/DROP_BAG,a&,,br_reward_mission_misc,1,1,1,1,
circle_peek,circle_peek,ui_mp_br_mission_reward_circle,a&MP_BR_INGAME/CIRCLE_PEEK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,1,1,1,1,
loot_gasmask,loot_items,ui_mp_br_mission_reward_gasmask,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_gasmask_nosplash,loot_items,,a&EQUIPMENT/GASMASK,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_gasmask,br_reward_mission_misc,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,brloot_equip_gasmask,
loot_token,loot_items,loot_token_icon,a&MP_BR_INGAME/LOOT_TOKEN,a&,,br_reward_mission_misc,token,token,token,token,
fire_sale,none,ui_mp_br_mission_reward_supplystation_sale,a&MP_BR_INGAME/FIRE_SALE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_PER_PLAYER,,br_reward_mission_misc,0,0,0,0,
team_revive,none,hud_icon_loot_revive,a&MP_BR_INGAME/TEAM_REVIVE,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_TEAM_REWARD,,br_reward_mission_misc,0,0,0,0,
loot_table,loot_table,,a&MP_BR_INGAME/LOOT_TABLE,a&,,,0,0,0,0,
loot_table_token,none,,a&MP_BR_INGAME/LOOT_TABLE_TOKEN,a&,,,0,0,0,0,#doesn't spawn a token - only here so it shows on ui
reward_tier,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,1,1,1,1,#no icon so it wont display on loot card
reward_tier_1x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,1,1,1,1,
reward_tier_2x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,2,2,2,2,
reward_tier_3x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,3,3,3,3,
reward_tier_4x,reward_tier,,a&LUA_MENU/REWARD_TIER,a&,,,4,4,4,4,
loot_platecarrier,loot_items,ui_mp_br_mission_reward_armor_satchel,a&MP/BR_PLATE_CARRIER_3,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,,br_reward_mission_misc,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,
loot_platecarrier_nosplash,loot_items,,a&MP/BR_PLATE_CARRIER_3,a&MP_BR_INGAME/LOOTCARD_SUBTITLE_1_ITEM,ui_mp_br_mission_reward_armor_satchel,br_reward_mission_misc,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,brloot_plate_carrier_3,
uav,uav,hud_icon_killstreak_uav,a&KILLSTREAKS/UAV,a&,,br_reward_mission_misc,uav,uav,uav,uav,
uav_directional,uav,hud_icon_killstreak_auav,a&KILLSTREAKS/DIRECTIONAL_UAV,a&,,br_reward_mission_misc,directional_uav,directional_uav,directional_uav,directional_uav,
uav_counter,uav,hud_icon_killstreak_uav,a&KILLSTREAKS/SCRAMBLER_DRONE,a&,,br_reward_mission_misc,counter_uav,counter_uav,counter_uav,counter_uav,
juggernaut,juggernaut,hud_icon_killstreak_juggernaut,a&KILLSTREAKS/JUGGERNAUT,a&,,br_reward_mission_misc,1,1,1,1,
