string,string,string,string,localized_a,string,xhashdvar,string,string,string,int
middle,trophyUploadStation,ui_map_icon_trophy_s03,,a&MP/SCORPION_TROPHY_BANK,,@#scr_scorpiontrophyevent,,,,0
middle,exfil,ui_map_icon_extraction,,a&DMZ/EXFIL,,@#,,,,0
middle,activityStarter,ui_map_icon_ph_bg,,a&DMZ/CONTRACTS,,@#,,,,0
middle,weaponCase,hud_icon_minimap_misc_squad_loot_box,,a&DMZ/WEAPON_CASE,,@#,,,,0
middle,weaponCaseArea,ui_map_icon_dmz_weapon_search_yellow,,a&DMZ/WEAPON_CASE_AREA,,@#,,,,0
middle,radiationArea,ui_map_icon_dmz_radiation_orange,,a&DMZ/RADIATION_AREA,,@#,,,,0
middle,supplyBox,ui_map_icon_supply_drop_yellow,,a&DMZ/SUPPLY_DROP,,@#,,,,0
middle,fortress,ui_map_icon_fortress,,a&MP_BR_INGAME/FORTRESS,,@#,,,,0
middle,fortressLocation,ui_map_icon_loc_fortress,,a&DMZ/FORTRESS_LOC,,@#,,,,0
middle,fortressLocationHighTier,ui_map_icon_loc_fortress_high_tier,,a&DMZ/FORTRESS_LOC_HIGH_TIER,,@#,,,,0
middle,armoryKiosk,ui_map_icon_poi_shop,,a&MP_BR_INGAME/ARMORY_KIOSK,,@#,,,,0
middle,gasStation,ui_map_icon_gas_land,,a&DMZ/GAS_STATION,,@#,,,,0
middle,uavTower,ui_map_icon_uav_tower,,a&DMZ/UAV_TOWER,,@#,,,,0
middle,samsite,ui_map_icon_sam_site,,a&DMZ/SAM_SITE_TITLE,,@#,,,,0
middle,safe,ui_map_icon_safe,,a&DMZ/SAFE_TITLE,,@#,,,,0
middle,ammocache,ui_map_icon_ammo_cache,,a&MP_BR_INGAME/AMMO_CACHE,,@#,,,,0
middle,dogTags,hud_icon_minimap_misc_dog_tag,,a&DMZ/DOG_TAG,,@#,,,,0
middle,tram,hud_icon_minimap_vehicle_tram_end,,a&MP_INGAME_ONLY/TRANSPORT_TRAM,,@#,AreTramsEnabled,,,0
middle,taxiBoat,ui_mp_br_mapmenu_icon_taxi_boat,,a&MP_INGAME_ONLY/TAXI_BOAT,,@#,HasTaxiBoats,,,0
top,butcher,hud_icon_minimap_boss_butcher_lilith_altar,,a&MP_INGAME_ONLY/ALTAR_OF_LILITH,,@#hash_69aa6edcae55e91e,,,,0
top,swampmonster,hud_icon_minimap_haunting_swamp_monster,,a&MP_INGAME_ONLY/SWAMPMONSTER,,@#hash_fd787c5936ef0419,,,,0
top,mummy,hud_icon_minimap_haunting_mummy,,a&MP_INGAME_ONLY/MUMMY,,@#hash_8d50b73cfa758b34,,,,0
top,partedseas,hud_icon_minimap_haunting_ufo,,a&MP_INGAME_ONLY/UFO,,@#hash_7cfbd83549a6a746,,,,0
top,ghosttrain,hud_icon_minimap_haunting_ghost_train,,a&MP_INGAME_ONLY/GHOST_TRAIN,,@#,,,,0
