string,string,string,string,string,string,string,string
none,1,,,,,,
default,2,plunder_small,default,xp_small,default,weapon_xp_small,default
domination,3,plunder_medium,default,xp_medium,default,weapon_xp_medium,default
assassin,4,plunder_large,default,xp_large,default,weapon_xp_large,default
assassin_target_killed,5,plunder_large,default,xp_large,default,weapon_xp_large,default
assassin_target_vanished,6,plunder_large,default,xp_small,default,weapon_xp_small,default
assassin_averted,7,plunder_large,default,xp_small,default,weapon_xp_small,default
scavenger_1,28,,,,,,
scavenger_2,29,,,,,,
scavenger_3,30,plunder_small,default,xp_medium,default,weapon_xp_medium,default
vip,31,plunder_large,default,xp_large,default,weapon_xp_large,default
vip_killer,32,plunder_large,default,xp_small,default,weapon_xp_small,default
timed_run,33,plunder_medium,default,xp_medium,default,weapon_xp_medium,default
blueprintextract,34,plunder_medium,default,xp_large,default,weapon_xp_large,default
secretstash,35,plunder_medium,default,xp_medium,default,weapon_xp_medium,default
intel,36,plunder_medium,default,xp_medium,default,weapon_xp_medium,default
