string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
delta_castle,mainbuilding,16,22,28,2,1,2,,,2,,,,,,,1
delta_castle,garden,10,15,20,1,1,2,,,,,,,,,,1
delta_castle,stables,10,14,18,2,1,2,,,,,,,,1,2,1
delta_castle,chapel,10,13,16,1,1,2,,,,,,,,1,2,1
delta_castle,orphan,8,10,12,1,2,6,,,,,,,,,,1
delta_cityhall,mainbuilding,15,20,28,1,0,2,,,1,,,,,,,1
delta_cityhall,orphan,5,8,9,1,0,4,,,,,,,,1,2,1
delta_cemetary,mainbuilding,10,13,16,2,0,2,,,2,,,,,,,2
delta_cemetary,bloc01,12,15,21,2,0,2,,,,,,1,,,,1.5
delta_cemetary,bloc02,12,17,25,1,0,2,,,,,,,,,,1.5
delta_cemetary,bloc03,8,18,24,1,0,2,,,,,,,,,,1.5
delta_cemetary,orphan,7,9,15,2,0,3,,,,,,,,,,2.5
delta_firestation,mainbuilding,12,25,32,2,0,2,,,1,,,,,1,2,2
delta_firestation,bloc01,12,18,23,1,1,2,,,,,,,,,,1.5
delta_firestation,bloc02,14,21,23,1,0,2,,,,,,,,,,1.5
delta_firestation,bloc03,12,16,21,1,1,2,,,,,,,,,,1.5
delta_firestation,bloc04,8,12,18,1,0,2,,,,,,,,1,,1.5
delta_firestation,bloc05,8,9,13,1,1,2,,,,,,,,,,1.5
delta_firestation,bloc06,14,19,23,1,0,2,,,,,,,,,,2
delta_firestation,orphan,12,18,24,1,1,4,,,,,,,,,,2.5
delta_fleamarket,mainbuilding,12,18,25,3,0,2,,,3,,,1,,,,2
delta_fleamarket,crashsite,10,15,20,3,1,2,,1,,,,,,,,1.5
delta_fleamarket,bikes,10,15,20,2,1,2,,,,,,,,,,2
delta_fleamarket,parking,7,15,20,2,0,2,,,,,,,,,,2
delta_fleamarket,police,14,18,24,2,0,2,,,,,,,,,,1.5
delta_fleamarket,bloc01,8,24,30,1,0,2,,,,,,,,,,1.5
delta_fleamarket,bloc02,8,16,22,2,1,2,,1,,,,,,,,1.5
delta_fleamarket,bloc03,8,15,17,1,0,2,,,,,,,,,,1.5
delta_fleamarket,orphan,9,24,30,2,0,5,,1,,,,,,,,2.5
delta_library,mainbuilding,15,21,27,2,0,2,,,2,,,,,,,2
delta_library,arcade,6,9,12,1,0,2,,,,,,,,,,2
delta_library,shops,8,9,12,1,1,2,,,,,,,,,,2
delta_library,gallery,8,12,16,1,0,2,,,,,,,,,,2
delta_library,orphan,5,12,20,1,1,5,,,,,,,,1,2,3
delta_museum,mainbuilding,12,18,24,2,0,2,,,2,,,,,,,2
delta_museum,frontcourtyard,4,10,12,1,1,2,,,,,,,,1,2,2
delta_museum,sidecourtyard,4,10,12,2,1,2,,,,,,,,,,2
delta_museum,nemo,12,18,24,1,0,2,,,,,,,,,,1.5
delta_museum,bloc01,8,14,20,2,0,2,,,,,,,,1,,2
delta_museum,bloc02,8,14,20,1,1,2,,,,,,,,,,2
delta_museum,orphan,8,12,18,1,1,3,,,,,,,,,,3
delta_stadium,interior,7,12,18,2,0,2,,,2,,,,,,,1.5
delta_stadium,west50,3,9,15,2,0,1,,1,,,,,,,,2
delta_stadium,east50,3,9,15,2,0,1,,1,,,,,,1,2,2
delta_stadium,windmill,7,10,13,1,0,2,,1,,,,,,,,2
delta_stadium,orphan,8,18,24,1,0,6,,,,,,,,,,2
delta_station,mainbuildingnorth,15,18,25,1,0,2,,,1,,,,,,,2
delta_station,mainbuildingcenter,14,18,25,2,1,5,,,,,,,,,,2
delta_station,mainbuildingsouth,14,19,24,1,1,2,,,,,,,,,,1.5
delta_station,tracks,13,16,19,2,0,2,,,,,,,,,,1.5
delta_station,marina,11,15,21,1,0,2,,,,,,,,,,1.5
delta_station,orphan,15,24,30,1,2,2,,,,,,,,1,2,2
delta_shoppingcenter,mainbuilding,16,22,28,2,0,2,,,2,,,,1,,,1.5
delta_shoppingcenter,sidearea,8,10,13,2,1,2,,,,,,,,1,2,2.5
delta_shoppingcenter,bloc01,8,17,24,2,0,2,,,,,,,,1,,1.5
delta_shoppingcenter,orphan,11,15,21,1,1,6,,,,,,,,,,2
delta_terminal,mainbuilding,15,21,27,1,0,2,cartel,,1,,,,,,,1.5
delta_terminal,helipad,6,9,12,1,0,2,cartel,,,,,,,,,2
delta_terminal,restaurant,6,9,12,1,2,2,,,,,,,,,,2
delta_terminal,bloc01,17,22,28,1,0,2,,,,,,,,1,,1.5
delta_terminal,orphan,7,15,18,1,1,4,cartel,,,,,,,,,2.5
delta_zoo,aquarium,15,24,30,2,0,2,,,1,,,,,,,1.5
delta_zoo,jungle,8,15,25,1,0,2,,,,,,,,,,2
delta_zoo,restraurant,11,18,25,1,1,2,,,,,,,,,,2
delta_zoo,medical,11,15,25,2,0,2,,,,,,,,,,2
delta_zoo,bloc01,10,15,20,1,0,2,,,,,,,,1,,1.5
delta_zoo,orphan,9,24,30,1,1,4,,,,,,,,1,2,2
