string,string,localized_a,string,string
0,allies_tunnels,a&MP_HYDRO/CALLOUT_ALLIES_TUNNELS,area,
1,archway,a&MP_HYDRO/CALLOUT_ARCHWAY,area,
2,axis_tunnels,a&MP_HYDRO/CALLOUT_AXIS_TUNNELS,area,
3,basin,a&MP_HYDRO/CALLOUT_BASIN,area,
4,control_room,a&MP_HYDRO/CALLOUT_CONTROL_ROOM,area,
5,destroyed_building,a&MP_HYDRO/CALLOUT_DESTROYED_BUILDING,area,
6,dirt_path,a&MP_HYDRO/CALLOUT_DIRT_PATH,area,
7,dome,a&MP_HYDRO/CALLOUT_DOME,area,
8,fuel_station,a&MP_HYDRO/CALLOUT_FUEL_STATION,area,
9,generator_building,a&MP_HYDRO/CALLOUT_GENERATOR_BUILDING,area,
10,information_booth,a&MP_HYDRO/CALLOUT_INFORMATION_BOOTH,area,
11,river,a&MP_HYDRO/CALLOUT_RIVER,area,
12,main_walkway,a&MP_HYDRO/CALLOUT_MAIN_WALKWAY,area,
13,mid_entryway,a&MP_HYDRO/CALLOUT_MID_ENTRYWAY,area,
14,mid_tunnels,a&MP_HYDRO/CALLOUT_MID_TUNNELS,area,
15,ruins,a&MP_HYDRO/CALLOUT_RUINS,area,
16,shore,a&MP_HYDRO/CALLOUT_SHORE,area,
17,side_trail,a&MP_HYDRO/CALLOUT_SIDE_TRAIL,area,
18,silos,a&MP_HYDRO/CALLOUT_SILOS,area,
19,tower,a&MP_HYDRO/CALLOUT_TOWER,area,
20,trail,a&MP_HYDRO/CALLOUT_TRAIL,area,
21,upper_rocks,a&MP_HYDRO/CALLOUT_UPPER_ROCKS,area,
22,utility_building,a&MP_HYDRO/CALLOUT_UTILITY_BUILDING,area,
23,waterlock_control,a&MP_HYDRO/CALLOUT_WATERLOCK_CONTROL,area,
24,wooden_path,a&MP_HYDRO/CALLOUT_WOODEN_PATH,area,
