string,string,string,string,string,string,string,string,string
shotblock32x32x32,shotblock32x32x32,-358,-462,41,270,0,-180,Shotblock for middle block bullet pen part 1
shotblock32x32x32,shotblock32x32x32,-366,-462,41,270,0,-180,Shotblock for middle block bullet pen part 2
shotblock32x32x32,shotblock32x32x32,-288,-426,41,270,0,-90,Shotblock for middle block bullet pen part 3
shotblock32x32x32,shotblock32x32x32,-366,-435,41,270,0,-180,Shotblock for middle block bullet pen part 4
shotblock32x32x32,shotblock32x32x32,-358,-435,41,270,0,-180,Shotblock for middle block bullet pen part 5
shotblock32x32x32,shotblock32x32x32,-288,-414,41,270,0,-90,Shotblock for middle block bullet pen part 6
shotblock32x32x32,shotblock32x32x32,-310,-426,41,270,0,-90,Shotblock for middle block bullet pen part 7
shotblock32x32x32,shotblock32x32x32,-310,-414,41,270,0,-90,Shotblock for middle block bullet pen part 8
shotblock32x32x32,shotblock32x32x32,-355,-404,41,270,0,-180,Shotblock for middle block bullet pen part 9
shotblock32x32x32,shotblock32x32x32,-366,-404,41,270,0,-180,Shotblock for middle block bullet pen part 10
