string,string,localized_a,string,string
0,Carnival,a&MP_SIRA_GW/CARNIVAL,area,
1,Mall,a&MP_SIRA_GW/MALL,area,
2,Eastern Tenements,a&MP_SIRA_GW/EASTERN_TENEMENTS,area,
3,Soccer Stadium,a&MP_SIRA_GW/SOCCER_STADIUM,area,
4,Dirt Lot,a&MP_SIRA_GW/DIRT_LOT,area,
5,Gas Station,a&MP_SIRA_GW/GAS_STATION,area,
6,Train Cars,a&MP_SIRA_GW/TRAIN_CARS,area,
7,Harbor Warehouses,a&MP_SIRA_GW/HARBOR_WAREHOUSES,area,
8,Restaurant,a&MP_SIRA_GW/RESTAURANT,area,
9,Waterside,a&MP_SIRA_GW/WATERSIDE,area,
10,Storage,a&MP_SIRA_GW/STORAGE,area,
11,Main Street,a&MP_SIRA_GW/MAIN_STREET,area,
12,Offices,a&MP_SIRA_GW/OFFICES,area,
13,Black Market,a&MP_SIRA_GW/BLACK_MARKET,area,
