string,string,string,string
0,backstage,MP_DAVOS/CALLOUT_BACKSTAGE,area
1,conference,MP_DAVOS/CALLOUT_CONFERENCE,area
2,east,MP_DAVOS/CALLOUT_EAST,area
3,hill,MP_DAVOS/CALLOUT_HILL,area
4,hotel,MP_DAVOS/CALLOUT_HOTEL,area
5,lobby,MP_DAVOS/CALLOUT_LOBBY,area
6,lounge,MP_DAVOS/CALLOUT_LOUNGE,area
7,media,MP_DAVOS/CALLOUT_MEDIA,area
8,north,MP_DAVOS/CALLOUT_NORTH,area
9,restaurant,MP_DAVOS/CALLOUT_RESTAURANT,area
10,roundabout,MP_DAVOS/CALLOUT_ROUNDABOUT,area
11,saunas,MP_DAVOS/CALLOUT_SAUNAS,area
12,street,MP_DAVOS/CALLOUT_STREET,area
13,terrace,MP_DAVOS/CALLOUT_TERRACE,area
14,tourist,MP_DAVOS/CALLOUT_TOURIST,area
15,walkway,MP_DAVOS/CALLOUT_WALKWAY,area
16,showers,MP_DAVOS/CALLOUT_SHOWERS,area
17,sculpture,MP_DAVOS/CALLOUT_SCULPTURE,area
18,restrooms,MP_DAVOS/CALLOUT_RESTROOMS,area
19,vip,MP_DAVOS/CALLOUT_VIP,area
20,pool,MP_DAVOS/CALLOUT_POOL,area
