string,string,string,string,localized_a,string,xhashdvar,string,string,localized_a,int
legend,trophyUploadStation,ui_map_icon_trophy_s03,,a&MP/SCORPION_TROPHY_BANK,,@#scr_scorpiontrophyevent,,,a&,0
legend,zoneLocked,hud_icon_objective_zclock,,a&MP_BR_INGAME/ZC_LOCKED_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,zoneNeutral,hud_icon_idle_t1,,a&MP_BR_INGAME/ZC_BRONZE_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,zoneHigh,hud_icon_idle_t2,,a&MP_BR_INGAME/ZC_SILVER_ZONE,,@#,IsBRZonecontrolGametype,,a&,0
legend,leaderCrown,ui_map_icon_zcleader,,a&MP_BR_INGAME/ZC_LEADER,,@#,IsBRZonecontrolGametype,,a&,0
middle,squadDropbag,ui_map_icon_drop_loadout_blue,,a&MP_BR_INGAME/SQUAD_DROPBAG,,@#scr_br_dropbagspawn,,,a&,0
middle,highstakesCrate,ui_map_icon_drop_doublexp,,a&MP/DOUBLEXP_CRATE_NAME,,@#hash_ec487051294f83c2,,,a&,0
middle,fortress,ui_map_icon_stronghold,,a&MP_BR_INGAME/FORTRESS,,@#hash_9adec631e1eee04a,,,a&,0
middle,blacksite,ui_map_icon_blacksite_default,,a&MP_BR_INGAME/BLACK_SITE,,@#hash_70de2a00ac12b9e8,,,a&,0
middle,abandonedCache,ui_map_icon_loot_cache,,a&MP_BR_INGAME/ABANDONEDCACHE,,@#hash_4af62e57f66d060b,,,a&,0
middle,armoryKiosk,ui_map_icon_poi_shop,,a&MP_BR_INGAME/ARMORY_KIOSK,,@#scr_br_armory_kiosk,,,a&,0
middle,deployableBuyStation,ui_map_icon_portable_buystation,,a&EQUIPMENT/DEPLOYABLE_KIOSK_MARKER,,@#scr_br_armory_kiosk,,,a&,0
middle,plunderDrop,ui_map_icon_cash_drop,IW9StyleGuide.styleGuideFeatured01,a&MP_BR_INGAME/CASH_DROP,,@#hash_fdd3801a5f5cf93,,,a&,0
middle,ammocache,ui_map_icon_ammo_cache,,a&MP_BR_INGAME/AMMO_CACHE,,@#,,,a&,0
middle,tram,hud_icon_minimap_vehicle_tram_end,,a&MP_INGAME_ONLY/TRANSPORT_TRAM,,@#,AreTramsEnabled,,a&,0
middle,taxiBoat,ui_mp_br_mapmenu_icon_taxi_boat,,a&MP_INGAME_ONLY/TAXI_BOAT,,@#,HasTaxiBoats,,a&,0
middle,gas,ui_map_icon_gas_land,,a&MP_BR_INGAME/GAS_STATION,,@#scr_vehicle_enable_fuel,,,a&,0
middle,plunderExtraction,ui_mp_br_mapmenu_legend_poi_plunder,,a&MP_BR_INGAME/PLUNDER_EXTRACTION_POINT,,@#scr_br_plunder_sites,,,a&,0
middle,redeployDrone,ui_map_icon_redeploy_drone,,a&VEHICLES/REDEPLOY_DRONE,,@#redeploy_ascenders_enabled,,,a&,0
middle,uavTower,ui_map_icon_uav_tower,,a&DMZ/UAV_TOWER,,@#scr_enable_uav_towers,,,a&,0
middle,brokenATM,ui_mp_br_mapmenu_legend_poi_broken_atm,,a&MP_BR_INGAME/BROKEN_ATM,,@#hash_a6b7002b1a7fef73,,,a&,0
top,butcher,hud_icon_minimap_boss_butcher_lilith_altar,,a&MP_INGAME_ONLY/ALTAR_OF_LILITH,,@#hash_69aa6edcae55e91e,,,a&,0
top,swampmonster,hud_icon_minimap_haunting_swamp_monster,,a&MP_INGAME_ONLY/SWAMPMONSTER,,@#hash_fd787c5936ef0419,,,a&,0
top,mummy,hud_icon_minimap_haunting_mummy,,a&MP_INGAME_ONLY/MUMMY,,@#hash_8d50b73cfa758b34,,,a&,0
top,partedseas,hud_icon_minimap_haunting_ufo,,a&MP_INGAME_ONLY/UFO,,@#hash_7cfbd83549a6a746,,,a&,0
top,ghosttrain,hud_icon_minimap_haunting_ghost_train,,a&MP_INGAME_ONLY/GHOST_TRAIN,,@#,,,a&,0
top,contracts,,,a&,1,@#,,,a&,0
