string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
0,1,archetype_assault,iw9_ar_mcharlie_mp,grip_angled05,none,none,none,none,none,none,iw9_pi_golf17,pgrip_tac_p24,bar_pi_heavy_p24,laserpstl_ads02,comp_pi_02,none,none,none,none,equip_semtex,equip_snapshot_grenade
0,1,archetype_assault,iw9_sm_mpapax_mp,barsil_sm_p08,none,none,none,none,none,none,iw9_pi_decho,bar_pi_long_p25,mag_pi_xlarge_p25,laserpstl_ads01,trigger_hair_p25,pgrip_tac_p25,none,none,none,equip_thermite,equip_snapshot_grenade
0,1,archetype_assault,iw9_sm_acharlie45_mp,mag_sm_large_p43,none,none,none,none,none,none,iw9_pi_papa220,pgrip_tac_p27,mag_pi_xlarge_p27,laserpstl_hip02,trigger_light_p27,silencer03_pi,none,none,none,equip_frag,equip_snapshot_grenade
1,2,archetype_assault,iw9_ar_augolf_mp,comp_ar_04,reflex03_tall,none,none,none,none,none,iw9_pi_golf17,pgrip_tac_p24,bar_pi_heavy_p24,laserpstl_ads02,comp_pi_02,none,none,none,none,equip_frag,equip_snapshot_grenade
1,2,archetype_assault,iw9_ar_kilo53_mp,holo02,stock_sm_p02_kilo53,none,none,none,none,none,iw9_pi_decho,bar_pi_long_p25,mag_pi_xlarge_p25,laserpstl_ads01,trigger_hair_p25,pgrip_tac_p25,none,none,none,equip_frag,equip_snapshot_grenade
1,2,archetype_assault,iw9_sm_papa90_mp,comp_sm_02,iw9_minireddot01_tall,none,none,none,none,none,iw9_pi_papa220,pgrip_tac_p27,mag_pi_xlarge_p27,laserpstl_hip02,trigger_light_p27,silencer03_pi,none,none,none,equip_molotov,equip_snapshot_grenade
2,3,archetype_assault,iw9_ar_helima_mp,bar_ar_heavy_p52,grip_angled08,mag_ar_xlarge_p52,none,none,none,none,iw9_pi_golf17,pgrip_tac_p24,bar_pi_heavy_p24,laserpstl_ads02,comp_pi_02,none,none,none,none,equip_molotov,equip_snapshot_grenade
2,3,archetype_assault,iw9_sm_mpapa5_mp,bar_sm_long_p02,lasercyl_ads01,mag_sm_large_p02,none,none,none,none,iw9_pi_decho,bar_pi_long_p25,mag_pi_xlarge_p25,laserpstl_ads01,trigger_hair_p25,pgrip_tac_p25,none,none,none,equip_frag,equip_snapshot_grenade
2,3,archetype_assault,iw9_ar_akilo_mp,grip_angled01,iw9_minireddot01_tall,mag_ar_large_p04_akilo,none,none,none,none,iw9_pi_papa220,pgrip_tac_p27,mag_pi_xlarge_p27,laserpstl_hip02,trigger_light_p27,silencer03_pi,none,none,none,equip_molotov,equip_snapshot_grenade
3,9,archetype_assault,iw9_ar_mike4_mp,bar_ar_longhvy_p01_mike4,grip_angled05,iw9_minireddot02_tall,pgrip_ass_p01,none,none,none,iw9_pi_golf17,pgrip_tac_p24,bar_pi_heavy_p24,laserpstl_ads02,comp_pi_02,none,none,none,none,equip_molotov,equip_snapshot_grenade
3,9,archetype_assault,iw9_sm_mpapa7_mp,comp_sm_03,bar_sm_long_p09,lasercyl_ads05,stockno_sm_p09,none,none,none,iw9_pi_decho,bar_pi_long_p25,mag_pi_xlarge_p25,laserpstl_ads01,trigger_hair_p25,pgrip_tac_p25,none,none,none,equip_molotov,equip_snapshot_grenade
3,9,archetype_assault,iw9_ar_acharlie300_mp,bar_ar_heavy_p43,comp_ar_07,mag_ar_large_p43,iw9_minireddot04_tall,none,none,none,iw9_pi_papa220,pgrip_tac_p27,mag_pi_xlarge_p27,laserpstl_hip02,trigger_light_p27,silencer03_pi,none,none,none,equip_molotov,equip_snapshot_grenade
