string,string,string,string
0,bedrooms,MP_NARCOS/CALLOUT_BEDROOMS,area
1,bridge,MP_NARCOS/CALLOUT_BRIDGE,area
2,dining,MP_NARCOS/CALLOUT_DINING,area
3,kitchen,MP_NARCOS/CALLOUT_KITCHEN,area
4,offices,MP_NARCOS/CALLOUT_OFFICES,area
5,palapa,MP_NARCOS/CALLOUT_PALAPA,area
6,pond,MP_NARCOS/CALLOUT_POND,area
7,pool,MP_NARCOS/CALLOUT_POOL,area
8,roundabout,MP_NARCOS/CALLOUT_ROUNDABOUT,area
9,security,MP_NARCOS/CALLOUT_SECURITY,area
10,stables,MP_NARCOS/CALLOUT_STABLES,area
11,westside,MP_NARCOS/CALLOUT_WESTSIDE,area
12,living,MP_NARCOS/CALLOUT_LIVING,area
13,alley,MP_NARCOS/CALLOUT_ALLEY,area
