string,string,string,string,string
tagReject,nodmz,100,,
tagReject,nodrop,100,,
rollChance,ammo,5,,
rollChance,lethal,3,,
item,brloot_ammo_12g,15,,
item,brloot_ammo_50cal,23,,
item,brloot_ammo_762,30,,
item,brloot_ammo_919,23,,
item,brloot_ammo_rocket,9,,
item,brloot_super_munitionsbox,3,,
item,brloot_super_armorbox,3,,
item,brloot_plunder_cash_common_1,10,,
item,brloot_plunder_cash_uncommon_1,20,,
item,brloot_plunder_cash_uncommon_2,30,,
item,brloot_plunder_cash_uncommon_3,30,,
item,brloot_plunder_cash_rare_1,10,,
reqAdd,(!weapon),1,0,100
reqAdd,,1,0,100
