string,string,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,localized_a,string,string,string,string,string,string,string,string,localized_a,string,localized_a
1,s3_enter_numbers,a&CP_RAID1_NUMSPUZZLE/MOVE_VENTS,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/MOVE_VENTS,4,a&CP_RAID1_NUMSPUZZLE/MOVE_VENTS
2,s3_numbers_countdown,a&CP_RAID1_NUMSPUZZLE/NUM_COUNTDOWN,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,,,,,,,,,a&,5,a&CP_CHECKPOINTS/NUM_COUNTDOWN
3,s3_numbers_display,a&CP_RAID1_NUMSPUZZLE/NUM_DISPLAY,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,,,,,,,,,a&,6,a&CP_CHECKPOINTS/NUM_DISPLAY
4,s3_overall_goal,a&CP_RAID1_NUMSPUZZLE/OBJ_KEYCODE,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,2,,,,,,,,a&,7,a&CP_CHECKPOINTS/OBJ_KEYCODE
5,s3_findpower,a&CP_RAID1_NUMSPUZZLE/INVESTIGATE_TUNNELS,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,1,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,8,a&CP_CHECKPOINTS/FINDPOWER
6,s3_resetting,a&CP_RAID1_NUMSPUZZLE/KEYPAD_LOCKDOWN,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,,,a&,,,,,,,,,a&,9,a&CP_CHECKPOINTS/READY_FOR_SEQ
7,s3_waitelevator,a&CP_RAID1_NUMSPUZZLE/WAITELEVATOR,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,2,,,,,,,,a&,10,a&CP_CHECKPOINTS/WAITELEVATOR
8,s3_numbers_done,a&CP_RAID1_NUMSPUZZLE/OBJ_NUMBERS_DONE,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,,a&
9,s3_ready_to_reset,a&CP_RAID1_NUMSPUZZLE/READY_FOR_SEQ,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,,,a&,,,,,,,,,a&,9,a&CP_CHECKPOINTS/READY_FOR_SEQ
10,s3_regroup_exit,a&CP_RAID1_NUMSPUZZLE/OBJ_REGROUP_EXIT,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&CP_RAID1_NUMSPUZZLE/FAIL_CODE,,cp_raid1_nums_puzzle_cs,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,11,a&CP_CHECKPOINTS/OBJ_REGROUP_EXIT
11,raid1_intro,a&CP_RAID_WATERMAZE/SEARCH_AREA,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,cp_raid1_intro_cs_container,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,12,a&
12,raid1_mask,a&CP_RAID_WATERMAZE/TUTORIAL_OXYGENMASK,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,CP_RAID_WATERMAZE/DESC,,,,,a&,,cp_raid1_maze_create_script,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,13,a&
13,raid1_enter_maze,a&CP_RAID_WATERMAZE/DESC,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,cp_raid1_maze_create_script,,a&CP_RAID_WATERMAZE/TITLE,2,,,,,,,,a&,,a&
14,raid1_clear_armory,a&CP_RAID1_NUMSPUZZLE/CLEAR_ARMORY,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,a&,,cp_raid1_maze_create_script,,a&CP_RAID_WATERMAZE/TITLE,1,,,,,,,,a&,,a&
98,hard_mode_oxygen,a&COOP_GAME_PLAY/HARDMODE_OXYMASK_LEFT,,,primary,,,,,,,,,,,,,,,,,,,a&,,,,a&CP_RAID_WATERMAZE/TITLE,,,,,,,,,a&,,a&
99,hard_mode_revives,a&COOP_GAME_PLAY/HARDMODE_REVIVES_LEFT,,,primary,,,,,,,,,,,,,,,,,,,a&,,,,a&CP_RAID_WATERMAZE/TITLE,,,,,,,,,a&,,a&
