string,string,localized_a,localized_a,string,string,string,string
17637,iw9_ch_seasonal_s5_tf_1_kills,a&CHALLENGE/SEASONAL_S5_TF_1_KILLS,a&CHALLENGE/SEASONAL_S5_TF_1_KILLS_DESC,50,0,10070,0
17638,iw9_ch_seasonal_s5_tf_2_longsh_br,a&CHALLENGE/SEASONAL_S5_TF_2_LONGSH_BR,a&CHALLENGE/SEASONAL_S5_TF_2_LONGSH_BR_DESC,10,0,18458,0
17639,iw9_ch_seasonal_s5_tf_3_ads_ar,a&CHALLENGE/SEASONAL_S5_TF_3_ADS_AR,a&CHALLENGE/SEASONAL_S5_TF_3_ADS_AR_DESC,40,0,35504,0
17640,iw9_ch_seasonal_s5_tf_4_melee_weap,a&CHALLENGE/SEASONAL_S5_TF_4_MELEE_WEAP,a&CHALLENGE/SEASONAL_S5_TF_4_MELEE_WEAP_DESC,3,0,27685,0
17641,iw9_ch_seasonal_s5_tf_5_execution,a&CHALLENGE/SEASONAL_S5_TF_5_EXECUTION,a&CHALLENGE/SEASONAL_S5_TF_5_EXECUTION_DESC,1,0,13538,0
17642,iw9_ch_seasonal_s5_sc_1_kills,a&CHALLENGE/SEASONAL_S5_SC_1_KILLS,a&CHALLENGE/SEASONAL_S5_SC_1_KILLS_DESC,50,0,18483,1
17643,iw9_ch_seasonal_s5_sc_2_hs_sniper,a&CHALLENGE/SEASONAL_S5_SC_2_HS_SNIPER,a&CHALLENGE/SEASONAL_S5_SC_2_HS_SNIPER_DESC,15,0,21317,1
17644,iw9_ch_seasonal_s5_sc_3_backstab_smg,a&CHALLENGE/SEASONAL_S5_SC_3_BACKSTAB_SMG,a&CHALLENGE/SEASONAL_S5_SC_3_BACKSTAB_SMG_DESC,15,0,35503,1
17645,iw9_ch_seasonal_s5_sc_4_launcher,a&CHALLENGE/SEASONAL_S5_SC_4_LAUNCHER,a&CHALLENGE/SEASONAL_S5_SC_4_LAUNCHER_DESC,10,0,27686,1
17646,iw9_ch_seasonal_s5_sc_5_lethal_kill,a&CHALLENGE/SEASONAL_S5_SC_5_LETHAL_KILL,a&CHALLENGE/SEASONAL_S5_SC_5_LETHAL_KILL_DESC,5,0,13538,1
17647,compound_iw9_ae_kind_faction_s5_tf,a&CHALLENGE/SEASONAL_S5_TF_MASTERY,a&CHALLENGE/SEASONAL_S5_TF_MASTERY_DESC,5,0,11833,0
17648,compound_iw9_ae_kind_faction_s5_sc,a&CHALLENGE/SEASONAL_S5_SC_MASTERY,a&CHALLENGE/SEASONAL_S5_SC_MASTERY_DESC,5,0,25604,1
