string,string,string,string,string,string,string
choose,3,,,,,
zone,cruiseterminal_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone, blacksite
zone,firestation_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone, blacksite
zone,trainstation_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone, blacksite
zone,cityhall_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone, blacksite
choose,1,,,,,
zone,zoo_hotzone_animalcare,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,zoo_hotzone_aquarium,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,townhouses_4_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,floatinghouses_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,floatinghouses_hotzone_02,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,castle_hotzone_greenhouse,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,castle_hotzone_stables,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,library_hotzone_shops,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,townhouses_1_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,townhouses_1_hotzone_02,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,townhouses_1_hotzone_03,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fleamarket_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,old_museum_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,new_museum_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,townhouses_5_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,stadium_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
zone,moderntheater_hotzone_01,fortress,mp/loot/br/delta/default/lootset_stronghold_high.csv,mp/loot/br/delta/default/lootset_cache_spawns_stronghold.csv,,#Zone
