string,string,localized_a,string,string
0,shipping_area,a&MP_INTERCEPT/CALLOUT_SHIPPING_AREA,area,
1,main_entrance,a&MP_INTERCEPT/CALLOUT_MAIN_ENTRANCE,area,
2,foremans_office,a&MP_INTERCEPT/CALLOUT_FOREMANS_OFFICE,area,
3,foremans_roof,a&MP_INTERCEPT/CALLOUT_FOREMANS_ROOF,area,
4,turbine,a&MP_INTERCEPT/CALLOUT_TURBINE,area,
5,storage_building,a&MP_INTERCEPT/CALLOUT_STORAGE_BUILDING,area,
6,storage_roof,a&MP_INTERCEPT/CALLOUT_STORAGE_ROOF,area,
7,sergios_desk,a&MP_INTERCEPT/CALLOUT_SERGIOS_DESK,area,
8,grassy_knoll,a&MP_INTERCEPT/CALLOUT_GRASSY_KNOLL,area,
9,industrial,a&MP_INTERCEPT/CALLOUT_INDUSTRIAL,area,
10,mid_fish_containers,a&MP_INTERCEPT/CALLOUT_MID_FISH_CONTAINERS,area,
11,electrical,a&MP_INTERCEPT/CALLOUT_ELECTRICAL,area,
12,side_fish_containers,a&MP_INTERCEPT/CALLOUT_SIDE_FISH_CONTAINERS,area,
13,side_entrance,a&MP_INTERCEPT/CALLOUT_SIDE_ENTRANCE,area,
14,loading_area,a&MP_INTERCEPT/CALLOUT_LOADING_AREA,area,
15,fishery_warehouse,a&MP_INTERCEPT/CALLOUT_FISHERY_WAREHOUSE,area,
16,back_trail,a&MP_INTERCEPT/CALLOUT_BACK_TRAIL,area,
17,side_trail,a&MP_INTERCEPT/CALLOUT_SIDE_TRAIL,area,
