string,string,string,string
0,cafe,MP_ARN_ZONE1/CALLOUT_CAFE,area
1,courtyard,MP_ARN_ZONE1/CALLOUT_COURTYARD,area
2,loading,MP_ARN_ZONE1/CALLOUT_LOADING,area
3,lobby,MP_ARN_ZONE1/CALLOUT_LOBBY,area
4,mechanical,MP_ARN_ZONE1/CALLOUT_MECHANICAL,area
5,microlab,MP_ARN_ZONE1/CALLOUT_MICROLAB,area
6,office,MP_ARN_ZONE1/CALLOUT_OFFICE,area
7,parking,MP_ARN_ZONE1/CALLOUT_PARKING,area
8,unloading,MP_ARN_ZONE1/CALLOUT_UNLOADING,area
9,warehouse,MP_ARN_ZONE1/CALLOUT_WAREHOUSE,area
10,skyway,MP_ARN_ZONE1/CALLOUT_skyway,area
11,vents,MP_ARN_ZONE1/CALLOUT_vents,area
