string,string,string
-1714,1857,500,elevator_6,elevator_3,elevator_7,elevator_4,elevator_5,elevator_2,elevator_1,In front of elevator_6
-1714,1857,300,elevator_5,elevator_7,elevator_4,elevator_6,elevator_2,elevator_3,elevator_1,In front of elevator_5
-1714,1857,100,elevator_4,elevator_5,elevator_6,elevator_7,elevator_2,elevator_3,elevator_1,In front of elevator_4
-2530,1857,300,elevator_7,elevator_5,elevator_4,elevator_6,elevator_2,elevator_3,elevator_1,In front of elevator_7
256,3655,300,elevator_2,elevator_5,elevator_7,elevator_1,elevator_4,elevator_6,elevator_3,In front of elevator_2
256,443,500,elevator_3,elevator_6,elevator_5,elevator_1,elevator_7,elevator_4,elevator_2,In front of elevator_3
2510,1909,100,elevator_1,elevator_2,elevator_3,elevator_4,elevator_5,elevator_6,elevator_7,Data Center
334,1857,500,elevator_3,elevator_1,elevator_2,elevator_6,elevator_5,elevator_4,elevator_7,Core Lab glass room
1358,1857,500,elevator_3,elevator_1,elevator_2,elevator_6,elevator_5,elevator_4,elevator_7,Core Lab
-690,2881,500,elevator_6,elevator_2,elevator_7,elevator_5,elevator_4,elevator_3,elevator_1,Armory Room
1358,833,300,elevator_1,elevator_3,elevator_2,elevator_5,elevator_7,elevator_4,elevator_6,Office 
1358,1857,100,elevator_1,elevator_2,elevator_4,elevator_3,elevator_5,elevator_7,elevator_6,Transition Room
