string,string,string,string,string
sealion_beach_club_bathroom,key,100,tier2Key_sealion,consumable
sealion_beach_club_bathroom,note,100,interactable_notebook_sealion_scared01,consumable
sealion_ferry_tourist_information_booth,key,100,tier3Key_sealion,consumable
sealion_ferry_tourist_information_booth,note,100,,consumable
sealion_hotel_room_403,key,100,tier3Key_sealion,consumable
sealion_hotel_room_403,note,100,,consumable
sealion_lab_office,key,100,tier1Key_b21,consumable
sealion_lab_office,note,100,,consumable
sealion_port_harbor_control,key,100,loot_key_sealion_water_treatment_control_center,consumable
sealion_port_harbor_control,note,100,interactable_note_sealion_b2102,consumable
sealion_port_managers_office,key,100,loot_key_sealion_port_harbor_control,consumable
sealion_port_managers_office,note,100,interactable_note_sealion_b2103,consumable
sealion_water_treatment_control_center,key,100,tier2Key_sealion,consumable
sealion_water_treatment_control_center,note,100,interactable_note_sealion_b2101,consumable
sealion_castle_armory,item1,100,weaponEpic,consumable
sealion_castle_armory,item2,100,weaponEpic,consumable
sealion_castle_armory,item3,100,weaponRare,consumable
sealion_castle_armory,item4,50,brloot_valuable_gpu,consumable
sealion_couple_fight_bag,item1,100,interactable_note_sealion_couple01,consumable
sealion_couple_fight_bag,item2,100,brloot_valuable_goldbar,consumable
sealion_couple_fight_bag,item3,100,brloot_plunder_cash_epic_2,consumable
sealion_couple_fight_bag,item4,100,brloot_plunder_cash_epic_2,consumable
sealion_farmers_toolbox,item1,100,interactable_note_sealion_worker04,consumable
sealion_farmers_toolbox,item2,100,weaponPistol,consumable
sealion_farmers_toolbox,item3,100,brloot_valuable_drill,consumable
sealion_farmers_toolbox,item4,100,super_stimpistol,consumable
sealion_hotel_workers_office_fridge,item1,100,interactable_note_sealion_worker03,consumable
sealion_hotel_workers_office_fridge,item2,100,weaponEpic,consumable
sealion_hotel_workers_office_fridge,item3,100,weaponEpic,consumable
sealion_hotel_workers_office_fridge,item4,100,weaponEpic,consumable
sealion_knocked_over_workers_toolbox,item1,100,super_stimpistol,consumable
sealion_knocked_over_workers_toolbox,item2,100,super_stimpistol,consumable
sealion_knocked_over_workers_toolbox,item3,100,brloot_self_revive,consumable
sealion_knocked_over_workers_toolbox,item4,100,assault_drone,consumable
sealion_lost_travelers_bag,item1,100,interactable_notebook_sealion_scared03,consumable
sealion_lost_travelers_bag,item2,100,brloot_valuable_sealion_mask_1_original,consumable
sealion_lost_travelers_bag,item3,100,brloot_valuable_sealion_mask_2_original,consumable
sealion_lost_travelers_bag,item4,100,brloot_valuable_sealion_mask_3_original,consumable
sealion_misplaced_crate,item1,100,loot_key_crash_wp_case,consumable
sealion_misplaced_crate,item2,100,loot_key_crash_sm_3,consumable
sealion_misplaced_crate,item3,100,brloot_plunder_cash_epic_2,consumable
sealion_misplaced_crate,item4,100,brloot_valuable_goldbar,consumable
sealion_observatory_thrown_fridge,item1,100,interactable_note_sealion_worker02,consumable
sealion_observatory_thrown_fridge,item2,100,weaponEpic,consumable
sealion_observatory_thrown_fridge,item3,100,weaponEpic,consumable
sealion_observatory_thrown_fridge,item4,100,weaponEpic,consumable
sealion_shadow_company_toolbox,item1,100,interactable_note_sealion_worker01,consumable
sealion_shadow_company_toolbox,item2,100,weaponPistol,consumable
sealion_shadow_company_toolbox,item3,100,brloot_valuable_sealion_3mmfilm,consumable
sealion_shadow_company_toolbox,item4,100,brloot_valuable_folder_classified,consumable
sealion_shipwreck_cargo_crate,item1,100,interactable_notebook_sealion_scared02,consumable
sealion_shipwreck_cargo_crate,item2,100,personal_pictureofadog,consumable
sealion_shipwreck_cargo_crate,item3,100,loot_key_sealion_lost_travelers_bag,consumable
sealion_shipwreck_cargo_crate,item4,100,brloot_valuable_gold_skull,consumable
sealion_town_canal_crate,item1,100,weaponEpic,consumable
sealion_town_canal_crate,item2,100,tier2Key_sealion,consumable
sealion_town_canal_crate,item3,100,brloot_valuable_goldbar,consumable
sealion_town_canal_crate,item4,100,brloot_valuable_goldbar,consumable
