string,string,string,string,string,localized_a,int,string,bool,string
dom_legacy,1,brloot_domination_tablet,100,ui_map_icon_ph_recon,a&MP_BR_INGAME/DOMINATION_CONTRACT,0,domination,FALSE,
assassination,1,brloot_assassination_phone,180,ui_map_icon_ph_combat,a&MP_BR_INGAME/ASSASSIN_CONTRACT,0,assassin,FALSE,
scavenger,1,brloot_scavenger_phone,300,ui_map_icon_ph_scavenger,a&MP_BR_INGAME/SCAVENGER_CONTRACT,0,scavenger_3,FALSE,
vip,1,brloot_vip_phone,240,ui_map_icon_ph_most_wanted,a&MP_BR_INGAME/VIP_CONTRACT,0,vip,FALSE,team_revive
timedrun,1,brloot_timedrun_phone,120,ui_map_icon_ph_supply_run,a&MP_BR_INGAME/TIMEDRUN_CONTRACT,0,timed_run,FALSE,
intel,1,brloot_intel_phone,240,ui_map_icon_ph_secure_intel,a&MP_BR_INGAME/INTEL_CONTRACT,0,intel,FALSE,circle_peek
safecracker,1,brloot_safecracker_phone,240,ui_map_icon_ph_safe_cracker,a&MP_BR_INGAME/SAFECRACKER_CONTRACT,0,safecracker_3,FALSE,
strongholdInfil,1,brloot_stronghold_infil_phone,120,ui_map_icon_ph_infiltration,a&MP_BR_INGAME/INFILTRATION_CONTRACT,0,,FALSE,
elite_arrow,1,brloot_elite_arrow_phone,300,ui_map_icon_elite_objective,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT,0,,TRUE,
searchseizure,1,brloot_searchseizure_phone,240,ui_map_icon_ph_search_seizure,a&MP_BR_INGAME/SEARCHSEIZURE_CONTRACT,0,searchseizure,FALSE,
hacker_phone,1,brloot_hacker_phone_phone,180,ui_map_icon_ph_hacker,a&MP_BR_INGAME/HACKER_PHONE_CONTRACT,0,,FALSE,
