string,string,string,string,string,string,string,string,string,string,string,string,string,string
include,omnvars/mp/gametypes/br/omnvars_plunder.csv,,,,,,,,,,,,
ui_resurgenceRespawnTimer,1,,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
ui_resurgenceRespawnTimer_solo,1,1,c,a,0,0,2147483647,,,,,,#31 bits packed: ( 1 force
resurgence_tracked_teams,1,,c,i,0,0,2147483647,,,,,,#32bits packed: 8bits team 0, 8bits team 1, 8bits team 2, 8bits team 3
ui_champion_br_team_score,1,,c,i,0,0,2147483647,,,,,,
ui_champion_br_team_score_second,1,,g,i,0,0,2147483647,,,,,,
ui_champion_br_team_score_leader,1,,g,i,0,0,2147483647,,,,,,
ui_champion_br_team_placement,1,,c,i,155,0,511,,,,,,
ui_champion_br_player_score,1,,c,i,0,0,2147483647,,,,,,
ui_champion_br_player_is_winning,1,,c,i,0,0,1,,,,,,
ui_champion_br_task_buy_station_hint,1,,c,b,0,,,,,,,,
ui_champion_br_task1_id,1,,c,i,-1,-1,100,,,,,,
ui_champion_br_task2_id,1,,c,i,-1,-1,100,,,,,,
ui_champion_br_task3_id,1,,c,i,-1,-1,100,,,,,,
ui_champion_br_task1_value,1,,c,f,0,0,99999,,,,,,
ui_champion_br_task2_value,1,,c,f,0,0,99999,,,,,,
ui_champion_br_task3_value,1,,c,f,0,0,99999,,,,,,
ui_champion_br_task1_countdown_timer,1,,c,t,0,,,,,,,,
ui_champion_br_task2_countdown_timer,1,,c,t,0,,,,,,,,
ui_champion_br_task3_countdown_timer,1,,c,t,0,,,,,,,,
ui_champion_br_task1_status,1,,c,i,-1,-1,1,,,,,,
ui_champion_br_task2_status,1,,c,i,-1,-1,1,,,,,,
ui_champion_br_task3_status,1,,c,i,-1,-1,1,,,,,,
ui_champion_score_event_list_0,1,,c,i,-1,-1,100,,,,,,
ui_champion_score_event_list_1,1,,c,i,-1,-1,100,,,,,,
ui_champion_score_event_list_2,1,,c,i,-1,-1,100,,,,,,
ui_champion_score_event_list_3,1,,c,i,-1,-1,100,,,,,,
ui_champion_score_event_list_4,1,,c,i,-1,-1,100,,,,,,
ui_champion_score_event_control,1,,c,i,-1,-1,100,,,,,,
ui_champion_player1_currentTask,1,,c,i,0,0,99999,,,,,,
ui_champion_player2_currentTask,1,,c,i,0,0,99999,,,,,,
ui_champion_player3_currentTask,1,,c,i,0,0,99999,,,,,,
ui_champion_player4_currentTask,1,,c,i,0,0,99999,,,,,,
