string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
1,gauntlet_intro,a&CP_MISSION_ESC/OBJ_INTRO,a&,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_MISSION_ESC/MISSION_NAME,1,1,,a&,a&,a&,a&,a&
2,gauntlet_post_intro,a&CP_MISSION_ESC/OBJ_SAMSITE_LOOK,a&,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_MISSION_ESC/MISSION_NAME,1,,,a&,a&,a&,a&,a&
3,gauntlet_samsites,a&CP_MISSION_ESC/DESTROY_SAMSITES,a&CP_MISSION_ESC/SITES,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_MISSION_ESC/MISSION_NAME,1,,,a&,a&,a&,a&,a&
4,gauntlet_exfil,a&CP_MISSION_ESC/OBJ_EXFIL_DESC,a&,,,,,,,,,,,,,,,,,,,,,,,,,a&CP_MISSION_ESC/MISSION_NAME,2,1,,a&CP_CHYRONS/VEHESC_LINE1,a&CP_CHYRONS/VEHESC_LINE2,a&CP_CHYRONS/VEHESC_LINE3,a&CP_CHYRONS/VEHESC_LINE4,a&CP_CHYRONS/VEHESC_LINE5
5,gauntlet_enterplane,a&CP_MISSION_ESC/OBJ_EXFIL_BOARDPLANE,a&,,,,,,240,20,10,,,,,,,,,,,,,,,,,a&CP_MISSION_ESC/MISSION_NAME,3,,,a&,a&,a&,a&,a&
6,gauntlet_start_testexfil,a&CP_MISSION_ESC/GL_CHECKPOINT,a&,0,,,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&,a&,a&,a&,a&
7,gauntlet_start_testapache,a&CP_MISSION_ESC/GL_CHECKPOINT,a&,0,,,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&,a&,a&,a&,a&
8,gauntlet_start_testc4heli,a&CP_MISSION_ESC/GL_CHECKPOINT,a&,0,,,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&,a&,a&,a&,a&
9,support_heli_monument,a&CP_HILLS_MI/OBJ_INVESTIGATE,a&CP_HILLS_MI/OFFICE,1,primary,icon_waypoint_objective_general,house_entrance,script_noteworthy,,,,,,,,,,,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
10,support_heli_house,a&CP_HILLS_MI/FIND_DESTROY_SERVERS_OFFICE,a&CP_HILLS_MI/DESTROY_SERVER,1,primary,icon_waypoint_objective_general,house_obj_position,script_noteworthy,,,,,,,,,,,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
11,support_heli_gasstaation,a&CP_HILLS_MI/FIND_DESTROY_SERVERS_MARKET,a&CP_HILLS_MI/DESTROY_SERVER,1,primary,icon_waypoint_objective_general,gasstation_obj_position,script_noteworthy,,,,,,,,,,,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
12,support_heli_blueroof,a&CP_HILLS_MI/FIND_DESTROY_SERVERS_OFFICE,a&CP_HILLS_MI/DESTROY_SERVER,1,primary,icon_waypoint_objective_general,blueroof_obj_position,script_noteworthy,,,,,,,,,,,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
13,support_heli_culdesac,a&CP_HILLS_MI/FIND_DESTROY_SERVERS_COMP,a&CP_HILLS_MI/DESTROY_SERVER,1,primary,icon_waypoint_objective_general,hills_mi_combat_5,script_noteworthy,,,,,,,,,,,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
14,support_heli_escape,a&CP_HILLS_MI/ESCORT_OBJ,a&CP_HILLS_MI/ESCAPE_LABEL,0,primary,icon_waypoint_objective_general,hills_mi_exfil,script_noteworthy,,,,,,,,,,1,,,,,,,,,cp_heli_escort_cs,,a&CP_HILLS_MI/MAIN_OBJ_TITLE,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
15,obj_escape_chyrons,a&,a&,,,,,,,,,,,,,,,,,,,,,,,,,a&,,,,a&CP_CHYRONS/VEHESC_LINE1,a&CP_CHYRONS/VEHESC_LINE2,a&CP_CHYRONS/VEHESC_LINE3,a&CP_CHYRONS/VEHESC_LINE4,a&CP_CHYRONS/VEHESC_LINE5
