string,string,string,string
0,archway_alley,MP_TOUJANE2/CALLOUT_ARCHWAY_ALLEY,area
1,archway_rooftop,MP_TOUJANE2/CALLOUT_ARCHWAY_ROOFTOP,area
2,archway_stairs,MP_TOUJANE2/CALLOUT_ARCHWAY_STAIRS,area
3,bakers_rooftop,MP_TOUJANE2/CALLOUT_BAKERS_ROOFTOP,area
4,baker_street,MP_TOUJANE2/CALLOUT_BAKER_STREET,area
5,courtyard,MP_TOUJANE2/CALLOUT_COURTYARD,area
6,cultural_center,MP_TOUJANE2/CALLOUT_CULTURAL_CENTER,area
7,destroyed_building,MP_TOUJANE2/CALLOUT_DESTROYED_BUILDING,area
8,east_alleys,MP_TOUJANE2/CALLOUT_EAST_ALLEYS,area
9,east_street,MP_TOUJANE2/CALLOUT_EAST_STREET,area
10,hotel_arches,MP_TOUJANE2/CALLOUT_HOTEL_ARCHES,area
11,hotel_road,MP_TOUJANE2/CALLOUT_HOTEL_ROAD,area
12,main_street,MP_TOUJANE2/CALLOUT_MAIN_STREET,area
13,marketplace,MP_TOUJANE2/CALLOUT_MARKETPLACE,area
14,northern_rooftops,MP_TOUJANE2/CALLOUT_NORTHERN_ROOFTOPS,area
15,north_street,MP_TOUJANE2/CALLOUT_NORTH_STREET,area
16,side_street,MP_TOUJANE2/CALLOUT_SIDE_STREET,area
17,south_street,MP_TOUJANE2/CALLOUT_SOUTH_STREET,area
18,tanning_rooftop,MP_TOUJANE2/CALLOUT_TANNING_ROOFTOP,area
19,tanning_shop,MP_TOUJANE2/CALLOUT_TANNING_SHOP,area
20,taxi_rooftop,MP_TOUJANE2/CALLOUT_TAXI_ROOFTOP,area
21,west_street,MP_TOUJANE2/CALLOUT_WEST_STREET,area
22,woodworking,MP_TOUJANE2/CALLOUT_WOODWORKING,area
23,woodwork_rooftop,MP_TOUJANE2/CALLOUT_WOODWORK_ROOFTOP,area
24,woodworking_second_floor,MP_TOUJANE2/CALLOUT_WOODWORKING_SECOND_FLOOR,area
